"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Intsia bijuga","planted",21,"<10cm planted","1812","S0069MP36","Madagascar","FAFIALA","Restoration","Restoration","30x30",741,1626,"main","Planted_30x30_2","Permanent","2","2","2m*2m","Y0"
"Coffea robusta","planted",57,"<10cm planted","1819","S0076MP2","Madagascar","FAFIALA","Restoration","Restoration","30x30",742,1628,"main","Planted_30x30_2","Permanent","2","2","4m sur 4m","Y0"
"Syzygium aromaticum","planted",14,"<10cm planted","1819","S0076MP5","Madagascar","FAFIALA","Restoration","Restoration","30x30",743,1630,"main","Planted_30x30_2","Permanent","2","2","8m sur 8m","Y0"
"Trema orientalis","planted",108,"<10cm planted","1795","S0052MP 15","Madagascar","FAFIALA","Restoration","Restoration","30x30",744,1632,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Harungana madagascarinesis","planted",103,"<10cm planted","1795","S0052MP 15","Madagascar","FAFIALA","Restoration","Restoration","30x30",745,1632,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Intsia bijuga","planted",9,"<10cm planted","1795","S0052MP 15","Madagascar","FAFIALA","Restoration","Restoration","30x30",746,1632,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Harungana madagascarinesis","planted",100,"<10cm planted","1797","S0054MP 103","Madagascar","FAFIALA","Restoration","Restoration","30x30",747,1640,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Trema orientalis","planted",50,"<10cm planted","1797","S0054MP 103","Madagascar","FAFIALA","Restoration","Restoration","30x30",748,1640,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Intsia bijuga","planted",8,"<10cm planted","1797","S0054MP 103","Madagascar","FAFIALA","Restoration","Restoration","30x30",749,1640,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Dracaena reflexa","planted",72,"<10cm planted","1797","S0054MP 103","Madagascar","FAFIALA","Restoration","Restoration","30x30",750,1640,"main","Planted_30x30_2","Permanent","2","2","2m sur 2m","Y0"
"Harungana madagascarinesis","planted",30,"<10cm planted","1797","S0054MP 98","Madagascar","FAFIALA","Restoration","Restoration","30x30",751,1644,"main","Planted_30x30_2","Permanent","2","2","2 m sur 2m","Y0"
