"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Palaquium luzoniense","Present",1,"<1cm","211","Plot No. 011","Philippines","CI Philippines","Restoration","Restoration","1x1",91,294,"main","Nested_1x1","Permanent","0","0","Tree planted with 3m by 2m spacing","Y0"
"Canarium asperum","Present",1,"<1cm","211","Plot No. 011","Philippines","CI Philippines","Restoration","Restoration","1x1",92,294,"main","Nested_1x1","Permanent","0","0","Tree planted with 3m by 2m spacing","Y0"
"Coffe","Present",1,"<1cm","1222","1222-2","Mexico","Macuiles","Restoration","Restoration","1x1",93,325,"main","Nested_1x1","Permanent","0","0","Se plantaron a una distancia de 4m por 5m.","Y0"
"Intsia bijuga","Present",1,"<1cm","211","Plot No. 004","Philippines","CI Philippines","Restoration","Restoration","1x1",94,360,"main","Nested_1x1","Permanent","0","0","Trees planted with a 2m by 3m spacing","Y0"
"Mussaenda philippica","Present",1,"<1cm","211","Plot No. 004","Philippines","CI Philippines","Restoration","Restoration","1x1",95,360,"main","Nested_1x1","Permanent","0","0","Trees planted with a 2m by 3m spacing","Y0"
"Terminalia calamansanai","Present",1,"<1cm","211","Plot No. 004","Philippines","CI Philippines","Restoration","Restoration","1x1",96,360,"main","Nested_1x1","Permanent","0","0","Trees planted with a 2m by 3m spacing","Y0"
"Guioa pleuropteris","Present",1,"<1cm","211","Plot No. 005","Philippines","CI Philippines","Restoration","Restoration","1x1",97,361,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Buchanania arborescens (Blume)","Present",1,"<1cm","211","Plot No. 005","Philippines","CI Philippines","Restoration","Restoration","1x1",98,361,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Dipterocarpus grandiflorus","Present",1,"<1cm","211","Plot No. 005","Philippines","CI Philippines","Restoration","Restoration","1x1",99,361,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Swietenia foxworthyi","Present",1,"<1cm","211","Plot No. 005","Philippines","CI Philippines","Restoration","Restoration","1x1",100,361,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Nephelium lappaceum","Present",1,"<1cm","211","Plot No. 005","Philippines","CI Philippines","Restoration","Restoration","1x1",101,361,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Garcinia forbesii","Present",1,"<1cm","211","Plot No. 005","Philippines","CI Philippines","Restoration","Restoration","1x1",102,361,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Terminalia calamansanai","Present",1,"<1cm","211","Plot No. 006","Philippines","CI Philippines","Restoration","Restoration","1x1",103,362,"main","Nested_1x1","Permanent","0","0","Trees were planted with a 2m by 3 spacing","Y0"
"Alangium javanicum","Present",1,"<1cm","211","Plot No. 006","Philippines","CI Philippines","Restoration","Restoration","1x1",104,362,"main","Nested_1x1","Permanent","0","0","Trees were planted with a 2m by 3 spacing","Y0"
"Intsia bijuga","Present",1,"<1cm","211","Plot No. 012","Philippines","CI Philippines","Restoration","Restoration","1x1",105,363,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3 by 2m spacing","Y0"
"Intsia bijuga","planted",1,"<10cm planted","211","Plot No. 013","Philippines","CI Philippines","Restoration","Restoration","1x1",106,364,"main","Nested_1x1","Permanent","0","0","Trees were planted with a 3m by 2m spacing","Y0"
"Barringtonia asiatica","Present",1,"<1cm","211","Plot No. 013","Philippines","CI Philippines","Restoration","Restoration","1x1",107,364,"main","Nested_1x1","Permanent","0","0","Trees were planted with a 3m by 2m spacing","Y0"
"Alangium javanicum","Present",1,"<1cm","211","Plot No. 014","Philippines","CI Philippines","Restoration","Restoration","1x1",108,365,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m x 2m spacing","Y0"
"Buchanania arborescens (Blume)","Present",1,"<1cm","211","Plot No. 014","Philippines","CI Philippines","Restoration","Restoration","1x1",109,365,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m x 2m spacing","Y0"
"Neonauclea formicaria","Present",1,"<1cm","211","Plot No. 014","Philippines","CI Philippines","Restoration","Restoration","1x1",110,365,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m x 2m spacing","Y0"
"Guioa pleuropteris","Present",1,"<1cm","211","Plot No. 015","Philippines","CI Philippines","Restoration","Restoration","1x1",111,366,"main","Nested_1x1","Permanent","0","0","Trees plnated with 2m x 3m spacing","Y0"
"Intsia bijuga","planted",1,"<10cm planted","211","Plot No. 015","Philippines","CI Philippines","Restoration","Restoration","1x1",112,366,"main","Nested_1x1","Permanent","0","0","Trees plnated with 2m x 3m spacing","Y0"
"Alangium javanicum","Present",1,"<1cm","211","Plot No. 015","Philippines","CI Philippines","Restoration","Restoration","1x1",113,366,"main","Nested_1x1","Permanent","0","0","Trees plnated with 2m x 3m spacing","Y0"
"Canarium asperum","Present",1,"<1cm","211","Plot No. 015","Philippines","CI Philippines","Restoration","Restoration","1x1",114,366,"main","Nested_1x1","Permanent","0","0","Trees plnated with 2m x 3m spacing","Y0"
"Drypetes grandifolia","Present",1,"<1cm","211","Plot No. 016","Philippines","CI Philippines","Restoration","Restoration","1x1",115,367,"main","Nested_1x1","Permanent","0","0","Trees were planted in 3m x 2m spacing","Y0"
"Tristaniopsis decorticata (Merr.)","Present",1,"<1cm","211","Plot No. 016","Philippines","CI Philippines","Restoration","Restoration","1x1",116,367,"main","Nested_1x1","Permanent","0","0","Trees were planted in 3m x 2m spacing","Y0"
"Pouteria villamilii","Present",1,"<1cm","211","Plot No. 016","Philippines","CI Philippines","Restoration","Restoration","1x1",117,367,"main","Nested_1x1","Permanent","0","0","Trees were planted in 3m x 2m spacing","Y0"
"Intsia bijuga","planted",1,"<10cm planted","211","Plot No. 016","Philippines","CI Philippines","Restoration","Restoration","1x1",118,367,"main","Nested_1x1","Permanent","0","0","Trees were planted in 3m x 2m spacing","Y0"
"Dipterocarpus grandiflorus","Present",1,"<1cm","211","Plot No. 017","Philippines","CI Philippines","Restoration","Restoration","1x1",119,368,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
