"","size_class","Tree_type","Species","Timeframe","Plot_ID","Site_ID","Tree_per_sq_30m","est_pl_dens"
"165","1-9.9cm","naturally_regenerating","Populus","Y0","43","Chantilly-451-43",300,0
"166","1-9.9cm","naturally_regenerating","Quercus robur","Y0","43","Chantilly-451-43",100,0
"167","1-9.9cm","planted","Quercus robur","Y0","43","Chantilly-451-43",200,0
"168","1-9.9cm","naturally_regenerating","Populis","Y0","44","Chantilly-451-44",400,0
"169","1-9.9cm","naturally_regenerating","Quercus robur","Y0","46","Chantilly-451-46",800,60
"170","1-9.9cm","naturally_regenerating","Acer campestris","Y0","1","Chantilly-51-1",300,90
"171","1-9.9cm","naturally_regenerating","Acer pseudoplatanus","Y0","3","Chantilly-51-3",600,0
"172","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","3","Chantilly-51-3",300,0
"173","1-9.9cm","naturally_regenerating","Prunus avium","Y0","3","Chantilly-51-3",200,0
"174","1-9.9cm","naturally_regenerating","Quercus","Y0","3","Chantilly-51-3",100,0
"175","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","4","Chantilly-51-4",100,0
"176","1-9.9cm","naturally_regenerating","Carpinus betulus","Y0","7","Chantilly-51-7",100,0
"177","1-9.9cm","naturally_regenerating","Quercus","Y0","28","Chantilly-523-28",400,90
"178","1-9.9cm","naturally_regenerating","Quercus","Y0","29","Chantilly-523-29",400,0
"179","1-9.9cm","planted","Larix decidua","Y0","30","Chantilly-523-30",200,0
"180","1-9.9cm","naturally_regenerating","Quercus","Y0","32","Chantilly-523-32",300,0
"181","1-9.9cm","planted","Douglas","Y0","34","Chantilly-523-34",200,0
"182","1-9.9cm","naturally_regenerating","Quercus","Y0","34","Chantilly-523-34",100,0
"183","1-9.9cm","naturally_regenerating","Quercus","Y0","35","Chantilly-523-35",300,0
"184","1-9.9cm","naturally_regenerating","Bauhinia","Y0","180
","P35",100,225
"185","1-9.9cm","naturally_regenerating","Azadirachta indica","Y0","Rr","Rr",100,0
"186",">10cm","planted","Acacia auriculiformis","Y0","T5","Rr",2,400
"187",">10cm","planted","Azadirachta indica","Y0","T5","Rr",1,400
"188","1-9.9cm","planted","Tectona grandis","Y0","T5","Rr",500,800
