"","Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","destination_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe","submitted_species_name","name_validation","score","data_source_title"
"14",NA,"planted",NA,"<10cm planted","333","46","France","Reforest Action","Restoration","Restoration","30x30",1,4,"main","Normal_30x30_2",NA,"Permanent",0,0,"Plantation tous les 3 mètre avec cloiso de 5m","Y0",NA,"Needs Review",NA,NA
"15","Pas darbres inventoriées : Plus de 10cm(DBH)",NA,NA,NA,"1760","ATKC004","Madagascar","CI Madagascar","Control","Control","30x30",75,61,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","Pas d'arbres inventoriées : Plus de 10cm(DBH)","Needs Review",NA,NA
"16","Pas darbres plus de 10cm (DBH)",NA,NA,NA,"1759","ATKC003","Madagascar","CI Madagascar","Control","Control","30x30",76,62,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","Pas d'arbres plus de 10cm (DBH)","Needs Review",NA,NA
"17","pas despece",NA,NA,NA,"1761","ATKC005","Madagascar","CI Madagascar","Control","Control","30x30",77,63,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","pas d'espece","Needs Review",NA,NA
"18",NA,"Present",NA,">10cm","901","901-3","Mexico","Café Capitan","Restoration","Restoration","30x30",231,96,"main","Normal_30x30_2",NA,"Permanent",0,0,"3x3","Y0",NA,"Needs Review",NA,NA
"19",NA,"Present",NA,">10cm","349","349-1","Mexico","Café Capitan","Restoration","Restoration","30x30",242,98,"main","Normal_30x30_2",NA,"Permanent",0,0,"3x3","Y0",NA,"Needs Review",NA,NA
"20","Vijao","Present",1,">10cm","349","349-3","Mexico","Café Capitan","Restoration","Restoration","30x30",253,100,"main","Normal_30x30_2",NA,"Permanent",0,0,"3x3","Y0","Vijao","Needs Review",NA,NA
"21","Vijao","Present",1,">10cm","350","350-1","Mexico","Café Capitan","Restoration","Restoration","30x30",256,101,"main","Normal_30x30_2",NA,"Permanent",0,0,"3x3","Y0","Vijao","Needs Review",NA,NA
"22","Folha composta","Present",2,">10cm","40","Parcela 1","Brazil","GANB","Restoration","Restoration","30x30",265,104,"main","Normal_30x30_2",NA,"Permanent",0,1,"3x2","Y0","Folha composta","Needs Review",NA,NA
"23","Néant",NA,NA,NA,"1744","S0001CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",268,106,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","Néant","Needs Review",NA,NA
"24","Néant",NA,NA,NA,"1750","S0007CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",269,107,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","Néant","Needs Review",NA,NA
"25","None",NA,NA,NA,"1766","S0023CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",271,109,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"26","None",NA,NA,NA,"1779","S0036CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",272,110,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"27","None",NA,NA,NA,"1781","S0038CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",273,111,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"28","None",NA,NA,NA,"1788","S0045CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",274,112,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"29","None","don_t_know",NA,">10cm","1768","S0025CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",275,113,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"30","None",NA,NA,NA,"1840","S0097CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",276,114,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"31","None",NA,NA,NA,"1840","S0097CP02","Madagascar","CI Madagascar","Restoration","Control","30x30",277,115,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"32","None",NA,NA,NA,"1851","S0108CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",278,116,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"33","None",NA,NA,NA,"1851","S018CP02","Madagascar","CI Madagascar","Restoration","Control","30x30",279,117,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"34","None",NA,NA,NA,"1813","S0070CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",280,118,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"35","None",NA,NA,NA,"1813","S0070CP02","Madagascar","CI Madagascar","Restoration","Control","30x30",281,119,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"36","None",NA,NA,NA,"1836","S0093CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",282,120,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"37","None",NA,NA,NA,"1821","S0078CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",283,121,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"38","None",NA,NA,NA,"1821","S0078CP02","Madagascar","CI Madagascar","Restoration","Control","30x30",284,122,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"39","None",NA,NA,NA,"1830","S0087CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",285,123,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"40","None",NA,NA,NA,"1830","S0087CP02","Madagascar","CI Madagascar","Restoration","Control","30x30",286,124,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"41","None",NA,NA,NA,"1828","S0085CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",287,125,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"42","None",NA,NA,NA,"1828","S0085CP02","Madagascar","CI Madagascar","Restoration","Control","30x30",288,126,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"43","None",NA,NA,NA,"1854","S0111CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",289,127,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"44","None",NA,NA,NA,"1853","S0110CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",290,128,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"45","None",NA,NA,NA,"1853","S0110CP02","Madagascar","CI Madagascar","Restoration","Control","30x30",291,129,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"46","None",NA,NA,NA,"1852","S0109CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",292,130,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"47","None",NA,NA,NA,"1861","S0118CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",293,131,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"48","None",NA,NA,NA,"1889","S0146CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",294,132,"main","Normal_30x30_2",NA,NA,0,1,NA,"Y0","None","Needs Review",NA,NA
"49","None",NA,NA,NA,"1892","S0149CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",295,133,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"50","None",NA,NA,NA,"1892","S0149CP02","Madagascar","CI Madagascar","Restoration","Control","30x30",296,134,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"51","None",NA,NA,NA,"1891","S0148CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",297,135,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"52","None",NA,NA,NA,"1891","S0148CP02","Madagascar","CI Madagascar","Restoration","Control","30x30",298,136,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"53","None",NA,NA,NA,"1890","S0147CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",299,137,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"54","None",NA,NA,NA,"1876","S0137CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",300,138,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"55","None",NA,NA,NA,"1878","S0135CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",301,139,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"56","None",NA,NA,NA,"1874","S0131CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",302,140,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"57","None",NA,NA,NA,"1871","S0128CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",303,141,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"58","None",NA,NA,NA,"1872","S0129CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",304,142,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"59","None",NA,NA,NA,"1900","S0157CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",305,143,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"60","None",NA,NA,NA,"1898","S0155CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",306,144,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"61","None",NA,NA,NA,"1881","S0138CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",307,145,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"62","None",NA,NA,NA,"1882","S0139CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",308,146,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"63","None",NA,NA,NA,"1881","S0138CP02","Madagascar","CI Madagascar","Restoration","Control","30x30",309,147,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"64","None",NA,NA,NA,"1880","S0137CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",310,148,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"65","None",NA,NA,NA,"1831","S0088CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",311,149,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"66","None",NA,NA,NA,"1833","S0090CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",312,150,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"67","None",NA,NA,NA,"1862","S0119CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",313,151,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"68","None",NA,NA,NA,"1857","S0114CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",314,152,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"69","None",NA,NA,NA,"1860","S0117CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",315,153,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"70","None",NA,NA,NA,"1795","S0052CP1","Madagascar","CI Madagascar","Restoration","Control","30x30",316,154,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"71","Vijao",NA,1,NA,"1274","1274-2","Mexico","Café Capitan","Restoration","Restoration","30x30",320,155,"main","Normal_30x30_2",NA,"Permanent",0,0,"1.30*130 están plantadas las plantas","Y0","Vijao","Needs Review",NA,NA
"72","Vijao",NA,2,NA,"1281","1281-1","Mexico","Café Capitan","Restoration","Restoration","30x30",325,157,"main","Normal_30x30_2",NA,"Permanent",0,0,"3*2","Y0","Vijao","Needs Review",NA,NA
"73","guachipilin",NA,4,NA,"1281","1281-2","Mexico","Café Capitan","Restoration","Restoration","30x30",328,158,"main","Normal_30x30_2",NA,"Permanent",0,0,"3*2","Y0","
guachipilin","Needs Review",NA,NA
"74","Chalun",NA,6,NA,"1281","1281-2","Mexico","Café Capitan","Restoration","Restoration","30x30",331,158,"main","Normal_30x30_2",NA,"Permanent",0,0,"3*2","Y0","Chalun","Needs Review",NA,NA
"75","Trompillo",NA,1,NA,"1269","1269+1","Mexico","Café Capitan","Restoration","Restoration","30x30",381,184,"main","Normal_30x30_2",NA,"Permanent",0,0,"2×3","Y0","Trompillo","Needs Review",NA,NA
"76","None",NA,NA,NA,"1761","ATKC006","Madagascar","CI Madagascar","Control","Control","30x30",383,186,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"77","None",NA,NA,NA,"1748","S005CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",384,187,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"78","None",NA,NA,NA,"1750","S007CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",385,188,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"79","Chicharo","Present",1,">10cm","1313","1313-2","Mexico","FONCET","Restoration","Restoration","30x30",395,191,"main","Normal_30x30_2",NA,"Permanent",0,0,"1.5 metros x 2.0 metros","Y0","Chicharo","Needs Review",NA,NA
"80","Pitio","Present",1,">10cm","1400","1400 _2","Mexico","FONCET","Restoration","Restoration","30x30",503,215,"main","Normal_30x30_2",NA,"Permanent",0,0,"Tres metros por tres  metros","Y0","Pitio","Needs Review",NA,NA
"81","None",NA,NA,NA,"1763","S0020CP1","Madagascar","CI Madagascar","Restoration","Control","30x30",615,235,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"82","None",NA,NA,NA,"1763","S0020CP02","Madagascar","CI Madagascar","Restoration","Control","30x30",616,236,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"83","Chiombo","naturally_regenerating",1,">10cm","180","P6
","Malawi","Wells for Zoe","Control","Control","30x30",651,247,"main","Normal_30x30_2",NA,NA,0,0,NA,"Y0","Chiombo","Needs Review",NA,NA
"84","Chiombo","naturally_regenerating",1,">10cm","180","P7","Malawi","Wells for Zoe","Control","Control","30x30",652,248,"main","Normal_30x30_2",NA,NA,0,0,NA,"Y0","Chiombo","Needs Review",NA,NA
"85",NA,"naturally_regenerating",NA,">10cm","180","M1","Malawi","Wells for Zoe","Control","Control","30x30",653,249,"main","Normal_30x30_2",NA,NA,0,0,NA,"Y0",NA,"Needs Review",NA,NA
"86",NA,"naturally_regenerating",NA,">10cm","180","P5","Malawi","Wells for Zoe","Control","Control","30x30",654,253,"main","Normal_30x30_2",NA,NA,0,0,NA,"Y0",NA,"Needs Review",NA,NA
"87","Chiombo","naturally_regenerating",1,">10cm","180","P7","Malawi","Wells for Zoe","Control","Control","30x30",655,254,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","Chiombo","Needs Review",NA,NA
"88","Chiwombo","naturally_regenerating",12,">10cm","180","M16","Malawi","Wells for Zoe","Restoration","Restoration","30x30",659,272,"main","Normal_30x30_2",NA,"Randomized",2,2,"2m by 2m","Y0","Chiwombo","Needs Review",NA,NA
"89","Msolo","naturally_regenerating",1,">10cm","180","M16","Malawi","Wells for Zoe","Restoration","Restoration","30x30",660,272,"main","Normal_30x30_2",NA,"Randomized",2,2,"2m by 2m","Y0","Msolo","Needs Review",NA,NA
"90","No",NA,NA,NA,"180","P 15","Malawi","Wells for Zoe","Control","Control","30x30",661,274,"main","Normal_30x30_2",NA,NA,0,0,NA,"Y0","No","Needs Review",NA,NA
"91","Chiombo","naturally_regenerating",1,">10cm","180","P17","Malawi","Wells for Zoe","Restoration","Restoration","30x30",662,275,"main","Normal_30x30_2",NA,"Randomized",2,2,"2m by 2m","Y0","Chiombo","Needs Review",NA,NA
"92","Msangu","planted",23,"<10cm planted","180","M17","Malawi","Wells for Zoe","Restoration","Restoration","30x30",666,280,"main","Normal_30x30_2",NA,"Randomized",2,2,"2m by 2m","Y0","Msangu","Needs Review",NA,NA
"93","Mphakasa","planted",31,"<10cm planted","180","M17","Malawi","Wells for Zoe","Restoration","Restoration","30x30",667,280,"main","Normal_30x30_2",NA,"Randomized",2,2,"2m by 2m","Y0","Mphakasa","Needs Review",NA,NA
"94","Mlonde","planted",12,"<10cm planted","180","M17","Malawi","Wells for Zoe","Restoration","Restoration","30x30",668,280,"main","Normal_30x30_2",NA,"Randomized",2,2,"2m by 2m","Y0","Mlonde","Needs Review",NA,NA
"95","Mwavi","planted",24,"<10cm planted","180","M17","Malawi","Wells for Zoe","Restoration","Restoration","30x30",669,280,"main","Normal_30x30_2",NA,"Randomized",2,2,"2m by 2m","Y0","Mwavi","Needs Review",NA,NA
"96","Nkhadzi","naturally_regenerating",2,">10cm","180","P16","Malawi","Wells for Zoe","Control","Control","30x30",672,285,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","Nkhadzi","Needs Review",NA,NA
"97","Chiombo","naturally_regenerating",1,">10cm","180","P20","Malawi","Wells for Zoe","Control","Control","30x30",674,287,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","Chiombo","Needs Review",NA,NA
"98","0",NA,NA,NA,"180","M28","Malawi","Wells for Zoe","Control","Control","30x30",742,296,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","0","Needs Review",NA,NA
"99","0",NA,NA,NA,"180","M39","Malawi","Wells for Zoe","Restoration","Restoration","30x30",743,301,"main","Normal_30x30_2",NA,"Randomized",1,1,"2m by 2m","Y0","0","Needs Review",NA,NA
"100","Masuku","naturally_regenerating",1,">10cm","180","M43","Malawi","Wells for Zoe","Restoration","Restoration","30x30",745,303,"main","Normal_30x30_2",NA,"Permanent",1,2,"2m by 2m","Y0","Masuku","Needs Review",NA,NA
"101","Chiombo","naturally_regenerating",1,">10cm","180","M37","Malawi","Wells for Zoe","Restoration","Restoration","30x30",747,312,"main","Normal_30x30_2",NA,"Randomized",2,1,"2m by 2m","Y0","Chiombo","Needs Review",NA,NA
"102","O",NA,0,NA,"180","M38","Malawi","Wells for Zoe","Control","Control","30x30",748,313,"main","Normal_30x30_2",NA,NA,0,1,NA,"Y0","O","Needs Review",NA,NA
"103","No",NA,0,NA,"180","M41","Malawi","Wells for Zoe","Restoration","Restoration","30x30",749,314,"main","Normal_30x30_2",NA,"Randomized",1,1,"2m by 2m","Y0","No","Needs Review",NA,NA
"104","No",NA,0,NA,"180","M42","Malawi","Wells for Zoe","Restoration","Restoration","30x30",750,315,"main","Normal_30x30_2",NA,"Randomized",1,1,"2m by 2m","Y0","No","Needs Review",NA,NA
"105","No","don_t_know",NA,">10cm","180","P27","Malawi","Wells for Zoe","Control","Control","30x30",753,324,"main","Normal_30x30_2",NA,NA,0,0,NA,"Y0","No","Needs Review",NA,NA
"106",NA,"Present",NA,">10cm","1225","1225-1","Mexico","Macuiles","Restoration","Restoration","30x30",884,339,"main","Normal_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 6m por 6m.","Y0",NA,"Needs Review",NA,NA
"107","None",NA,NA,NA,"1794","S0051CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",1123,374,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"108","None",NA,NA,NA,"1786","ALZ43","Madagascar","CI Madagascar","Restoration","Control","30x30",1124,375,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"109","None",NA,NA,NA,"1794","CP024","Madagascar","CI Madagascar","Restoration","Control","30x30",1125,376,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"110","None",NA,NA,NA,"1795","ASVC052 AG","Madagascar","CI Madagascar","Restoration","Control","30x30",1126,377,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"111","None",NA,NA,NA,"1795","CP0025CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",1127,378,"main","Normal_30x30_2",NA,NA,0,2,NA,"Y0","None","Needs Review",NA,NA
"112","Assang","planted",1,"<10cm planted","96","B10","DRC","Faja Lobi","Restoration","Restoration","30x30",1131,380,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Assang","Needs Review",NA,NA
"113","Ontang","planted",1,"<10cm planted","96","B10","DRC","Faja Lobi","Restoration","Restoration","30x30",1133,380,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Ontang","Needs Review",NA,NA
"114","Assang","planted",1,"<10cm planted","96","B10.2","DRC","Faja Lobi","Restoration","Restoration","30x30",1138,381,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Assang","Needs Review",NA,NA
"115","Afromosia","planted",16,"<10cm planted","96","B10.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1140,382,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Afromosia","Needs Review",NA,NA
"116","Ontang","planted",5,"<10cm planted","96","B10.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1148,383,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Ontang","Needs Review",NA,NA
"117","Nguba mindele","planted",4,"<10cm planted","96","B10.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1151,383,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Nguba mindele","Needs Review",NA,NA
"118","Afromosia","planted",1,"<10cm planted","96","B10.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1152,383,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Afromosia","Needs Review",NA,NA
"119","Assang","planted",6,"<10cm planted","96","B10.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1153,383,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Assang","Needs Review",NA,NA
"120","Nguba","planted",13,"<10cm planted","96","B10.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1156,384,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Nguba","Needs Review",NA,NA
"121","Ontang","planted",2,"<10cm planted","96","B10.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1157,384,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Ontang","Needs Review",NA,NA
"122","Afromosia","planted",15,"<10cm planted","96","B10.6","DRC","Faja Lobi","Restoration","Restoration","30x30",1161,385,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Afromosia","Needs Review",NA,NA
"123","Afromosia","planted",20,"<10cm planted","96","B10.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1164,386,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Afromosia","Needs Review",NA,NA
"124","Onkok","planted",2,"<10cm planted","96","B10.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1167,386,"main","Normal_30x30_2",NA,"Permanent",0,0,"2.5×3","Y0","Onkok","Needs Review",NA,NA
