"","tree_data.Species","tree_data._index","tree_data._parent_index","tree_data._parent_table_name","tree_data.Data_type","tree_data.Number_of_trees","tree_data.Tree_type","tree_data.plot_type","tree_data._id","tree_data._parent_table","submitted_name","matched_name2","data_source_title","score","genus_name","family_data_out"
"384","Diospyros pyrrhocarpa",1,49,NA,"group_qr1fe53",1,"Present","1x1m",221732781,"main","Diospyros pyrrhocarpa","Diospyros pyrrhocarpa","Tropicos - Missouri Botanical Garden",0.988,"Diospyros","Ebenaceae"
"385","Diphysa americana",249,100,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Diphysa americana","Diphysa americana","Tropicos - Missouri Botanical Garden",0.988,"Diphysa","Fabaceae"
"386","Diphysa americana",224,95,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Diphysa americana","Diphysa americana","Tropicos - Missouri Botanical Garden",0.988,"Diphysa","Fabaceae"
"387","Diphysa americana",5,95,NA,"group_an2yk58",1,"Present","30x30m",229426361,"main","Diphysa americana","Diphysa americana","Tropicos - Missouri Botanical Garden",0.988,"Diphysa","Fabaceae"
"388","Diphysa americana",3,100,NA,"group_an2yk58",1,"Present","30x30m",229426542,"main","Diphysa americana","Diphysa americana","Tropicos - Missouri Botanical Garden",0.988,"Diphysa","Fabaceae"
"389","Diphysa americana",237,98,"main","group_an2yk58",2,"Present","30x30m",NA,NA,"Diphysa americana","Diphysa americana","Tropicos - Missouri Botanical Garden",0.988,"Diphysa","Fabaceae"
"390","Diphysa americana",7,98,NA,"group_an2yk58",2,"Present","30x30m",229426458,"main","Diphysa americana","Diphysa americana","Tropicos - Missouri Botanical Garden",0.988,"Diphysa","Fabaceae"
"391","Diphysa americana",136,74,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Diphysa americana","Diphysa americana","Tropicos - Missouri Botanical Garden",0.988,"Diphysa","Fabaceae"
"392","Diphysa americana",9,74,NA,"group_an2yk58",1,"Present","30x30m",229320531,"main","Diphysa americana","Diphysa americana","Tropicos - Missouri Botanical Garden",0.988,"Diphysa","Fabaceae"
"393","Dipterocarpus grandiflorus",1,47,NA,"group_an2yk58",3,"Present","30x30m",221706815,"main","Dipterocarpus grandiflorus","Dipterocarpus grandiflorus","Tropicos - Missouri Botanical Garden",0.988,"Dipterocarpus","Dipterocarpaceae"
"394","Dipterocarpus grandiflorus",27,47,"main","group_an2yk58",3,"Present","30x30m",NA,NA,"Dipterocarpus grandiflorus","Dipterocarpus grandiflorus","Tropicos - Missouri Botanical Garden",0.988,"Dipterocarpus","Dipterocarpaceae"
"395","Dipterocarpus grandiflorus",1,48,NA,"group_qr1fe53",1,"Present","1x1m",221722552,"main","Dipterocarpus grandiflorus","Dipterocarpus grandiflorus","Tropicos - Missouri Botanical Garden",0.988,"Dipterocarpus","Dipterocarpaceae"
"396","Dipterocarpus grandiflorus",89,67,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Dipterocarpus grandiflorus","Dipterocarpus grandiflorus","Tropicos - Missouri Botanical Garden",0.988,"Dipterocarpus","Dipterocarpaceae"
"397","Dipterocarpus grandiflorus",14,48,"main","group_qr1fe53",1,"Present","1x1m",NA,NA,"Dipterocarpus grandiflorus","Dipterocarpus grandiflorus","Tropicos - Missouri Botanical Garden",0.988,"Dipterocarpus","Dipterocarpaceae"
"398","Dipterocarpus grandiflorus",6,67,NA,"group_an2yk58",1,"Present","30x30m",228208377,"main","Dipterocarpus grandiflorus","Dipterocarpus grandiflorus","Tropicos - Missouri Botanical Garden",0.988,"Dipterocarpus","Dipterocarpaceae"
"399","Douglas",2,18,NA,"begin_repeat_ELDOiv5Dr",2,"planted","3x3m within 30x30m",189663391,"main",NA,NA,NA,NA,NA,NA
"400","Dracaena fragrans",10,51,NA,"begin_repeat_ztsNCjoPm",1,"Present","30x30m",224763824,"main","Dracaena fragrans","Dracaena fragrans","The International Plant Names Index",0.988,"Dracaena","Asparagaceae"
