"","submitted_name","matched_name2","user_supplied_name","data_source_title","score","genus_name","family_data_out"
"57","Buchanania arborescens (blume)","Buchanania arborescens","Buchanania arborescens (Blume)","Tropicos - Missouri Botanical Garden","0.988","Buchanania","Anacardiaceae"
"58","Buchanania arborescens (Blume)","Buchanania arborescens",NA,NA,NA,"Buchanania","Anacardiaceae"
"59","Bursera copallifera","Bursera copallifera","Bursera copallifera","Tropicos - Missouri Botanical Garden","0.988","Bursera","Burseraceae"
"60","Bursera simaruba","Bursera simaruba","Bursera simaruba","The International Plant Names Index","0.988","Bursera","Burseraceae"
"61","Bursera simaruba","Bursera simaruba","Bursera simaruba","The International Plant Names Index","0.988","Bursera","Burseraceae"
"62","Bursera simaruba","Bursera simaruba","Bursera simaruba","The International Plant Names Index","0.988","Bursera","Burseraceae"
"63","Bursera simaruba","Bursera simaruba","Bursera simaruba","The International Plant Names Index","0.988","Bursera","Burseraceae"
"64","Butea monosperma","Butea monosperma","Butea monosperma","Tropicos - Missouri Botanical Garden","0.988","Butea","Fabaceae"
"65","Butea monosperma","Butea monosperma","Butea monosperma","Tropicos - Missouri Botanical Garden","0.988","Butea","Fabaceae"
"66","Butea monosperma","Butea monosperma","Butea monosperma","Tropicos - Missouri Botanical Garden","0.988","Butea","Fabaceae"
"67","Butea monosperma","Butea monosperma","Butea monosperma","Tropicos - Missouri Botanical Garden","0.988","Butea","Fabaceae"
"68","Caffea arabica","Coffea arabica","Caffea arabica","Tropicos - Missouri Botanical Garden","0.75","Coffea","Rubiaceae"
"69","Caffea arabica","Coffea arabica","Caffea arabica","Tropicos - Missouri Botanical Garden","0.75","Coffea","Rubiaceae"
"70","Caffea arabica","Coffea arabica","Caffea arabica","Tropicos - Missouri Botanical Garden","0.75","Coffea","Rubiaceae"
"71","Caffea arabica","Coffea arabica","Caffea arabica","Tropicos - Missouri Botanical Garden","0.75","Coffea","Rubiaceae"
"72","Calophyllum blancoi pl. & tr.","Calophyllum blancoi","Calophyllum blancoi Pl. & Tr.","Tropicos - Missouri Botanical Garden","0.988","Calophyllum","Calophyllaceae"
"73","Calophyllum blancoi Pl. & Tr.","Calophyllum blancoi",NA,NA,NA,"Calophyllum","Calophyllaceae"
"74","Carpinus","Carpinus","Carpinus","The International Plant Names Index","0.75","Carpinus","Betulaceae"
"75","Carpinus betulus","Carpinus betulus","Carpinus betulus","The International Plant Names Index","0.988","Carpinus","Betulaceae"
"76","Cecropia peltata","Cecropia peltata","Cecropia peltata","Tropicos - Missouri Botanical Garden","0.988","Cecropia","Urticaceae"
"77","Cedrela odorata","Cedrela odorata","Cedrela odorata","Tropicos - Missouri Botanical Garden","0.988","Cedrela","Meliaceae"
"78","Cedrela odorata l.","Cedrela odorata","Cedrela odorata L.","Tropicos - Missouri Botanical Garden","0.999","Cedrela","Meliaceae"
"79","Cedrela odorata L.","Cedrela odorata",NA,NA,NA,"Cedrela","Meliaceae"
"80","Cedrela odorate","Cedrela odorata","Cedrela odorate","Tropicos - Missouri Botanical Garden","0.75","Cedrela","Meliaceae"
"81","Ceiba pentandra","Ceiba pentandra","Ceiba pentandra","The International Plant Names Index","0.988","Ceiba","Malvaceae"
"82","Ceiba pentandra","Ceiba pentandra","Ceiba pentandra","The International Plant Names Index","0.988","Ceiba","Malvaceae"
"83","Ceiba pentandra","Ceiba pentandra","Ceiba pentandra","The International Plant Names Index","0.988","Ceiba","Malvaceae"
"84","Ceiba pentandra","Ceiba pentandra","Ceiba pentandra","The International Plant Names Index","0.988","Ceiba","Malvaceae"
"85","Chrysophyllum cainito","Chrysophyllum cainito","Chrysophyllum cainito","The International Plant Names Index","0.988","Chrysophyllum","Sapotaceae"
"86","Chysophyllum cainito","Chrysophyllum cainito","Chysophyllum cainito","Tropicos - Missouri Botanical Garden","0.75","Chrysophyllum","Sapotaceae"
"87","Citrus x aurantiifolia","Citrus aurantiifolia","Citrus x aurantiifolia","Tropicos - Missouri Botanical Garden","0.988","Citrus","Rutaceae"
"88","Cochlospermum vitafolium","Cochlospermum vitifolium","Cochlospermum vitafolium","Tropicos - Missouri Botanical Garden","0.75","Cochlospermum","Cochlospermaceae"
"89","Cochlospermum vitifolium","Cochlospermum vitifolium","Cochlospermum vitifolium","Tropicos - Missouri Botanical Garden","0.988","Cochlospermum","Cochlospermaceae"
"90","Coffea arabica","Coffea arabica","Coffea arabica","The International Plant Names Index","0.988","Coffea","Rubiaceae"
"91","Coffea arabica","Coffea arabica","Coffea arabica","The International Plant Names Index","0.988","Coffea","Rubiaceae"
"92","Coffea arabica","Coffea arabica","Coffea arabica","The International Plant Names Index","0.988","Coffea","Rubiaceae"
"93","Coffea arabica","Coffea arabica","Coffea arabica","The International Plant Names Index","0.988","Coffea","Rubiaceae"
"94","Cojoba  arborea","Cojoba arborea","Cojoba  arborea","Tropicos - Missouri Botanical Garden","0.988","Cojoba","Fabaceae"
"95","Cojoba arborea","Cojoba arborea","Cojoba arborea","Tropicos - Missouri Botanical Garden","0.988","Cojoba","Fabaceae"
"96","Conostegia xalapensis","Conostegia xalapensis","Conostegia xalapensis","The International Plant Names Index","0.988","Conostegia","Melastomataceae"
"97","Conostegia xalapensis","Conostegia xalapensis","Conostegia xalapensis","The International Plant Names Index","0.988","Conostegia","Melastomataceae"
