OBJECTID *,Shape *,Site_ID,Country,Org_Name,Site_Name,MERGE_SRC,Site Area (ha),Shape_Length,Shape_Area
885,Polygon ZM,"2,182",Colombia,CI COLOMBIA,F36-1,MUSESI_TERRAMATCH_SEPT,0.0434,0.000834,0
886,Polygon ZM,"2,183",Colombia,CI COLOMBIA,F43-1,MUSESI_TERRAMATCH_SEPT,0.5993,0.002896,0
887,Polygon ZM,"2,184",Colombia,CI COLOMBIA,G01-1,MUSESI_TERRAMATCH_SEPT,0.258,0.002101,0
888,Polygon ZM,"2,185",Colombia,CI COLOMBIA,G07-1,MUSESI_TERRAMATCH_SEPT,0.2061,0.002742,0
889,Polygon ZM,"2,186",Colombia,CI COLOMBIA,G08-1,MUSESI_TERRAMATCH_SEPT,0.2599,0.003141,0
890,Polygon ZM,"2,187",Colombia,CI COLOMBIA,G13-1,MUSESI_TERRAMATCH_SEPT,0.3294,0.002143,0
891,Polygon ZM,"2,188",Colombia,CI COLOMBIA,G17,MUSESI_TERRAMATCH_SEPT,0.8285,0.003181,0.000001
892,Polygon ZM,"2,189",Colombia,CI COLOMBIA,G22-1,MUSESI_TERRAMATCH_SEPT,1.0706,0.005925,0.000001
893,Polygon ZM,"2,190",Colombia,CI COLOMBIA,H02-1,MUSESI_TERRAMATCH_SEPT,1.336,0.00488,0.000001
894,Polygon ZM,"2,191",Colombia,CI COLOMBIA,H10,MUSESI_TERRAMATCH_SEPT,0.7475,0.003266,0.000001
895,Polygon ZM,"2,192",Colombia,CI COLOMBIA,J01-1,MUSESI_TERRAMATCH_SEPT,0.8493,0.003963,0.000001
896,Polygon ZM,"2,193",Colombia,CI COLOMBIA,J01-2,MUSESI_TERRAMATCH_SEPT,9.2226,0.015398,0.000008
897,Polygon ZM,"2,194",Colombia,CI COLOMBIA,J02-1,MUSESI_TERRAMATCH_SEPT,3.6334,0.009291,0.000003
898,Polygon ZM,"2,195",Colombia,CI COLOMBIA,J02-2,MUSESI_TERRAMATCH_SEPT,0.3748,0.002763,0
899,Polygon ZM,"2,196",Colombia,CI COLOMBIA,J02-3,MUSESI_TERRAMATCH_SEPT,2.8974,0.009825,0.000002
