"","Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","destination_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe","submitted_species_name","name_validation","score","data_source_title"
"200","Palos e cobré","Present",2,">10cm","1508","1508","Mexico","CUCOS","Restoration","Restoration","30x30",5251,2436,"main","Normal_30x30_2",NA,"Permanent",0,0,"3x4","Y0","Palos e cobré","Needs Review",NA,NA
"201","Chamicillo","Present",4,">10cm","1507","1507","Mexico","CUCOS","Restoration","Restoration","30x30",5253,2437,"main","Normal_30x30_2",NA,"Permanent",0,0,"4x4","Y0","Chamicillo","Needs Review",NA,NA
"202","Cobre","Present",3,">10cm","1507","1507","Mexico","CUCOS","Restoration","Restoration","30x30",5254,2437,"main","Normal_30x30_2",NA,"Permanent",0,0,"4x4","Y0","Cobre","Needs Review",NA,NA
"203","Palo achiote silvestre","Present",2,">10cm","1302","1302_1","Mexico","UCIRI","Restoration","Restoration","30x30",5258,2438,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo achiote silvestre","Needs Review",NA,NA
"204","Palo de achiote silvestre","Present",1,">10cm","1302","1302_1","Mexico","UCIRI","Restoration","Restoration","30x30",5283,2442,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de achiote silvestre","Needs Review",NA,NA
"205","Palo de canela","Present",5,">10cm","1302","1302_1","Mexico","UCIRI","Restoration","Restoration","30x30",5300,2445,"main","Normal_30x30_2",NA,"Permanent",0,0,"Los árboles se plantaron con una separación de 2 m por 2 m","Y0","Palo de canela","Needs Review",NA,NA
"206","Chamisillo","Present",6,">10cm","1512","1512","Mexico","CUCOS","Restoration","Restoration","30x30",5347,2454,"main","Normal_30x30_2",NA,"Permanent",0,0,"4x4","Y0","Chamisillo","Needs Review",NA,NA
"207","Encino","Present",2,">10cm","1512","1512","Mexico","CUCOS","Restoration","Restoration","30x30",5349,2454,"main","Normal_30x30_2",NA,"Permanent",0,0,"4x4","Y0","Encino","Needs Review",NA,NA
"208","Nanche","Present",2,">10cm","1487","1487","Mexico","CUCOS","Restoration","Restoration","30x30",5351,2455,"main","Normal_30x30_2",NA,"Permanent",0,0,"4x3","Y0","Nanche","Needs Review",NA,NA
"209","Aguacate","Present",4,">10cm","_1 Godofredo m","0_1","Mexico","UCIRI","Restoration","Restoration","30x30",5364,2457,"main","Normal_30x30_2",NA,"Permanent",0,0,"2 m por 2 m","Y0","Aguacate","Needs Review",NA,NA
"210","Mano de León","Present",2,">10cm","_1 Godofredo m","0_1","Mexico","UCIRI","Restoration","Restoration","30x30",5366,2457,"main","Normal_30x30_2",NA,"Permanent",0,0,"2 m por 2 m","Y0","Mano de León","Needs Review",NA,NA
"211","Tachuela","Present",1,">10cm","_1 Godofredo m","0_1","Mexico","UCIRI","Restoration","Restoration","30x30",5367,2457,"main","Normal_30x30_2",NA,"Permanent",0,0,"2 m por 2 m","Y0","Tachuela","Needs Review",NA,NA
"212","Madrecacao","Present",1,">10cm","_1 Godofredo m","0_1","Mexico","UCIRI","Restoration","Restoration","30x30",5368,2457,"main","Normal_30x30_2",NA,"Permanent",0,0,"2 m por 2 m","Y0","Madrecacao","Needs Review",NA,NA
"213","Ciruela morado","naturally_regenerating",2,">10cm","_1 Godofredo m","0_1","Mexico","UCIRI","Restoration","Restoration","30x30",5369,2457,"main","Normal_30x30_2",NA,"Permanent",0,0,"2 m por 2 m","Y0","Ciruela morado","Needs Review",NA,NA
"214","Mumato","Present",2,">10cm","1607","1607","Mexico","CUCOS","Restoration","Restoration","30x30",5370,2458,"main","Normal_30x30_2",NA,"Permanent",0,0,"4x4","Y0","Mumato","Needs Review",NA,NA
