"Organization_Name","Site_ID","size_class","Species","Already Present","Planted","Unknown"
"Amadese","1749",">10cm","Pinus",21.2275925925926,NA,NA
"Amadese","1749",">10cm","Pinus patula",7.07586419753086,NA,NA
"Amadese","1749",">10cm","Tambourissa madagascariensis",63.6827777777778,NA,NA
"Amadese","1749",">10cm","Trema orientalis",42.4551851851852,NA,NA
"Amadese","1749","<10cm planted","Dracaena reflexa",NA,2154.60064814815,NA
"Amadese","1749","<10cm planted","Harungana madagascariensis",NA,1984.77990740741,NA
"Amadese","1749","<10cm planted","Intsia bijuga",NA,17194.35,NA
"Amadese","1749","<10cm planted","Trachylobium verrucosum",NA,22915.1862037037,NA
"Amadese","1749","<1cm","RAS",NA,NA,0
"Amadese","1750","1 - 9.9cm","Coffea mangoroensis",131.076,NA,NA
"Amadese","1750","1 - 9.9cm","Entada louvelii",72.82,NA,NA
"Amadese","1750","1 - 9.9cm","Eucalyptus robusta",145.64,NA,NA
"Amadese","1750","1 - 9.9cm","Psidium guajava",922.386666666667,NA,NA
"Amadese","1750",">10cm","Eucalyptus robusta",145.64,NA,NA
"Amadese","1750",">10cm","Eugenia",50.974,NA,NA
"Amadese","1750",">10cm","Melia azedarach",14.564,NA,NA
"Amadese","1750",">10cm","Psidium guajava",364.1,NA,NA
"Amadese","1750","<10cm planted","Citrus sinensis",NA,1004.916,NA
"Amadese","1750","<10cm planted","Coffea mangoroensis",NA,801.02,NA
"Amadese","1750","<10cm planted","Dracaena reflexa",NA,1456.4,NA
"Amadese","1750","<10cm planted","Ficus reflexa",NA,87.384,NA
"Amadese","1750","<10cm planted","Harungana madagascariensis",NA,72.82,NA
"Amadese","1750","<10cm planted","Intsia bijuga",NA,5971.24,NA
"Amadese","1750","<10cm planted","Litchi",NA,101.948,NA
"Amadese","1750","<10cm planted","Morus alba",NA,58.256,NA
"Amadese","1750","<10cm planted","Papaya",NA,101.948,NA
"Amadese","1750","<10cm planted","Trachylobium verrucosum",NA,25472.436,NA
"Amadese","1750","<10cm planted","Trema humbertii",NA,349.536,NA
"Amadese","1751",">10cm","Eriobotrya japonica",3.83814814814815,NA,NA
"Amadese","1751",">10cm","Eugenia",7.6762962962963,NA,NA
"Amadese","1751","<10cm planted","Citrus sinensis",NA,155.445,NA
"Amadese","1751","<10cm planted","Coffea",NA,11.5144444444444,NA
"Amadese","1751","<10cm planted","Eugenia",NA,69.0866666666667,NA
"Amadese","1751","<10cm planted","Mangifera",NA,23.0288888888889,NA
"Amadese","1751","<10cm planted","Morus alba",NA,11.5144444444444,NA
"Amadese","1751","<10cm planted","Prunus persica",NA,11.5144444444444,NA
"Amadese","1751","<10cm planted","Spondias dulcis",NA,40.3005555555556,NA
"Amadese","1752","1 - 9.9cm","Psidium guajava",970.777777777778,NA,NA
"Amadese","1752","<10cm planted","Coffea mangoroensis",NA,640.713333333333,NA
"Amadese","1752","<10cm planted","Dracaena reflexa",NA,2980.28777777778,NA
"Amadese","1752","<10cm planted","Intsia bijuga",NA,97.0777777777778,NA
"Amadese","1752","<10cm planted","Trachylobium verrucosum",NA,5572.26444444444,NA
"Amadese","1753","1 - 9.9cm","Melia azedarach",243.259259259259,NA,NA
"Amadese","1753",">10cm","Albizia gummifera",72.9777777777778,NA,NA
"Amadese","1753",">10cm","Eucalyptus robusta",43.7866666666667,NA,NA
"Amadese","1753",">10cm","Eugenia",72.9777777777778,NA,NA
"Amadese","1753",">10cm","Melia azedarach",109.466666666667,NA,NA
"Amadese","1753",">10cm","Psiadia altissima",36.4888888888889,NA,NA
"Amadese","1753","<10cm planted","Piper nigrum",NA,131.36,NA
"Amadese","1755","<10cm planted","Citrus sinensis",NA,185.777777777778,NA
"Amadese","1755","<10cm planted","Coffea",NA,92.8888888888889,NA
"Amadese","1755","<10cm planted","Litchi",NA,92.8888888888889,NA
"Amadese","1756","1 - 9.9cm","Eucalyptus robusta",208.814814814815,NA,NA
"Amadese","1756",">10cm","Eucalyptus robusta",12.5288888888889,NA,NA
"Amadese","1756","<10cm planted","Citrus sinensis",NA,84.57,NA
"Amadese","1756","<10cm planted","Coffea mangoroensis",NA,18.7933333333333,NA
"Amadese","1756","<10cm planted","Litchi",NA,6.26444444444444,NA
"Amadese","1757","1 - 9.9cm","Psidium guajava",32.826,NA,NA
"Amadese","1757",">10cm","Trema orientalis",5.471,NA,NA
"Amadese","1757","<10cm planted","Citrus sinensis",NA,147.717,NA
"Amadese","1758","1 - 9.9cm","Albizia gummifera",311.53514800712,NA,NA
"Amadese","1758","1 - 9.9cm","Albizia perrieri",1298.06311669633,NA,NA
"Amadese","1758","1 - 9.9cm","Asplenium pellucidum",38.94189350089,NA,NA
"Amadese","1758","1 - 9.9cm","Baudouinia fluggeiformis",1427.86942836597,NA,NA
"Amadese","1758","1 - 9.9cm","Brachylaena perrieri",129.806311669633,NA,NA
"Amadese","1758","1 - 9.9cm","Eucalyptus robusta",7295.1147158334,NA,9735.47337522251
"Amadese","1758","1 - 9.9cm","Eugenia",51.9225246678534,NA,NA
"Amadese","1758","1 - 9.9cm","Eugénie off. Cloiselli",77.8837870017801,NA,NA
"Amadese","1758","1 - 9.9cm","Grevillia",1298.06311669633,NA,NA
"Amadese","1758","1 - 9.9cm","Grevillia robusta",77.8837870017801,NA,NA
"Amadese","1758","1 - 9.9cm","Psiadia altissima",207.690098671414,NA,NA
"Amadese","1758","1 - 9.9cm","Psidium guajava",973.547337522251,NA,NA
"Amadese","1758","1 - 9.9cm","Thilachium angustifolium",64.9031558348167,NA,NA
"Amadese","1758","1 - 9.9cm","Voapika",38.94189350089,NA,NA
"Amadese","1758","<1cm","Psidium guajava",58412.8402513351,NA,NA
"Amadese","1758",">10cm","Albizia gummifera",23.7978238060995,NA,NA
"Amadese","1758",">10cm","Albizia perrieri",432.687705565445,NA,NA
"Amadese","1758",">10cm","Artocarpus heterophyllus",25.9612623339267,NA,NA
"Amadese","1758",">10cm","Brachylaena",77.8837870017801,NA,NA
"Amadese","1758",">10cm","Brachylaena perrieri",51.9225246678534,NA,NA
"Amadese","1758",">10cm","Eucalyptus robusta",300.717955367984,NA,116.82568050267
"Amadese","1758",">10cm","Grevillia",160.094451059215,NA,NA
"Amadese","1758",">10cm","Grevillia robusta",216.343852782723,NA,NA
"Amadese","1758",">10cm","Psidium guajava",25.9612623339267,NA,NA
"Amadese","1758",">1cm","Eucalyptus robusta",6490.31558348167,NA,5192.25246678534
"Amadese","1758",">1cm","Psidium guajava",2596.12623339267,NA,NA
"Amadese","1758","<10cm planted","Citrus sinensis",NA,1505.75321536775,NA
"Amadese","1758","<10cm planted","Coffea",NA,311.53514800712,NA
"Amadese","1758","<10cm planted","Coffea mangoroensis",NA,597.109033680314,NA
"Amadese","1758","<10cm planted","Dracaena",NA,1817.28836337487,NA
"Amadese","1758","<10cm planted","Dracaena reflexa",NA,51740.7958315159,NA
"Amadese","1758","<10cm planted","Eugenia",NA,25.9612623339267,NA
"Amadese","1758","<10cm planted","Ficus lutea",NA,246.631992172304,NA
"Amadese","1758","<10cm planted","Harungana",NA,739.895976516911,NA
"Amadese","1758","<10cm planted","Harungana madagascariensis",NA,31114.5729072111,NA
"Amadese","1758","<10cm planted","Intsia",NA,921.624812854398,NA
"Amadese","1758","<10cm planted","Intsia bijuga",NA,31919.3720395629,NA
"Amadese","1758","<10cm planted","Intsia madagascariensis",NA,1103.35364919188,NA
"Amadese","1758","<10cm planted","Mangifera indica",NA,77.8837870017801,NA
"Amadese","1758","<10cm planted","Papaya",NA,12.9806311669633,NA
"Amadese","1758","<10cm planted","Persea americana",NA,12.9806311669633,NA
"Amadese","1758","<10cm planted","Spondens dipsis",NA,64.9031558348167,NA
"Amadese","1758","<10cm planted","Trachylobium",NA,778.837870017801,NA
"Amadese","1758","<10cm planted","Trachylobium verrucosum",NA,76403.9950487463,NA
"Amadese","1758","<10cm planted","Trema orientalis",NA,3699.47988258455,NA
"Amadese","1758","1 - 9.9cm","Ficus lutea",NA,NA,5192.25246678534
"Amadese","1758","<1cm","",NA,NA,0
"Amadese","1758",">1cm","Brachylaena perrieri",NA,NA,2596.12623339267
"Amadese","1758",">1cm","Coffea millotii",NA,NA,3894.18935008901
"Amadese","1759","1 - 9.9cm","Eugenia",9.48210526315789,NA,NA
"Amadese","1759","1 - 9.9cm","Psiadia altissima",142.231578947368,NA,NA
"Amadese","1759","1 - 9.9cm","Trema orientalis",379.284210526316,NA,NA
"Amadese","1759",">10cm","Eucalyptus robusta",18.9642105263158,NA,NA
"Amadese","1759",">10cm","Mangifera indica",37.9284210526316,NA,NA
"Amadese","1759",">10cm","Trema orientalis",237.052631578947,NA,NA
"Amadese","1759","<10cm planted","Citrus sinensis",NA,284.463157894737,NA
"Amadese","1759","<10cm planted","Coffea mangoroensis",NA,331.873684210526,NA
"Amadese","1759","<10cm planted","Eriobotrya japonica",NA,56.8926315789474,NA
"Amadese","1759","<10cm planted","Litchi",NA,47.4105263157895,NA
"Amadese","1759","<10cm planted","Prunus persica",NA,94.821052631579,NA
"Amadese","1759","<10cm planted","Trachylobium verrucosum",NA,1185.26315789474,NA
"Amadese","1760","<10cm planted","Dracaena",NA,1287.48459459459,NA
"Amadese","1760","<10cm planted","Dracaena reflexa",NA,3328.02621621622,NA
"Amadese","1760","<10cm planted","Harungana madagascariensis",NA,1578.99054054054,NA
"Amadese","1760","<10cm planted","Intsia bijuga",NA,170.045135135135,NA
"Amadese","1760","<10cm planted","Trachylobium verrucosum",NA,6291.67,NA
"Amadese","1761","1 - 9.9cm","Persea americana",342.688172043011,NA,NA
"Amadese","1761","<10cm planted","Citrus sinensis",NA,20.5612903225806,NA
"Amadese","1761","<10cm planted","Coffea",NA,606.558064516129,NA
"Amadese","1761","<10cm planted","Coffea mangoroensis",NA,503.751612903226,NA
"Amadese","1761","<10cm planted","Dracaena reflexa",NA,9530.15806451613,NA
"Amadese","1761","<10cm planted","Harungana madagascariensis",NA,5273.97096774194,NA
"Amadese","1761","<10cm planted","Intsia bijuga",NA,565.435483870968,NA
"Amadese","1761","<10cm planted","Litchi chinensis",NA,20.5612903225806,NA
