"Organization_Name","Site_ID","size_class","Already Present","Planted","Unknown"
"Amadese","1782","<10cm planted",NA,237.722222222222,NA
"Amadese","1783","<10cm planted",NA,2215.27703703704,NA
"Amadese","1784","<10cm planted",NA,1.88333333333333,NA
"Amadese","1785","1 - 9.9cm",1685.39682539683,NA,NA
"Amadese","1785",">10cm",15.1685714285714,NA,NA
"Amadese","1785","<10cm planted",NA,3670.79428571429,NA
"Amadese","1786","1 - 9.9cm",5184.8013029316,NA,5472.84581976113
"Amadese","1786",">10cm",138.261368078176,NA,NA
"Amadese","1786","<10cm planted",NA,100446.883908795,NA
"Amadese","1788",">10cm",24.4028813559322,NA,NA
"Amadese","1788","<10cm planted",NA,20742.4491525424,NA
"Amadese","1789","<10cm planted",NA,7295.08236111111,NA
"Amadese","1789","1 - 9.9cm",NA,NA,4047.63425925926
"Amadese","1790","<10cm planted",NA,5694.15,NA
"Amadese","1791","<10cm planted",NA,25.9077777777778,NA
"Amadese","1792",">10cm",68.2263157894737,NA,NA
"Amadese","1792","<10cm planted",NA,3984.41684210526,NA
"Amadese","1793","<10cm planted",NA,597.5,NA
"Amadese","1794","1 - 9.9cm",30364.284498713,NA,5987.32370397158
"Amadese","1794","<1cm",69281.8885745283,NA,NA
"Amadese","1794",">10cm",470.432576740624,NA,51.3199174626135
"Amadese","1794","<10cm planted",NA,264425.874726116,NA
"Amadese","1813","<10cm planted",NA,7530.12254723175,NA
"CI Madagascar","1744","<10cm planted",NA,0,NA
"CI Madagascar","1746","1 - 9.9cm",209.96,NA,NA
"CI Madagascar","1746",">10cm",104.98,NA,NA
"CI Madagascar","1750","<10cm planted",NA,640.816,NA
"CI Madagascar","1758","1 - 9.9cm",2185.0729131055,NA,NA
"CI Madagascar","1758",">10cm",298.554516840157,NA,12.9806311669633
"CI Madagascar","1758","<10cm planted",NA,5140.32994211749,NA
"CI Madagascar","1759","1 - 9.9cm",18.9642105263158,NA,NA
"CI Madagascar","1761","1 - 9.9cm",20.5612903225806,NA,10.2806451612903
"CI Madagascar","1761","<1cm",9252.58064516129,NA,NA
"CI Madagascar","1763","1 - 9.9cm",68.4259180910476,NA,NA
"CI Madagascar","1768","1 - 9.9cm",23.8589189189189,NA,NA
"CI Madagascar","1779","1 - 9.9cm",13.0610526315789,NA,NA
"CI Madagascar","1792","1 - 9.9cm",13.6452631578947,NA,NA
"CI Madagascar","1792",">10cm",13.6452631578947,NA,NA
"CI Madagascar","1794","<1cm",69281.8885745283,NA,NA
"CI Madagascar","1795","1 - 9.9cm",41.6897668484585,NA,NA
"CI Madagascar","1795",">10cm",41.6897668484585,NA,NA
"CI Madagascar","1797","1 - 9.9cm",254.860450196647,NA,12.1362119141261
"CI Madagascar","1797",">10cm",36.4086357423782,NA,NA
"CI Madagascar","1797","<10cm planted",NA,0,NA
"CI Madagascar","1821","<10cm planted",NA,30.5270078740158,NA
"CI Madagascar","1821","1 - 9.9cm",NA,NA,106.844527559055
"CI Madagascar","1828","<10cm planted",NA,43.072,NA
"CI Madagascar","1828","1 - 9.9cm",NA,NA,129.216
"CI Madagascar","1830","1 - 9.9cm",187.879518072289,NA,NA
"CI Madagascar","1831","1 - 9.9cm",263.328047571853,NA,NA
"CI Madagascar","1835","1 - 9.9cm",2721.87804878049,NA,NA
"CI Madagascar","1840","1 - 9.9cm",34.8032103233929,NA,NA
"CI Madagascar","1853","1 - 9.9cm",336.370044052863,NA,NA
"CI Madagascar","1854","1 - 9.9cm",NA,NA,52.9973808276585
"CI Madagascar","1860","1 - 9.9cm",26.1046635813457,NA,NA
"CI Madagascar","1862","1 - 9.9cm",168.823155298851,NA,NA
"CI Madagascar","1876","1 - 9.9cm",80.832,NA,NA
"CI Madagascar","1880","1 - 9.9cm",123.086486486486,NA,NA
"CI Madagascar","1880","<10cm planted",NA,35.1675675675676,NA
"CI Madagascar","1881","1 - 9.9cm",169.822105263158,NA,NA
"CI Madagascar","1889","1 - 9.9cm",813.163064833006,NA,NA
"CI Madagascar","1890","1 - 9.9cm",30.5609522506499,NA,NA
"CI Madagascar","1891","1 - 9.9cm",139.939794344473,NA,NA
"CI Madagascar","1891","<10cm planted",NA,63.6089974293059,NA
"CI Madagascar","1895",">10cm",151.786235662148,NA,NA
"CI Madagascar","1895","1 - 9.9cm",NA,NA,40476.3295099062
"CI Madagascar","1898","1 - 9.9cm",43.8315163528246,NA,NA
"CI Philippines","1742","1 - 9.9cm",7146650,NA,NA
"CI Philippines","1742","<1cm",25268512.5,NA,NA
"CI Philippines","1742",">10cm",222056.625,NA,NA
"CI Philippines","1987","1 - 9.9cm",6032897.66666667,NA,NA
"CI Philippines","1987","<1cm",20760265.5,NA,NA
"CI Philippines","1987",">10cm",149048.06,NA,NA
"CI Philippines","211","1 - 9.9cm",568719.763546798,NA,NA
"CI Philippines","211","<1cm",3079084.34482759,NA,NA
"CI Philippines","211",">10cm",22793.221773399,NA,NA
"CI Philippines","211","<10cm planted",NA,122408.042857143,NA
"FAFIALA","1794","<10cm planted",NA,128.299793656534,NA
"FAFIALA","1795","1 - 9.9cm",151180.99118146,NA,2779.31778989723
"FAFIALA","1795","<1cm",412728.691799739,NA,NA
"FAFIALA","1795",">10cm",421.52986480108,NA,NA
"FAFIALA","1795",">1cm",6948.29447474308,NA,NA
"FAFIALA","1795","<10cm planted",NA,552250.44485258,NA
"FAFIALA","1796","1 - 9.9cm",15696.6734448377,NA,1653.58687857126
"FAFIALA","1796","<1cm",44646.8457214241,NA,NA
"FAFIALA","1796",">10cm",446.468457214241,NA,NA
"FAFIALA","1796",">1cm",55808.5571517801,NA,NA
"FAFIALA","1796","<10cm planted",NA,36349.9735581928,NA
"FAFIALA","1797","1 - 9.9cm",117349.078401656,NA,3640.86357423782
"FAFIALA","1797","<1cm",141993.679395275,NA,NA
"FAFIALA","1797",">10cm",163.838860840702,NA,NA
"FAFIALA","1797",">1cm",97089.6953130085,NA,1213.62119141261
"FAFIALA","1797","<10cm planted",NA,296026.481009363,NA
"FAFIALA","1799","1 - 9.9cm",360.862354892206,NA,NA
"FAFIALA","1799",">1cm",93.9745715865119,NA,NA
"FAFIALA","1799","<10cm planted",NA,428.524046434494,NA
"FAFIALA","1800","1 - 9.9cm",7631.96777777778,NA,NA
"FAFIALA","1800","<10cm planted",NA,4567.72555555556,NA
"FAFIALA","1801","<10cm planted",NA,1920.5,NA
"FAFIALA","1802","1 - 9.9cm",2007.065,NA,NA
"FAFIALA","1802","<10cm planted",NA,6762.54333333333,NA
"FAFIALA","1803","1 - 9.9cm",23667.6963877458,NA,NA
"FAFIALA","1803","<1cm",102189.947089947,NA,NA
"FAFIALA","1803",">10cm",29.4374333180918,NA,NA
"FAFIALA","1803",">1cm",1261.60428506108,NA,NA
"FAFIALA","1803","<10cm planted",NA,45796.235547717,NA
"FAFIALA","1804","1 - 9.9cm",326.444444444444,NA,NA
"FAFIALA","1804","<10cm planted",NA,538.633333333333,NA
"FAFIALA","1805","1 - 9.9cm",8155.13228834327,NA,NA
"FAFIALA","1805","<1cm",11025.9675405743,NA,NA
"FAFIALA","1805",">1cm",3675.32251352476,NA,NA
"FAFIALA","1805","<10cm planted",NA,44557.1599389652,NA
"FAFIALA","1806","1 - 9.9cm",9446.09460946095,NA,NA
"FAFIALA","1806","<1cm",52316.8316831683,NA,NA
"FAFIALA","1806",">10cm",247.051705170517,NA,NA
"FAFIALA","1806","<10cm planted",NA,581.298129812981,NA
"FAFIALA","1808","1 - 9.9cm",199.8,NA,NA
"FAFIALA","1808","<10cm planted",NA,2207.79,NA
"FAFIALA","1809",">1cm",10277.7777777778,NA,NA
"FAFIALA","1809","<10cm planted",NA,1233.33333333333,NA
"FAFIALA","1810","1 - 9.9cm",1798,NA,NA
"FAFIALA","1810",">10cm",8.99,NA,NA
"FAFIALA","1810","<10cm planted",NA,3973.58,NA
"FAFIALA","1811","<10cm planted",NA,28377.4444444444,NA
"FAFIALA","1812","1 - 9.9cm",5501.43105297761,NA,10.0147409944981
"FAFIALA","1812",">10cm",56.7501989688224,NA,NA
"FAFIALA","1812",">1cm",4005.89639779923,NA,NA
"FAFIALA","1812","<10cm planted",NA,96962.7223087304,NA
"FAFIALA","1813","1 - 9.9cm",4277.67524983587,NA,NA
"FAFIALA","1813",">10cm",31.8174192136553,NA,NA
"FAFIALA","1813","<10cm planted",NA,20766.1689401123,NA
"FAFIALA","1814","<10cm planted",NA,6697.79833333333,NA
"FAFIALA","1815","<10cm planted",NA,1863.55555555556,NA
"FAFIALA","1816","<10cm planted",NA,353.333333333333,NA
"FAFIALA","1817",">1cm",1904.7304730473,NA,NA
"FAFIALA","1817","<10cm planted",NA,7523.68536853685,NA
"FAFIALA","1818","1 - 9.9cm",1811.42183594638,NA,476.689956827994
"FAFIALA","1818","<1cm",12870.6288343558,NA,NA
"FAFIALA","1818",">1cm",4290.20961145194,NA,NA
"FAFIALA","1818","<10cm planted",NA,28615.6981083845,NA
"FAFIALA","1819","1 - 9.9cm",2725.94282073416,NA,NA
"FAFIALA","1819",">1cm",6503.24330990258,NA,NA
"FAFIALA","1819","<10cm planted",NA,20403.9258848193,NA
"FONCET","295","1 - 9.9cm",21063.0769230769,NA,NA
"FONCET","295","<1cm",105315.384615385,NA,NA
"FONCET","295",">10cm",2429.27487179487,NA,NA
"FONCET","295","<10cm planted",NA,28.0841025641026,NA
"FONCET","296","1 - 9.9cm",58664.0888888889,NA,NA
"FONCET","296","<1cm",148916.533333333,NA,NA
