"Tree_type","Species","size_class","Tree_per_sq_30m","main_data.Enter_a_date","main_data.Country","main_data.Site_ID","main_data.Timeframe","main_data.Plot_ID","main_data.Plot_Type","main_data.Plot_Permanence","main_data.Resampling1","main_data.PlantingPattern","main_data.Resampling2","main_data.X_id"
"Present","Brysonima crassifolia","1-9.9cm",100,"2023-03-28","Mexico","295","Y0","295-12","Restoration","Permanent",0,"3 m por 3 m",0,229325609
"Present","Acacia caven",">10cm",1,"2023-03-29","Mexico","295","Y0","295-21","Restoration","Permanent",0,"3 m por 3 m",0,229326839
"Present","Brysonima crassifolia",">10cm",2,"2023-03-29","Mexico","295","Y0","295-21","Restoration","Permanent",0,"3 m por 3 m",0,229326839
"Present","Cochlospermum vitafolium",">10cm",7,"2023-03-29","Mexico","295","Y0","295-21","Restoration","Permanent",0,"3 m por 3 m",0,229326839
"Present","Quercus rugosa",">10cm",18,"2023-03-29","Mexico","295","Y0","295-21","Restoration","Permanent",0,"3 m por 3 m",0,229326839
"Present","Quercus rugosa","1-9.9cm",100,"2023-03-29","Mexico","295","Y0","295-21","Restoration","Permanent",0,"3 m por 3 m",0,229326839
"Present","Brysonima crassifolia",">10cm",1,"2023-03-28","Mexico","295","Y0","295-15","Restoration","Permanent",0,"3 m por 3 m",0,229326124
"Present","Pinus oocarpa",">10cm",2,"2023-03-28","Mexico","295","Y0","295-15","Restoration","Permanent",0,"3 m por 3 m",0,229326124
"Present","Quercus rugosa",">10cm",7,"2023-03-28","Mexico","295","Y0","295-15","Restoration","Permanent",0,"3 m por 3 m",0,229326124
"Present","Acacia caven","1-9.9cm",100,"2023-03-28","Mexico","295","Y0","295-15","Restoration","Permanent",0,"3 m por 3 m",0,229326124
"Present","Acacia caven","<1cm",1800,"2023-03-28","Mexico","295","Y0","295-16","Restoration","Permanent",0,"3 m por 3 m",0,229326523
"Present","Enterolobium ciclocarpum",">10cm",2,"2023-03-28","Mexico","295","Y0","295-16","Restoration","Permanent",0,"3 m por 3 m",0,229326523
"Present","Quercus rugosa",">10cm",5,"2023-03-28","Mexico","295","Y0","295-16","Restoration","Permanent",0,"3 m por 3 m",0,229326523
"Present","Acacia collinsii",">10cm",1,"2023-02-23","Mexico","349","Y0","349-3","Restoration","Permanent",0,"3x3",0,229426542
"Present","Diphysa americana",">10cm",1,"2023-02-23","Mexico","349","Y0","349-3","Restoration","Permanent",0,"3x3",0,229426542
"Present","Inga vera",">10cm",8,"2023-02-23","Mexico","349","Y0","349-3","Restoration","Permanent",0,"3x3",0,229426542
"Present","Persea americana",">10cm",2,"2023-02-23","Mexico","349","Y0","349-3","Restoration","Permanent",0,"3x3",0,229426542
"Present","Vijao",">10cm",1,"2023-02-23","Mexico","349","Y0","349-3","Restoration","Permanent",0,"3x3",0,229426542
"Present","Inga verá","1-9.9cm",100,"2023-02-23","Mexico","349","Y0","349-3","Restoration","Permanent",0,"3x3",0,229426542
"Present","Aglaia rimosa","<1cm",900,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Acacia mangium",">10cm",2,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Alangium javanicum",">10cm",6,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Alstonia scholaris (L.)",">10cm",2,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Artocarpus anisophyllus Miq",">10cm",1,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Artocarpus blancoi  (Elmer) Merr.",">10cm",2,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Artocarpus heterophyllous",">10cm",1,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Bauhinia variegata L.",">10cm",1,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Buchanania arborescens (Blume)",">10cm",1,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Buchanania nitida",">10cm",1,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Litsea glutinosa",">10cm",1,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Sandoricum vidalii Merr.",">10cm",1,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Tristaniopsis decorticata (Merr.)",">10cm",1,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Buchanania arborescens (Blume)","1-9.9cm",100,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Garcinia forbesii","1-9.9cm",100,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Guioa pleuropteris","1-9.9cm",100,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Litsea glutinosa","1-9.9cm",200,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Syzygium costulatum","1-9.9cm",100,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"Present","Terminalia microcarpa","1-9.9cm",200,"2022-07-21","Philippines","211","Y0","Control 02","Control",NA,NA,NA,0,221701339
"planted","Intsia bijuga","<1cm",900,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
"Present","Acacia mangium",">10cm",2,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
"Present","Alangium javanicum",">10cm",6,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
"Present","Alstonia scholaris (L.)",">10cm",2,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
"Present","Artocapus heteropyllus",">10cm",1,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
"Present","Artocarpus anisophyllus Miq.",">10cm",1,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
