"Site_ID","Plot_ID","Species","Tree_Count","Tree_Type","size_class","Timeframe","Country","Organization_Name","SiteType","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","Restoration_Technique"
"P10- RN 180","P10- RN 180","Swartzia polida",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",241,17,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P10- RN 180","P10- RN 180","Syagrus botryophora",12,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",234,17,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P10- RN 180","P10- RN 180","Tapirira guianensis",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",260,17,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P10- RN 180","P10- RN 180","Xylopia aromatica",2,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",243,17,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - ENR - 180","P2 -  ENR - 180","Byrsonima sericea",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",50,6,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"P2 - ENR - 180","P2 -  ENR - 180","Compamanesia dichotoma",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",43,6,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"P2 - ENR - 180","P2 -  ENR - 180","Eschweilera ovata",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",45,6,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"P2 - ENR - 180","P2 -  ENR - 180","Myrcia falla",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",48,6,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"P2 - ENR - 180","P2 -  ENR - 180","Pogonophora schomburgkiana",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",47,6,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"P2 - ENR - 180","P2 -  ENR - 180","Pouteira venosa",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",49,6,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"P2 - ENR - 180","P2 -  ENR - 180","Pterocarpus rhorii",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",52,6,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"P2 - ENR - 180","P2 -  ENR - 180","Schefflera morototoni",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",46,6,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"P2 - ENR - 180","P2 -  ENR - 180","Tapirira guianensis",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",44,6,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"P2 - ENR - 180","P2 -  ENR - 180","Zanthoxylum nemorale",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",51,6,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"P2 - RN - 180","P2  - RN - 180","Andira fraxinifolia",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",65,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Annona silvestris",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",66,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Casearia commersoniana",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",69,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Eschweilera mattos-silvae",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",62,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Eschweilera ovata",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",71,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Inga affinis",2,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",73,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Jacaranda semisserrata",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",68,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Lecythis pisonis",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",57,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Margaritaria nobilis",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",67,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Melanoxylon brauna",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",72,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Moldenhawera blanchetiana",3,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",70,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Pera glabrata",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",81,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Pouteria venosa",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",60,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Sloanea obtusifolia",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",53,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Syagrus botryophora",5,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",74,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Tapirira guianensis Aubl.",3,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",54,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Thyrsodium spruceanum",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",58,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Vismia martiana",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",78,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Xylopia frutescens",2,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",63,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P2 - RN - 180","P2  - RN - 180","Zanthoxylum nemorale",4,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",59,7,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"P3 - ENR - 180","P3 - ENR - 180","Jacaranda semisserrata",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",41,5,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"P3 - ENR - 180","P3 - ENR - 180","Jacaranda semisserrata Cham.",2,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",36,5,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"P3 - ENR - 180","P3 - ENR - 180","Lecythis lurida",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",39,5,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"P3 - ENR - 180","P3 - ENR - 180","Margaritaria nobilis",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",40,5,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"P3 - ENR - 180","P3 - ENR - 180","Tabernaemontana sp",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",42,5,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"P3 - ENR - 180","P3 - ENR - 180","Tabernaemontana sp (2)",2,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",35,5,"main","_30x30_Plot_Repeat","Permanent","0","0","3x4"
"P3 - RN - 180","P3 - RN - 180","Bowdichia virgilioides",2,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",93,8,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"P3 - RN - 180","P3 - RN - 180","Byrsonima sericea",3,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",94,8,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"P3 - RN - 180","P3 - RN - 180","Byrsonima sericea DC.",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",87,8,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"P3 - RN - 180","P3 - RN - 180","Desconhecida",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",100,8,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"P3 - RN - 180","P3 - RN - 180","Pera glabrata",2,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",97,8,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
