"","submitted_name","matched_name2","user_supplied_name","data_source_title","score","genus_name","family_data_out"
"44","Crisophyllum cainitu","Chrysophyllum cainito","Crisophyllum cainitu","Tropicos - Missouri Botanical Garden","0.75","Chrysophyllum","Sapotaceae"
"45","Diosphyros digyna","Diospyros digyna","Diosphyros digyna","Tropicos - Missouri Botanical Garden","0.75","Diospyros","Ebenaceae"
"46","Diospyros digyna","Diospyros digyna","Diospyros digyna","Tropicos - Missouri Botanical Garden","0.988","Diospyros","Ebenaceae"
"47","Diphysa  americana","Diphysa americana","Diphysa  americana","Tropicos - Missouri Botanical Garden","0.988","Diphysa","Fabaceae"
"48","Diphysa americano","Diphysa americana","Diphysa americano","Tropicos - Missouri Botanical Garden","0.75","Diphysa","Fabaceae"
"49","Dyphysa americana","Diphysa americana","Dyphysa americana","Tropicos - Missouri Botanical Garden","0.75","Diphysa","Fabaceae"
"50","Dysoxylum gaudichaudianum","Dysoxylum gaudichaudianum","Dysoxylum gaudichaudianum","Tropicos - Missouri Botanical Garden","0.988","Dysoxylum","Meliaceae"
"51","Eribotrya japonica","Eriobotrya japonica","Eribotrya japonica","Tropicos - Missouri Botanical Garden","0.75","Eriobotrya","Rosaceae"
"52","Eriobotrya japonica","Eriobotrya japonica","Eriobotrya japonica","Tropicos - Missouri Botanical Garden","0.988","Eriobotrya","Rosaceae"
"53","Eucalyptusl","Eucalyptus","Eucalyptusl","Tropicos - Missouri Botanical Garden","0.5","Eucalyptus","Myrtaceae"
"54","Faidherb albida","Faidherbia albida",NA,NA,NA,"Faidherbia","Fabaceae"
"55","Faidherbia albida","Faidherbia albida","Faidherbia albida","Tropicos - Missouri Botanical Garden","0.988","Faidherbia","Fabaceae"
"56","Ficus aurea","Ficus aurea","Ficus aurea","The International Plant Names Index","0.988","Ficus","Moraceae"
"57","Fidherbia albida","Faidherbia albida","Fidherbia albida","Tropicos - Missouri Botanical Garden","0.75","Faidherbia","Fabaceae"
"58","Fig","Ficus",NA,NA,NA,"Ficus","Moraceae"
"59","Gomphandra luzoniensis","Gomphandra luzoniensis","Gomphandra luzoniensis","Tropicos - Missouri Botanical Garden","0.988","Gomphandra","Stemonuraceae"
"60","Goyavia","Psidium",NA,NA,NA,"Psidium","Myrtaceae"
"61","Guachipilin
Diphysa americana","Diphysa americana",NA,NA,NA,"Diphysa","Fabaceae"
"62","Guasuma ulmifolia","Guazuma ulmifolia","Guasuma ulmifolia","Tropicos - Missouri Botanical Garden","0.75","Guazuma","Malvaceae"
"63","Heamatoxylum  campechianum","Haematoxylum campechianum","Heamatoxylum  campechianum","Tropicos - Missouri Botanical Garden","0.75","Haematoxylum","Fabaceae"
"64","Hematoxilum campechianum","Haematoxylum campechianum","Hematoxilum campechianum","Tropicos - Missouri Botanical Garden","0.75","Haematoxylum","Fabaceae"
"65","Hematoxylum campechianum","Haematoxylum campechianum","Hematoxylum campechianum","Tropicos - Missouri Botanical Garden","0.75","Haematoxylum","Fabaceae"
"66","Homalanthus populneus","Homalanthus populneus","Homalanthus populneus","Tropicos - Missouri Botanical Garden","0.988","Homalanthus","Euphorbiaceae"
"67","Inga jinicuil","Inga jinicuil","Inga jinicuil","Tropicos - Missouri Botanical Garden","0.988","Inga","Fabaceae"
"68","Khaya athotheca","Khaya anthotheca","khaya athotheca","Tropicos - Missouri Botanical Garden","0.75","Khaya","Meliaceae"
"69","Lagerstroemia speciosa","Lagerstroemia speciosa","Lagerstroemia speciosa","Tropicos - Missouri Botanical Garden","0.988","Lagerstroemia","Lythraceae"
"70","Litsea glausescens","Litsea glaucescens","Litsea glausescens","Tropicos - Missouri Botanical Garden","0.75","Litsea","Lauraceae"
"71","Lonchocarpus rogosus","Lonchocarpus rugosus","Lonchocarpus rogosus","Tropicos - Missouri Botanical Garden","0.75","Lonchocarpus","Fabaceae"
"72","Lonchocarpus rugusus","Lonchocarpus rugosus","Lonchocarpus rugusus","Tropicos - Missouri Botanical Garden","0.75","Lonchocarpus","Fabaceae"
"73","Macaranga grandifolia","Macaranga grandifolia","Macaranga grandifolia","Tropicos - Missouri Botanical Garden","0.988","Macaranga","Euphorbiaceae"
"74","Malpigia glabra","Malpighia glabra","Malpigia glabra","Tropicos - Missouri Botanical Garden","0.75","Malpighia","Malpighiaceae"
"75","Manguera indica","Mangifera indica",NA,NA,NA,"Mangifera","Anacardiaceae"
"76","Manilkara zapota","Manilkara zapota","Manilkara zapota","Tropicos - Missouri Botanical Garden","0.988","Manilkara","Sapotaceae"
"77","Muntingia calabura","Muntingia calabura","Muntingia calabura","The International Plant Names Index","0.988","Muntingia","Muntingiaceae"
"78","Naranja","Citrus",NA,NA,NA,"Citrus","Rutaceae"
"79","Nephelium lappaceum","Nephelium lappaceum","Nephelium lappaceum","Tropicos - Missouri Botanical Garden","0.988","Nephelium","Sapindaceae"
"80","Nispero","Nispero","Nispero","Tropicos - Missouri Botanical Garden","0.75","Nispero","Symplocaceae"
"81","Ochorma pyramidale","Ochroma pyramidale","Ochorma pyramidale","Tropicos - Missouri Botanical Garden","0.75","Ochroma","Malvaceae"
"82","Ochroma piramidale","Ochroma pyramidale","Ochroma piramidale","Tropicos - Missouri Botanical Garden","0.75","Ochroma","Malvaceae"
"83","Ochroma pyramidale","Ochroma pyramidale","Ochroma pyramidale","The International Plant Names Index","0.988","Ochroma","Malvaceae"
