"","tree_data.Species","X","tree_data._index","tree_data._parent_index","tree_data._parent_table_name","tree_data._validation_status","tree_data.Data_type","tree_data.LittleTreesPresent","tree_data.Note111","tree_data.Notes21","tree_data.Number_of_trees","tree_data.Resampling2","tree_data.Tree_type","tree_data.plot_type","tree_data.Additional_Photos_Optional3","tree_data.Centroid_of_3m_x_3m_Subplot2","tree_data.Centroid_of_3m_x_3m_Subplot2_altitude","tree_data.Centroid_of_3m_x_3m_Subplot2_latitude","tree_data.Centroid_of_3m_x_3m_Subplot2_longitude","tree_data.Centroid_of_3m_x_3m_Subplot2_precision","tree_data.Centroid_of_3m_x_3m_Subplot2_wkt","tree_data.Description_of_subpl_ithin_30m_x_30m_plot2","tree_data.Note22","tree_data.Notes17","tree_data.File","tree_data.Note_Tiny","tree_data.Note2","tree_data.Note4","tree_data.Notes5","tree_data.Note24","tree_data.Notes14","tree_data.Photos4","tree_data.Note35","tree_data.TinyTrees","tree_data.Additional_Photos_Optional1","tree_data.Centroid_of_3m_x_3m_Subplot1","tree_data.Centroid_of_3m_x_3m_Subplot1_altitude","tree_data.Centroid_of_3m_x_3m_Subplot1_latitude","tree_data.Centroid_of_3m_x_3m_Subplot1_longitude","tree_data.Centroid_of_3m_x_3m_Subplot1_precision","tree_data.Centroid_of_3m_x_3m_Subplot1_wkt","tree_data.Description_of_subpl_ithin_30m_x_30m_plot1","tree_data.Note21","tree_data.Notes11","tree_data.Note3","submitted_name","matched_name2","data_source_title","score","genus_name","family_data_out"
"59",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maviru",NA,NA,NA,NA,NA
"60",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Muwula",NA,NA,NA,NA,NA
"61",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mphakasa",NA,NA,NA,NA,NA
"62",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alfzelia quenzesis","Afzelia quanzensis",NA,NA,"Afzelia","Fabaceae"
"63",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA
"64",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Avicenna Marina <130cm","Avicennia marina",NA,NA,"Avicennia","Acanthaceae"
"65",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O",NA,NA,NA,NA,NA
"66",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chalun",NA,NA,NA,NA,NA
"67",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fedegoso","Senna macranthera",NA,NA,"Senna","Fabaceae"
"68",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mtanthanyelere",NA,NA,NA,NA,NA
"69",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Avicenna Marina (130-250cm)","Avicennia marina",NA,NA,"Avicennia","Acanthaceae"
"70",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Goyavia","Psidium",NA,NA,"Psidium","Myrtaceae"
"71",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sandoricum vidalii Merr.","Sandoricum vidalii",NA,NA,"Sandoricum","Meliaceae"
"72",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m'bawa",NA,NA,NA,NA,NA
"73",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masuku",NA,NA,NA,NA,NA
"74",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mwavi",NA,NA,NA,NA,NA
"75",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manguera indica","Mangifera indica",NA,NA,"Mangifera","Anacardiaceae"
"76",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maula",NA,NA,NA,NA,NA
"77",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceiba Pentandra","Baudouinia fluggeformis",NA,NA,"Baudouinia","Fabaceae"
"78",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Naranja","Citrus",NA,NA,"Citrus","Rutaceae"
"79",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chitimbe",NA,NA,NA,NA,NA
"80",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"''Baudouinia fluggeiformis''","Baudouinia fluggeformis",NA,NA,"Baudouinia","family"
"81",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chiwombo",NA,NA,NA,NA,NA
"82",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acacia Polyacatha","Acacia polyacantha",NA,NA,"Acacia","Fabaceae"
"83",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fig","Ficus",NA,NA,"Ficus","Moraceae"
"84",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grevilia","Grevellia",NA,NA,"Grevellia","Proteaceae"
"85",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mlonde",NA,NA,NA,NA,NA
"86",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artocarpus anisophyllus Miq.","Artocarpus anisophyllus",NA,NA,"Artocarpus","Moraceae"
"87",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eriobptrya Japonica","Eriobotrya japonica",NA,NA,"Eriobotrya","Rosaceae"
"88",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qercus","Quercus",NA,NA,"Quercus","Fagaceae"
"89",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quercua","Quercus",NA,NA,"Quercus","Fagaceae"
"90",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"msambafumu",NA,NA,NA,NA,NA
"91",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Platus mexicana moric","Platanus mexicana",NA,NA,"Platanus","Platanaceae"
"92",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bauhia","Bauhinia",NA,NA,"Bauhinia","Fabaceae"
"93",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trompillo",NA,NA,NA,NA,NA
"94",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Artocarpus blancoi  (Elmer) Merr. ""","Artocarpus blancoi",NA,NA,"Artocarpus","Moraceae"
"95",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Avicenna Marina","Avicennia marina",NA,NA,"Avicennia","Acanthaceae"
"96",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artocarpus anisophyllus Miq","Artocarpus anisophyllus",NA,NA,"Artocarpus","Moraceae"
"97",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Avicenna Marina (<1 DBH)","Avicennia marina",NA,NA,"Avicennia","Acanthaceae"
"98",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mtondo",NA,NA,NA,NA,NA
"99",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Avicenna Marina (>9.9cm DBH)","Avicennia marina",NA,NA,"Avicennia","Acanthaceae"
"100",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fdf",NA,NA,NA,NA,NA
"101",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Avicenna Marina (1-9.9cm DBH)","Avicennia marina",NA,NA,"Avicennia","Acanthaceae"
"102",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sideroxy capiri","Sideroxylon capiri",NA,NA,"Sideroxylon","Sapotaceae"
"103",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"104",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mameyito","Garcinia intermedia",NA,NA,"Garcinia","Clusiaceae"
"105",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chiombo",NA,NA,NA,NA,NA
"106",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anonacea","Annonaceae",NA,NA,"Annonaceae","Annonaceae"
"107",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Faidherb albida","Faidherbia albida",NA,NA,"Faidherbia","Fabaceae"
"108",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lambinana ( nom scientifique??)",NA,NA,NA,NA,NA
"109",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Avicenna Marina (<130cm)","Avicennia marina",NA,NA,"Avicennia","Acanthaceae"
"110",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Katope",NA,NA,NA,NA,NA
"111",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não possue",NA,NA,NA,NA,NA
"112",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kaumbwe",NA,NA,NA,NA,NA
"113",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M'bawa",NA,NA,NA,NA,NA
"114",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vitex Doniana","Vitex doniana",NA,NA,"Vitex","Lamiaceae"
"115",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terminalia nitens C.Presl","Terminalia nitens",NA,NA,"Terminalia","Combretaceae"
"116",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Buchanania arborescens (Blume)","Buchanania arborescens",NA,NA,"Buchanania","Anacardiaceae"
"117",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pas d'espèces de 1 à 9,9 cm (DHP)",NA,NA,NA,NA,NA
"118",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guibourtia Demeusei","Baudouinia fluggeformis",NA,NA,"Baudouinia","Fabaceae"
"119",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pitio",NA,NA,NA,NA,NA
"120",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chitimbe",NA,NA,NA,NA,NA
"121",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Populis","PopulUs",NA,NA,"PopulUs","Salicaceae"
"122",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calophyllum blancoi Pl. & Tr.","Calophyllum blancoi",NA,NA,"Calophyllum","Calophyllaceae"
"123",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mlama",NA,NA,NA,NA,NA
"124",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presea cuerulea","Persea caerulea",NA,NA,"Persea","Lauraceae"
"125",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vitex Sp.","Vitex",NA,NA,"Vitex","Lamiaceae"
"126",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autre espèce",NA,NA,NA,NA,NA
"127",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"khaya athotheca","Khaya athotheca""",NA,NA,"Khaya","Meliaceae"
"128",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cedrela odorata L.","Cedrela odorata",NA,NA,"Cedrela","Meliaceae"
"129",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sjdjd",NA,NA,NA,NA,NA
"130",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"quercus","Quercus",NA,NA,"Quercus","Fagaceae"
"131",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cochlolospermun vitifolium","Cochlolospermun vitifolium",NA,NA,"Cochlolospermun","Bixaceae"
