"","tree_data.Species","X","tree_data._index","tree_data._parent_index","tree_data._parent_table_name","tree_data._validation_status","tree_data.Data_type","tree_data.LittleTreesPresent","tree_data.Note111","tree_data.Notes21","tree_data.Number_of_trees","tree_data.Resampling2","tree_data.Tree_type","tree_data.plot_type","tree_data.Additional_Photos_Optional3","tree_data.Centroid_of_3m_x_3m_Subplot2","tree_data.Centroid_of_3m_x_3m_Subplot2_altitude","tree_data.Centroid_of_3m_x_3m_Subplot2_latitude","tree_data.Centroid_of_3m_x_3m_Subplot2_longitude","tree_data.Centroid_of_3m_x_3m_Subplot2_precision","tree_data.Centroid_of_3m_x_3m_Subplot2_wkt","tree_data.Description_of_subpl_ithin_30m_x_30m_plot2","tree_data.Note22","tree_data.Notes17","tree_data.File","tree_data.Note_Tiny","tree_data.Note2","tree_data.Note4","tree_data.Notes5","tree_data.Note24","tree_data.Notes14","tree_data.Photos4","tree_data.Note35","tree_data.TinyTrees","tree_data.Additional_Photos_Optional1","tree_data.Centroid_of_3m_x_3m_Subplot1","tree_data.Centroid_of_3m_x_3m_Subplot1_altitude","tree_data.Centroid_of_3m_x_3m_Subplot1_latitude","tree_data.Centroid_of_3m_x_3m_Subplot1_longitude","tree_data.Centroid_of_3m_x_3m_Subplot1_precision","tree_data.Centroid_of_3m_x_3m_Subplot1_wkt","tree_data.Description_of_subpl_ithin_30m_x_30m_plot1","tree_data.Note21","tree_data.Notes11","tree_data.Note3","submitted_name","matched_name2","data_source_title","score","genus_name","family_data_out"
"24","Miletia Laurenti",2064,2064,505,"main",NA,"group_an2yk58",NA,NA,NA,1,NA,"planted","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Milietia Laurenti",1638,1638,468,"main",NA,"group_an2yk58",NA,NA,NA,8,NA,"planted","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Milletia excelsa",3591,3591,717,"main",NA,"group_an2yk58",NA,NA,NA,14,NA,"planted","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Moesopsis",3527,3527,711,"main",NA,"group_an2yk58",NA,NA,NA,8,NA,"planted","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moesopsis","Maesopsis","Tropicos - Missouri Botanical Garden",0.5,"Maesopsis","Rhamnaceae"
"28","None",5685,1005,2034,"main",NA,"group_ka7vj63",NA,NA,NA,NA,NA,NA,"3x3m within 30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Nuxia capitata",6960,266,1514,"main",NA,"group_ql6qg69",NA,NA,NA,2,NA,"naturally_regenerating","30x30m_Special",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nuxia capitata","Nuxia capitata","Tropicos - Missouri Botanical Garden",0.988,"Nuxia","Stilbaceae"
"30","Nuxia capitata",6886,192,1369,"main",NA,"group_ql6qg69",NA,NA,NA,5,NA,"Present","30x30m_Special",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nuxia capitata","Nuxia capitata","Tropicos - Missouri Botanical Garden",0.988,"Nuxia","Stilbaceae"
"31","Omalanthus fastuosus",724,724,294,"main",NA,"group_an2yk58",NA,NA,NA,1,NA,"Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Omalanthus fastuosus","Omalanthus fastuosus","Tropicos - Missouri Botanical Garden",0.988,"Omalanthus","Euphorbiaceae"
"32","Persea caerulea",5007,327,347,"main",NA,"group_ka7vj63",NA,NA,NA,1,NA,"Present","3x3m within 30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Persea caerulea","Persea caerulea","Tropicos - Missouri Botanical Garden",0.988,"Persea","Lauraceae"
"33","Piptodeniastrum africanum",2276,2276,527,"main",NA,"group_an2yk58",NA,NA,NA,21,NA,"planted","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Prioria Balsamifera",2122,2122,511,"main",NA,"group_an2yk58",NA,NA,NA,4,NA,"planted","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Pterocarpus Sauyauxii",1669,1669,470,"main",NA,"group_an2yk58",NA,NA,NA,3,NA,"planted","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Recinodendron heudoletii",1370,1370,429,"main",NA,"group_an2yk58",NA,NA,NA,2,NA,"planted","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Trema orientalis",7617,507,1440,"main",NA,"group_qs7yn71",NA,NA,NA,28,NA,NA,"30x30m_Special",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Trema orientalis",3938,3938,854,"main",NA,"group_an2yk58",NA,NA,NA,1,NA,"Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Weinmannia rutenbergii",6962,268,1516,"main",NA,"group_ql6qg69",NA,NA,NA,3,NA,"naturally_regenerating","30x30m_Special",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weinmannia rutenbergii","Weinmannia rutenbergii","Tropicos - Missouri Botanical Garden",0.988,"Weinmannia","Cunoniaceae"
"40",NA,6087,252,1040,"main",NA,"group_qr1fe53",NA,NA,NA,NA,NA,"planted","1x1m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artocarpus blancoi  (Elmer) Merr.","Artocarpus blancoi",NA,NA,"Artocarpus","Moraceae"
