"","tree_data.Species","tree_data._index","tree_data._parent_index","tree_data._parent_table_name","tree_data.Data_type","tree_data.Number_of_trees","tree_data.Tree_type","tree_data.plot_type","tree_data._id","tree_data._parent_table","submitted_name","matched_name2","data_source_title","score","genus_name","family_data_out"
"15","Acacia caven",3,86,NA,"group_an2yk58",1,"Present","30x30m",229325946,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"16","Acacia caven",189,86,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"17","Acacia caven",129,74,"main","group_an2yk58",6,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"18","Acacia caven",57,72,"main","group_ka7vj63",1,"Present","3x3m within 30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"19","Acacia caven",148,77,"main","group_an2yk58",4,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"20","Acacia caven",3,81,NA,"group_an2yk58",8,"Present","30x30m",229321982,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"21","Acacia caven",69,81,"main","group_ka7vj63",2,"Present","3x3m within 30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"22","Acacia caven",2,74,NA,"group_an2yk58",6,"Present","30x30m",229320531,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"23","Acacia caven",198,89,"main","group_an2yk58",2,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"24","Acacia caven",13,73,NA,"group_an2yk58",1,"Present","30x30m",229320308,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"25","Acacia caven",64,77,"main","group_ka7vj63",1,"Present","3x3m within 30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"26","Acacia caven",4,92,NA,"group_an2yk58",1,"Present","30x30m",229327028,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"27","Acacia caven",4,85,NA,"group_an2yk58",1,"Present","30x30m",229325806,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"28","Acacia caven",205,91,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"29","Acacia caven",2,77,NA,"group_an2yk58",4,"Present","30x30m",229321374,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"30","Acacia caven",212,92,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"31","Acacia caven",3,84,NA,"group_an2yk58",2,"Present","30x30m",229325609,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"32","Acacia caven",186,85,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"33","Acacia caven",160,81,"main","group_an2yk58",8,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"34","Acacia caven",2,84,NA,"group_an2yk58",1,"Present","30x30m",229325609,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"35","Acacia caven",111,72,"main","group_an2yk58",2,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"36","Acacia caven",1,91,NA,"group_an2yk58",1,"Present","30x30m",229326839,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"37","Acacia caven",179,84,"main","group_an2yk58",2,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"38","Acacia caven",1,87,NA,"group_ka7vj63",1,"Present","3x3m within 30x30m",229326124,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"39","Acacia caven",77,87,"main","group_ka7vj63",1,"Present","3x3m within 30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"40","Acacia caven",1,88,NA,"group_qr1fe53",2,"Present","1x1m",229326523,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"41","Acacia collinsii",250,100,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Acacia collinsii","Acacia collinsii","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"42","Acacia collinsii",4,100,NA,"group_an2yk58",1,"Present","30x30m",229426542,"main","Acacia collinsii","Acacia collinsii","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"43","Acacia mangium",15,45,"main","group_an2yk58",2,"Present","30x30m",NA,NA,"Acacia mangium","Acacia mangium","The International Plant Names Index",0.988,"Acacia","Fabaceae"
"44","Acacia mangium",9,45,NA,"group_an2yk58",2,"Present","30x30m",221701339,"main","Acacia mangium","Acacia mangium","The International Plant Names Index",0.988,"Acacia","Fabaceae"
"45","Acacia mangium",67,58,"main","group_an2yk58",2,"Present","30x30m",NA,NA,"Acacia mangium","Acacia mangium","The International Plant Names Index",0.988,"Acacia","Fabaceae"
"46","Acacia mangium",9,58,NA,"group_an2yk58",2,"Present","30x30m",226156574,"main","Acacia mangium","Acacia mangium","The International Plant Names Index",0.988,"Acacia","Fabaceae"
"47","Acer campestre",1,36,NA,"begin_repeat_ELDOiv5Dr",1,"Present","3x3m within 30x30m",190956437,"main","Acer campestre","Acer campestre","Tropicos - Missouri Botanical Garden",0.988,"Acer","Sapindaceae"
"48","Acer campestris",1,19,NA,"begin_repeat_ELDOiv5Dr",3,"naturally_regenerating","3x3m within 30x30m",189725199,"main","Acer campestris","Acer campestre","Tropicos - Missouri Botanical Garden",0.75,"Acer","Sapindaceae"
"49","Acer pseudoplatanus",1,32,NA,"begin_repeat_ztsNCjoPm",12,"Present","30x30m",190956247,"main","Acer pseudoplatanus","Acer pseudoplatanus","Tropicos - Missouri Botanical Garden",0.988,"Acer","Sapindaceae"
"50","Acer pseudoplatanus",2,36,NA,"begin_repeat_ELDOiv5Dr",1,"Present","3x3m within 30x30m",190956437,"main","Acer pseudoplatanus","Acer pseudoplatanus","Tropicos - Missouri Botanical Garden",0.988,"Acer","Sapindaceae"
"51","Acer pseudoplatanus",1,32,NA,"begin_repeat_ELDOiv5Dr",6,"naturally_regenerating","3x3m within 30x30m",190956247,"main","Acer pseudoplatanus","Acer pseudoplatanus","Tropicos - Missouri Botanical Garden",0.988,"Acer","Sapindaceae"
"52","Aglaia luzoniensis",2,47,NA,"group_ka7vj63",1,"Present","3x3m within 30x30m",221706815,"main","Aglaia luzoniensis","Aglaia luzoniensis","Tropicos - Missouri Botanical Garden",0.988,"Aglaia","Meliaceae"
"53","Aglaia luzoniensis",14,47,"main","group_ka7vj63",1,"Present","3x3m within 30x30m",NA,NA,"Aglaia luzoniensis","Aglaia luzoniensis","Tropicos - Missouri Botanical Garden",0.988,"Aglaia","Meliaceae"
"54","Aglaia rimosa",1,45,"main","group_qr1fe53",1,"Present","1x1m",NA,NA,"Aglaia rimosa","Aglaia rimosa","Tropicos - Missouri Botanical Garden",0.988,"Aglaia","Meliaceae"
"55","Aglaia rimosa",1,45,NA,"group_qr1fe53",1,"Present","1x1m",221701339,"main","Aglaia rimosa","Aglaia rimosa","Tropicos - Missouri Botanical Garden",0.988,"Aglaia","Meliaceae"
"56","Alangium javanicum",23,49,"main","group_qr1fe53",1,"Present","1x1m",NA,NA,"Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"57","Alangium javanicum",49,67,"main","group_ka7vj63",2,"Present","3x3m within 30x30m",NA,NA,"Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"58","Alangium javanicum",3,67,NA,"group_ka7vj63",2,"Present","3x3m within 30x30m",228208377,"main","Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"59","Alangium javanicum",8,57,NA,"group_ka7vj63",3,"Present","3x3m within 30x30m",226154755,"main","Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"60","Alangium javanicum",3,46,"main","group_qr1fe53",1,"Present","1x1m",NA,NA,"Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"61","Alangium javanicum",17,45,"main","group_an2yk58",6,"Present","30x30m",NA,NA,"Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"62","Alangium javanicum",5,46,NA,"group_an2yk58",3,"Present","30x30m",221702505,"main","Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"63","Alangium javanicum",2,46,NA,"group_qr1fe53",1,"Present","1x1m",221702505,"main","Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"64","Alangium javanicum",9,49,NA,"group_an2yk58",1,"Present","30x30m",221732781,"main","Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"65","Alangium javanicum",49,49,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"66","Alangium javanicum",27,57,"main","group_qr1fe53",1,"Present","1x1m",NA,NA,"Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"67","Alangium javanicum",35,57,"main","group_ka7vj63",3,"Present","3x3m within 30x30m",NA,NA,"Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"68","Alangium javanicum",1,49,NA,"group_ka7vj63",3,"Present","3x3m within 30x30m",221732781,"main","Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"69","Alangium javanicum",6,49,NA,"group_qr1fe53",1,"Present","1x1m",221732781,"main","Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"70","Alangium javanicum",69,58,"main","group_an2yk58",6,"Present","30x30m",NA,NA,"Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"71","Alangium javanicum",31,67,"main","group_qr1fe53",1,"Present","1x1m",NA,NA,"Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"72","Alangium javanicum",4,57,NA,"group_qr1fe53",1,"Present","1x1m",226154755,"main","Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"73","Alangium javanicum",19,49,"main","group_ka7vj63",3,"Present","3x3m within 30x30m",NA,NA,"Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"74","Alangium javanicum",11,58,NA,"group_an2yk58",6,"Present","30x30m",226156574,"main","Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"75","Alangium javanicum",2,67,NA,"group_qr1fe53",1,"Present","1x1m",228208377,"main","Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"76","Alangium javanicum",11,45,NA,"group_an2yk58",6,"Present","30x30m",221701339,"main","Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"77","Alangium javanicum",23,46,"main","group_an2yk58",3,"Present","30x30m",NA,NA,"Alangium javanicum","Alangium javanicum","Tropicos - Missouri Botanical Garden",0.988,"Alangium","Cornaceae"
"78","Albizia gummifera",2,113,NA,"group_ql6qg69",1,"Present","30x30m_Special",232555069,"main","Albizia gummifera","Albizia gummifera","Tropicos - Missouri Botanical Garden",0.988,"Albizia","Fabaceae"
"79","Albizia gummifera",2,62,NA,"group_ql6qg69",1,"Present","30x30m_Special",227316281,"main","Albizia gummifera","Albizia gummifera","Tropicos - Missouri Botanical Garden",0.988,"Albizia","Fabaceae"
"80","Albizia gummifera",18,113,"main","group_ql6qg69",1,"Present","30x30m_Special",NA,NA,"Albizia gummifera","Albizia gummifera","Tropicos - Missouri Botanical Garden",0.988,"Albizia","Fabaceae"
"81","Albizia gummifera",5,62,"main","group_ql6qg69",1,"Present","30x30m_Special",NA,NA,"Albizia gummifera","Albizia gummifera","Tropicos - Missouri Botanical Garden",0.988,"Albizia","Fabaceae"
"82","Alicia niopides",1,83,NA,"group_ka7vj63",1,"Present","3x3m within 30x30m",229325338,"main","Alicia niopides","Alicia","Tropicos - Missouri Botanical Garden",0.75,"Alicia","Malpighiaceae"
"83","Alicia niopides",73,83,"main","group_ka7vj63",1,"Present","3x3m within 30x30m",NA,NA,"Alicia niopides","Alicia","Tropicos - Missouri Botanical Garden",0.75,"Alicia","Malpighiaceae"
"84","Alstonia scholaris (L.)",64,58,"main","group_an2yk58",2,"Present","30x30m",NA,NA,"Alstonia scholaris (l.)","Alstonia scholaris","Tropicos - Missouri Botanical Garden",0.988,"Alstonia","Apocynaceae"
"85","Alstonia scholaris (L.)",29,57,"main","group_ka7vj63",1,"Present","3x3m within 30x30m",NA,NA,"Alstonia scholaris (l.)","Alstonia scholaris","Tropicos - Missouri Botanical Garden",0.988,"Alstonia","Apocynaceae"
"86","Alstonia scholaris (L.)",5,45,NA,"group_an2yk58",2,"Present","30x30m",221701339,"main","Alstonia scholaris (l.)","Alstonia scholaris","Tropicos - Missouri Botanical Garden",0.988,"Alstonia","Apocynaceae"
"87","Alstonia scholaris (L.)",87,67,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Alstonia scholaris (l.)","Alstonia scholaris","Tropicos - Missouri Botanical Garden",0.988,"Alstonia","Apocynaceae"
"88","Alstonia scholaris (L.)",2,57,NA,"group_ka7vj63",1,"Present","3x3m within 30x30m",226154755,"main","Alstonia scholaris (l.)","Alstonia scholaris","Tropicos - Missouri Botanical Garden",0.988,"Alstonia","Apocynaceae"
"89","Alstonia scholaris (L.)",6,58,NA,"group_an2yk58",2,"Present","30x30m",226156574,"main","Alstonia scholaris (l.)","Alstonia scholaris","Tropicos - Missouri Botanical Garden",0.988,"Alstonia","Apocynaceae"
"90","Alstonia scholaris (L.)",4,67,NA,"group_an2yk58",1,"Present","30x30m",228208377,"main","Alstonia scholaris (l.)","Alstonia scholaris","Tropicos - Missouri Botanical Garden",0.988,"Alstonia","Apocynaceae"
"91","Alstonia scholaris (L.)",11,45,"main","group_an2yk58",2,"Present","30x30m",NA,NA,"Alstonia scholaris (l.)","Alstonia scholaris","Tropicos - Missouri Botanical Garden",0.988,"Alstonia","Apocynaceae"
"92","Anonacea",3,104,NA,"group_an2yk58",1,"Present","30x30m",229844564,"main",NA,NA,NA,NA,NA,NA
"93","Anonacea",264,104,"main","group_an2yk58",1,"Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA
"94","Artocapus heteropyllus",68,58,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Artocapus heteropyllus","Artocarpus heterophyllus","Tropicos - Missouri Botanical Garden",0.75,"Artocarpus","Moraceae"
"95","Artocapus heteropyllus",10,58,NA,"group_an2yk58",1,"Present","30x30m",226156574,"main","Artocapus heteropyllus","Artocarpus heterophyllus","Tropicos - Missouri Botanical Garden",0.75,"Artocarpus","Moraceae"
"96","Artocarpus anisophyllus Miq",6,45,NA,"group_an2yk58",1,"Present","30x30m",221701339,"main","Artocarpus anisophyllus miq","Artocarpus anisophyllus","Tropicos - Missouri Botanical Garden",0.988,"Artocarpus","Moraceae"
"97","Artocarpus anisophyllus Miq",12,45,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Artocarpus anisophyllus miq","Artocarpus anisophyllus","Tropicos - Missouri Botanical Garden",0.988,"Artocarpus","Moraceae"
"98","Artocarpus anisophyllus Miq.",65,58,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Artocarpus anisophyllus miq.","Artocarpus anisophyllus","Tropicos - Missouri Botanical Garden",0.999,"Artocarpus","Moraceae"
"99","Artocarpus anisophyllus Miq.",44,49,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Artocarpus anisophyllus miq.","Artocarpus anisophyllus","Tropicos - Missouri Botanical Garden",0.999,"Artocarpus","Moraceae"
"100","Artocarpus anisophyllus Miq.",4,49,NA,"group_an2yk58",1,"Present","30x30m",221732781,"main","Artocarpus anisophyllus miq.","Artocarpus anisophyllus","Tropicos - Missouri Botanical Garden",0.999,"Artocarpus","Moraceae"
"101","Artocarpus anisophyllus Miq.",1,67,NA,"group_an2yk58",1,"Present","30x30m",228208377,"main","Artocarpus anisophyllus miq.","Artocarpus anisophyllus","Tropicos - Missouri Botanical Garden",0.999,"Artocarpus","Moraceae"
"102","Artocarpus anisophyllus Miq.",7,58,NA,"group_an2yk58",1,"Present","30x30m",226156574,"main","Artocarpus anisophyllus miq.","Artocarpus anisophyllus","Tropicos - Missouri Botanical Garden",0.999,"Artocarpus","Moraceae"
"103","Artocarpus anisophyllus Miq.",84,67,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Artocarpus anisophyllus miq.","Artocarpus anisophyllus","Tropicos - Missouri Botanical Garden",0.999,"Artocarpus","Moraceae"
"104","Artocarpus blancoi",16,48,"main","group_ka7vj63",1,"Present","3x3m within 30x30m",NA,NA,"Artocarpus blancoi","Artocarpus blancoi","Tropicos - Missouri Botanical Garden",0.988,"Artocarpus","Moraceae"
"105","Artocarpus blancoi",2,47,NA,"group_qr1fe53",1,"Present","1x1m",221706815,"main","Artocarpus blancoi","Artocarpus blancoi","Tropicos - Missouri Botanical Garden",0.988,"Artocarpus","Moraceae"
"106","Artocarpus blancoi",1,48,NA,"group_ka7vj63",1,"Present","3x3m within 30x30m",221722552,"main","Artocarpus blancoi","Artocarpus blancoi","Tropicos - Missouri Botanical Garden",0.988,"Artocarpus","Moraceae"
"107","Artocarpus blancoi",7,47,"main","group_qr1fe53",1,"Present","1x1m",NA,NA,"Artocarpus blancoi","Artocarpus blancoi","Tropicos - Missouri Botanical Garden",0.988,"Artocarpus","Moraceae"
"108","Artocarpus blancoi  (Elmer) Merr.",28,57,"main","group_ka7vj63",5,"Present","3x3m within 30x30m",NA,NA,"Artocarpus blancoi  (elmer) merr.","Artocarpus blancoi","Tropicos - Missouri Botanical Garden",0.988,"Artocarpus","Moraceae"
"109","Artocarpus blancoi  (Elmer) Merr.",2,45,NA,"group_an2yk58",2,"Present","30x30m",221701339,"main","Artocarpus blancoi  (elmer) merr.","Artocarpus blancoi","Tropicos - Missouri Botanical Garden",0.988,"Artocarpus","Moraceae"
"110","Artocarpus blancoi  (Elmer) Merr.",61,58,"main","group_an2yk58",2,"Present","30x30m",NA,NA,"Artocarpus blancoi  (elmer) merr.","Artocarpus blancoi","Tropicos - Missouri Botanical Garden",0.988,"Artocarpus","Moraceae"
"111","Artocarpus blancoi  (Elmer) Merr.",1,57,NA,"group_ka7vj63",5,"Present","3x3m within 30x30m",226154755,"main","Artocarpus blancoi  (elmer) merr.","Artocarpus blancoi","Tropicos - Missouri Botanical Garden",0.988,"Artocarpus","Moraceae"
"112","Artocarpus blancoi  (Elmer) Merr.",8,45,"main","group_an2yk58",2,"Present","30x30m",NA,NA,"Artocarpus blancoi  (elmer) merr.","Artocarpus blancoi","Tropicos - Missouri Botanical Garden",0.988,"Artocarpus","Moraceae"
"113","Artocarpus blancoi  (Elmer) Merr.",3,58,NA,"group_an2yk58",2,"Present","30x30m",226156574,"main","Artocarpus blancoi  (elmer) merr.","Artocarpus blancoi","Tropicos - Missouri Botanical Garden",0.988,"Artocarpus","Moraceae"
"114","Artocarpus heterophyllous",16,45,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Artocarpus heterophyllous","Artocarpus heterophyllus","Tropicos - Missouri Botanical Garden",0.75,"Artocarpus","Moraceae"
"115","Artocarpus heterophyllous",10,45,NA,"group_an2yk58",1,"Present","30x30m",221701339,"main","Artocarpus heterophyllous","Artocarpus heterophyllus","Tropicos - Missouri Botanical Garden",0.75,"Artocarpus","Moraceae"
"116","Artocarpus ovatus",4,49,NA,"group_ka7vj63",1,"Present","3x3m within 30x30m",221732781,"main","Artocarpus ovatus","Artocarpus ovatus","Tropicos - Missouri Botanical Garden",0.988,"Artocarpus","Moraceae"
"117","Artocarpus ovatus",22,49,"main","group_ka7vj63",1,"Present","3x3m within 30x30m",NA,NA,"Artocarpus ovatus","Artocarpus ovatus","Tropicos - Missouri Botanical Garden",0.988,"Artocarpus","Moraceae"
"118","Atriplex canescens",1,51,"Tree_Species_0012",NA,1,"Present","Unk",224763824,"main","Atriplex canescens","Atriplex canescens","Tropicos - Missouri Botanical Garden",0.988,"Atriplex","Amaranthaceae"
"119","Atuna racemosa",38,47,"main","group_an2yk58",4,"Present","30x30m",NA,NA,"Atuna racemosa","Atuna racemosa","The International Plant Names Index",0.988,"Atuna","Chrysobalanaceae"
"120","Atuna racemosa",12,47,NA,"group_an2yk58",4,"Present","30x30m",221706815,"main","Atuna racemosa","Atuna racemosa","The International Plant Names Index",0.988,"Atuna","Chrysobalanaceae"
"121","Autre espèce",7,63,"main","group_ql6qg69",1,"don_t_know","30x30m_Special",NA,NA,NA,NA,NA,NA,NA,NA
"122","Autre espèce",2,63,NA,"group_ql6qg69",1,"don_t_know","30x30m_Special",227317741,"main",NA,NA,NA,NA,NA,NA
"123","Avicenna Marina",1,41,NA,"group_ka7vj63",2,"Present","3x3m within 30x30m",206440717,"main","Avicenna marina","Avicennia marina","Tropicos - Missouri Botanical Garden",0.75,"Avicennia","Acanthaceae"
"124","Avicenna Marina",1,41,"main","group_ka7vj63",2,"Present","3x3m within 30x30m",NA,NA,"Avicenna marina","Avicennia marina","Tropicos - Missouri Botanical Garden",0.75,"Avicennia","Acanthaceae"
"125","Avicenna Marina",1,40,"Tree_Species2",NA,46,"Present","30x30m",206438443,"main","Avicenna marina","Avicennia marina","Tropicos - Missouri Botanical Garden",0.75,"Avicennia","Acanthaceae"
"126","Avicenna Marina",1,40,"Tree_Species_0012",NA,3,"Present","3x3m within 30x30m",206438443,"main","Avicenna marina","Avicennia marina","Tropicos - Missouri Botanical Garden",0.75,"Avicennia","Acanthaceae"
"127","Avicenna Marina (<1 DBH)",3,41,NA,"group_an2yk58",0,"Present","30x30m",206440717,"main","Avicenna marina (<1 dbh)","Avicennia marina","Tropicos - Missouri Botanical Garden",0.75,"Avicennia","Acanthaceae"
"128","Avicenna Marina (<1 DBH)",3,41,"main","group_an2yk58",0,"Present","30x30m",NA,NA,"Avicenna marina (<1 dbh)","Avicennia marina","Tropicos - Missouri Botanical Garden",0.75,"Avicennia","Acanthaceae"
"129","Avicenna Marina (>9.9cm DBH)",1,41,"main","group_an2yk58",0,"Present","30x30m",NA,NA,"Avicenna marina (>9.9cm dbh)","Avicennia marina","Tropicos - Missouri Botanical Garden",0.75,"Avicennia","Acanthaceae"
"130","Avicenna Marina (>9.9cm DBH)",1,41,NA,"group_an2yk58",0,"Present","30x30m",206440717,"main","Avicenna marina (>9.9cm dbh)","Avicennia marina","Tropicos - Missouri Botanical Garden",0.75,"Avicennia","Acanthaceae"
"131","Avicenna Marina (1-9.9cm DBH)",2,41,"main","group_an2yk58",90,"Present","30x30m",NA,NA,"Avicenna marina (1-9.9cm dbh)","Avicennia marina","Tropicos - Missouri Botanical Garden",0.75,"Avicennia","Acanthaceae"
"132","Avicenna Marina (1-9.9cm DBH)",2,41,NA,"group_an2yk58",90,"Present","30x30m",206440717,"main","Avicenna marina (1-9.9cm dbh)","Avicennia marina","Tropicos - Missouri Botanical Garden",0.75,"Avicennia","Acanthaceae"
