"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Brachylaena perrieri","planted",10,"<10cm planted","1869","S0126MP1","Madagascar","Taotsara","Restoration","Restoration","30x30",664,932,"main","Planted_30x30","Permanent","0","0","2*2","Y0"
"Psiadia altisima","planted",1,"<10cm planted","1869","S0126MP1","Madagascar","Taotsara","Restoration","Restoration","30x30",665,932,"main","Planted_30x30","Permanent","0","0","2*2","Y0"
"Trachylobium verrucosum","planted",2,"<10cm planted","1869","S0126MP1","Madagascar","Taotsara","Restoration","Restoration","30x30",666,932,"main","Planted_30x30","Permanent","0","0","2*2","Y0"
"Citrus sinensis","planted",6,"<10cm planted","1874","S0131MP01","Madagascar","Taotsara","Restoration","Restoration","30x30",667,933,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 10m by 10m spacing","Y0"
"Trachylobium verrucosum","planted",45,"<10cm planted","1874","S0131MP01","Madagascar","Taotsara","Restoration","Restoration","30x30",668,933,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 10m by 10m spacing","Y0"
"Harungana madagascarensis","planted",16,"<10cm planted","1874","S0131MP01","Madagascar","Taotsara","Restoration","Restoration","30x30",669,933,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 10m by 10m spacing","Y0"
"Albizia lebbeck","planted",43,"<10cm planted","1874","S0131MP01","Madagascar","Taotsara","Restoration","Restoration","30x30",670,933,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 10m by 10m spacing","Y0"
"Nuxia capitata","planted",11,"<10cm planted","1857","S0114MP2","Madagascar","Taotsara","Restoration","Restoration","30x30",671,934,"main","Planted_30x30","Permanent","0","1","2*2","Y0"
"Ficus reflexa","planted",27,"<10cm planted","1857","S0114MP2","Madagascar","Taotsara","Restoration","Restoration","30x30",672,934,"main","Planted_30x30","Permanent","0","1","2*2","Y0"
"Albizia lebeck","planted",76,"<10cm planted","1857","S0114MP2","Madagascar","Taotsara","Restoration","Restoration","30x30",673,934,"main","Planted_30x30","Permanent","0","1","2*2","Y0"
"Psiadia altisima","planted",1,"<10cm planted","1857","S0114MP2","Madagascar","Taotsara","Restoration","Restoration","30x30",674,934,"main","Planted_30x30","Permanent","0","1","2*2","Y0"
"Harongana madagascariensis","planted",49,"<10cm planted","1857","S0114MP2","Madagascar","Taotsara","Restoration","Restoration","30x30",675,934,"main","Planted_30x30","Permanent","0","1","2*2","Y0"
"Coffea arabica","planted",42,"<10cm planted","1874","S0131MP02","Madagascar","Taotsara","Restoration","Restoration","30x30",676,935,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 6m by 3m spacing","Y0"
"Syzygium arromaticum","planted",4,"<10cm planted","1892","S0149MP2","Madagascar","Taotsara","Restoration","Restoration","30x30",677,936,"main","Planted_30x30","Permanent","0","0","7*7","Y0"
"Psydia","planted",3,"<10cm planted","1851","S0108MP59","Madagascar","Taotsara","Restoration","Restoration","30x30",678,937,"main","Planted_30x30","Permanent","0","0","2m.2m","Y0"
"Harungana madagascariensis","planted",131,"<10cm planted","1851","S0108MP59","Madagascar","Taotsara","Restoration","Restoration","30x30",679,937,"main","Planted_30x30","Permanent","0","0","2m.2m","Y0"
"Albizia lebbeck","planted",48,"<10cm planted","1851","S0108MP59","Madagascar","Taotsara","Restoration","Restoration","30x30",680,937,"main","Planted_30x30","Permanent","0","0","2m.2m","Y0"
"Coffea arabica","planted",16,"<10cm planted","1874","S0131MP03","Madagascar","Taotsara","Restoration","Restoration","30x30",681,938,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 6m by 3m spacing","Y0"
"Spondias dulcis","planted",15,"<10cm planted","1874","S0131MP03","Madagascar","Taotsara","Restoration","Restoration","30x30",682,938,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 6m by 3m spacing","Y0"
"Syzygium aromaticum","planted",12,"<10cm planted","1874","S0131MP03","Madagascar","Taotsara","Restoration","Restoration","30x30",683,938,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 6m by 3m spacing","Y0"
"Citrus sinensis","planted",25,"<10cm planted","1874","S0131MP04","Madagascar","Taotsara","Restoration","Restoration","30x30",684,939,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 5m by 5m spacing","Y0"
"Annona squamosa","planted",5,"<10cm planted","1874","S0131MP04","Madagascar","Taotsara","Restoration","Restoration","30x30",685,939,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 5m by 5m spacing","Y0"
"Coffea arabica","planted",1,"<10cm planted","1874","S0131MP04","Madagascar","Taotsara","Restoration","Restoration","30x30",686,939,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 5m by 5m spacing","Y0"
"Syzygium arromaticum","planted",34,"<10cm planted","1839","S0096MP8","Madagascar","Taotsara","Restoration","Restoration","30x30",687,940,"main","Planted_30x30","Permanent","0","0","7*7","Y0"
"Coffea","planted",11,"<10cm planted","1839","S0096MP8","Madagascar","Taotsara","Restoration","Restoration","30x30",688,940,"main","Planted_30x30","Permanent","0","0","7*7","Y0"
"Spondias dulcis","planted",4,"<10cm planted","1839","S0096MP8","Madagascar","Taotsara","Restoration","Restoration","30x30",689,940,"main","Planted_30x30","Permanent","0","0","7*7","Y0"
"Itsia bujiga","planted",9,"<10cm planted","1851","S0108MP6","Madagascar","Taotsara","Restoration","Restoration","30x30",690,941,"main","Planted_30x30","Permanent","0","2","2m.2m","Y0"
"Harungana madagascariensis","planted",116,"<10cm planted","1851","S0108MP6","Madagascar","Taotsara","Restoration","Restoration","30x30",691,941,"main","Planted_30x30","Permanent","0","2","2m.2m","Y0"
"Albizia lebbeck","planted",51,"<10cm planted","1851","S0108MP6","Madagascar","Taotsara","Restoration","Restoration","30x30",692,941,"main","Planted_30x30","Permanent","0","2","2m.2m","Y0"
"Psidium Goyava","planted",1,"<10cm planted","1851","S0108MP6","Madagascar","Taotsara","Restoration","Restoration","30x30",693,941,"main","Planted_30x30","Permanent","0","2","2m.2m","Y0"
"Syzygium aromaticum","planted",3,"<10cm planted","1874","S0131MP05","Madagascar","Taotsara","Restoration","Restoration","30x30",694,942,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 10m by 10m spacing","Y0"
"Coffea arabica","planted",10,"<10cm planted","1874","S0131MP05","Madagascar","Taotsara","Restoration","Restoration","30x30",695,942,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 10m by 10m spacing","Y0"
"Harungana madagascariensis","planted",40,"<10cm planted","1892","S0149MP5","Madagascar","Taotsara","Restoration","Restoration","30x30",696,943,"main","Planted_30x30","Permanent","0","0","2 m sur 2 m","Y0"
"Albizia lebbeck","planted",18,"<10cm planted","1892","S0149MP5","Madagascar","Taotsara","Restoration","Restoration","30x30",697,943,"main","Planted_30x30","Permanent","0","0","2 m sur 2 m","Y0"
"Coffea","planted",8,"<10cm planted","1870","S0127MP13","Madagascar","Taotsara","Restoration","Restoration","30x30",698,944,"main","Planted_30x30","Permanent","0","0","5*5","Y0"
"Citrus sinensis","planted",4,"<10cm planted","1870","S0127MP13","Madagascar","Taotsara","Restoration","Restoration","30x30",699,944,"main","Planted_30x30","Permanent","0","0","5*5","Y0"
"Syzygium arromaticum","planted",1,"<10cm planted","1870","S0127MP13","Madagascar","Taotsara","Restoration","Restoration","30x30",700,944,"main","Planted_30x30","Permanent","0","0","5*5","Y0"
"Harungana madagascarensis","planted",154,"<10cm planted","1878","S0135MP07","Madagascar","Taotsara","Restoration","Restoration","30x30",701,945,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing","Y0"
"Albizia lebbeck","planted",28,"<10cm planted","1878","S0135MP07","Madagascar","Taotsara","Restoration","Restoration","30x30",702,945,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing","Y0"
"Trachylobium verrucosum","planted",135,"<10cm planted","1862","S0119MP5","Madagascar","Taotsara","Restoration","Restoration","30x30",703,946,"main","Planted_30x30","Permanent","0","0","2*2","Y0"
"Intsia bijuga","planted",70,"<10cm planted","1862","S0119MP5","Madagascar","Taotsara","Restoration","Restoration","30x30",704,946,"main","Planted_30x30","Permanent","0","0","2*2","Y0"
"Syzygium arromaticum","planted",9,"<10cm planted","1826","S0083MP1","Madagascar","Taotsara","Restoration","Restoration","30x30",705,947,"main","Planted_30x30","Permanent","0","0","7*7","Y0"
"Psidium goyava","planted",2,"<10cm planted","1826","S0083MP1","Madagascar","Taotsara","Restoration","Restoration","30x30",706,947,"main","Planted_30x30","Permanent","0","0","7*7","Y0"
"Trachylobium verrucosum","planted",71,"<10cm planted","1851","S0108MP31","Madagascar","Taotsara","Restoration","Restoration","30x30",707,948,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing.","Y0"
"Intsia bijuga","planted",15,"<10cm planted","1851","S0108MP31","Madagascar","Taotsara","Restoration","Restoration","30x30",708,948,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing.","Y0"
"Albizia lebbeck","planted",31,"<10cm planted","1851","S0108MP31","Madagascar","Taotsara","Restoration","Restoration","30x30",709,948,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing.","Y0"
"Harungana madagascarensis","planted",93,"<10cm planted","1851","S0108MP31","Madagascar","Taotsara","Restoration","Restoration","30x30",710,948,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing.","Y0"
"Spondias dulcis","planted",4,"<10cm planted","1851","S0108 Mp60","Madagascar","Taotsara","Restoration","Restoration","30x30",711,949,"main","Planted_30x30","Permanent","0","0","10*10","Y0"
"Coffea arabica","planted",12,"<10cm planted","1900","S0157MP1","Madagascar","Taotsara","Restoration","Restoration","30x30",712,950,"main","Planted_30x30","Permanent","0","0","3 m sur 6 m","Y0"
"Syzygium arromaticum","planted",33,"<10cm planted","1831","S0088MP1","Madagascar","Taotsara","Restoration","Restoration","30x30",713,951,"main","Planted_30x30","Permanent","0","0","7*7","Y0"
"Psidium goyava","planted",2,"<10cm planted","1831","S0088MP1","Madagascar","Taotsara","Restoration","Restoration","30x30",714,951,"main","Planted_30x30","Permanent","0","0","7*7","Y0"
"Litchi","planted",5,"<10cm planted","1831","S0088MP1","Madagascar","Taotsara","Restoration","Restoration","30x30",715,951,"main","Planted_30x30","Permanent","0","0","7*7","Y0"
"Trachylobium verrucosum","planted",30,"<10cm planted","1851","S0108MP32","Madagascar","Taotsara","Restoration","Restoration","30x30",716,952,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing.","Y0"
"Intsia bijuga","planted",9,"<10cm planted","1851","S0108MP32","Madagascar","Taotsara","Restoration","Restoration","30x30",717,952,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing.","Y0"
