"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Eucalyptuse robusta","Present",1,"1 - 9.9cm","1797","S0054MP52","Madagascar","FAFIALA","Restoration","Restoration","30x30",177,1346,"main","Census_30x30","Permanent","0","2","2m sur 2m","Y0"
NA,"don_t_know",NA,"1 - 9.9cm","1795","S0052MP132","Madagascar","FAFIALA","Restoration","Restoration","30x30",178,1348,"main","Census_30x30","Permanent","2","2","2 m sur 2 m","Y0"
NA,"planted",NA,"<10cm planted","1795","S0052MP132","Madagascar","FAFIALA","Restoration","Restoration","30x30",179,1348,"main","Census_30x30","Permanent","2","2","2 m sur 2 m","Y0"
NA,"planted",NA,"<10cm planted","1795","S0052MP132","Madagascar","FAFIALA","Restoration","Restoration","30x30",180,1348,"main","Census_30x30","Permanent","2","2","2 m sur 2 m","Y0"
"Luxa capitata","naturally_regenerating",2,"1 - 9.9cm","1805","S0062 MP 05","Madagascar","FAFIALA","Restoration","Restoration","30x30",181,1350,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Harungana madagascarnesis","naturally_regenerating",2,"1 - 9.9cm","1795","S0052MP79","Madagascar","FAFIALA","Restoration","Restoration","30x30",182,1352,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Tréma orientalis","naturally_regenerating",1,"1 - 9.9cm","1812","S0069MP3","Madagascar","FAFIALA","Restoration","Restoration","30x30",183,1356,"main","Census_30x30","Permanent","2","2","4m*4m","Y0"
"Desmodium barbatum","naturally_regenerating",4,"1 - 9.9cm","1812","S0069MP3","Madagascar","FAFIALA","Restoration","Restoration","30x30",184,1356,"main","Census_30x30","Permanent","2","2","4m*4m","Y0"
"Spidium guajava","naturally_regenerating",6,"1 - 9.9cm","1795","S0052MP78","Madagascar","FAFIALA","Restoration","Restoration","30x30",185,1357,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
NA,"naturally_regenerating",NA,"1 - 9.9cm","1796","S0053MP15","Madagascar","FAFIALA","Restoration","Restoration","30x30",186,1359,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Weinmania rutenbergii","naturally_regenerating",5,"1 - 9.9cm","1805","S0062MP 04","Madagascar","FAFIALA","Restoration","Restoration","30x30",187,1361,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Thilachium angustifolium","naturally_regenerating",3,"1 - 9.9cm","1805","S0062MP 04","Madagascar","FAFIALA","Restoration","Restoration","30x30",188,1361,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Psidia altissima","naturally_regenerating",1,"1 - 9.9cm","1805","S0062MP 04","Madagascar","FAFIALA","Restoration","Restoration","30x30",189,1361,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
