"Organization_Name","Site_ID","size_class.x","count_Y0","size_class.y","count_Y25","size_class","count_Y5","restored_Y25","restored_Y5"
"CUCOS","1418",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1419",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1435",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1436","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1436",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1437","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1437",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1438","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1438",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1439","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1439",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1440","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1440",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1441","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1441",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1442","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1442",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1443","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1443",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1444","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1444",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1445",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1446","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1446",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1447","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1447",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1448",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1450",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1451","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1451",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1452","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1452",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1454","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1454",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1455",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1456",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1457","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1457",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1458","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1458",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1459","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1459",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1460",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1461","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1461",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1462","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1462",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1463","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1463",">10cm",NA,NA,NA,NA,NA,NA,NA
