"query","family","db"
"Quercus ilex","Fagaceae","GBIF"
"Pinus pinea","Pinaceae","GBIF"
"Pinus halepensis","Pinaceae","GBIF"
"Encino",NA,"GBIF"
"Pinus maximinoi","Pinaceae","GBIF"
"Calophyllum brasiliense","Calophyllaceae","GBIF"
"Inga",NA,"GBIF"
"Bauhinia variegata","Fabaceae","GBIF"
"Artocarpus blancoi","Moraceae","GBIF"
"Buchanania arborescens","Anacardiaceae","GBIF"
"Buchanania nitida","Anacardiaceae","GBIF"
"Alstonia scholaris","Apocynaceae","GBIF"
"Artocarpus anisophyllus","Moraceae","GBIF"
"Sandoricum vidalii","Meliaceae","GBIF"
"Tristaniopsis decorticata","Myrtaceae","GBIF"
"Acacia mangium","Fabaceae","GBIF"
"Alangium javanicum","Cornaceae","GBIF"
"Litsea glutinosa","Lauraceae","GBIF"
"Myristica philippinensis","Myristicaceae","GBIF"
"Mitrephora lanotan","Annonaceae","GBIF"
"Palaquium luzoniense","Sapotaceae","GBIF"
"Dysoxylum cumingianum","Meliaceae","GBIF"
"Neonauclea formicaria","Rubiaceae","GBIF"
"Kokoona ochracea","Celastraceae","GBIF"
"Sapium luzonicum","Euphorbiaceae","GBIF"
"Calophyllum blancoi","Calophyllaceae","GBIF"
"Terminalia calamansanai","Combretaceae","GBIF"
"Toona calantas","Meliaceae","GBIF"
"Goniocheton arborescens","Meliaceae","GBIF"
"Tritaxis malayana","Euphorbiaceae","GBIF"
"Syzygium antisepticum","Myrtaceae","GBIF"
"Pometia pinnata","Sapindaceae","GBIF"
"Atuna racemosa","Chrysobalanaceae","GBIF"
"Beilschmiedia glomerata","Lauraceae","GBIF"
"Nephelium rambutan","Sapindaceae","GBIF"
"Pangium edule","Achariaceae","GBIF"
"Dehaasia triandra","Lauraceae","GBIF"
"Swintonia foxworthyi","Anacardiaceae","GBIF"
"Syzygium nervosum","Myrtaceae","GBIF"
"Terminalia nitens","Combretaceae","GBIF"
"Dimorphocalyx luzoniensis","Euphorbiaceae","GBIF"
"Butea monosperma","Fabaceae","GBIF"
"Azadirachta indica","Meliaceae","GBIF"
"Acacia auriculiformis","Fabaceae","GBIF"
"Pas darbres inventoriées : Plus de 10cm(DBH)",NA,"GBIF"
"Pas darbres plus de 10cm (DBH)",NA,"GBIF"
"pas despece",NA,"GBIF"
"Inga edulis","Fabaceae","GBIF"
"Ternstroemia sylvatica","Pentaphylacaceae","GBIF"
"Vernonia patens","Asteraceae","GBIF"
"Bursera copallifera","Burseraceae","GBIF"
"Cochlospermum vitifolium","Cochlospermaceae","GBIF"
"Haematoxylum campechianum","Fabaceae","GBIF"
"Enterolobium cyclocarpum","Fabaceae","GBIF"
"Ulmus mexicana","Ulmaceae","GBIF"
"Conostegia xalapensis","Melastomataceae","GBIF"
"Leucaena leucocephala","Fabaceae","GBIF"
"Chrysophyllum cainito","Sapotaceae","GBIF"
"Pinus oocarpa","Pinaceae","GBIF"
"Byrsonima crassifolia","Malpighiaceae","GBIF"
"Acacia caven","Fabaceae","GBIF"
"Dalbergia calderonii","Fabaceae","GBIF"
"Platymisciun dimhorphan",NA,"GBIF"
"Sapindus saponaria","Sapindaceae","GBIF"
"Psidium sartorianum","Myrtaceae","GBIF"
"Trichilia trifolia","Meliaceae","GBIF"
"Crescentia cujete","Bignoniaceae","GBIF"
"Erythrina coralloides","Fabaceae","GBIF"
"Ficus petiolaris","Moraceae","GBIF"
"Lonchocarpus rugosus","Fabaceae","GBIF"
"Ceiba pentandra","Malvaceae","GBIF"
"Perymenium grande","Asteraceae","GBIF"
"Cojoba arborea","Fabaceae","GBIF"
"Cochlolospermun vitifolium",NA,"GBIF"
"Guatemala","Rosaceae","GBIF"
"Malpighia glabra","Malpighiaceae","GBIF"
"Leucaena esculenta","Fabaceae","GBIF"
"Prunus salicifolia","Rosaceae","GBIF"
"Psidium guajava","Myrtaceae","GBIF"
"Cupressus lusitanica lindleyi","Cupressaceae","GBIF"
"Citrus aurantiifolia","Rutaceae","GBIF"
"Pseudosmodingium multifolium","Anacardiaceae","GBIF"
