"query","family","db"
"Trachylobium",NA,NA
"ghgh",NA,NA
"Dracaena reflexa","Asparagaceae","ncbi"
"Harungana madagascariensis","Hypericaceae","ncbi"
"Ficus reflexa","Moraceae","ncbi"
"Albizia lebbeck","Fabaceae","ncbi"
"Nuxia capitata",NA,NA
"Syzygium aromaticum","Myrtaceae","ncbi"
"Coffea","Rubiaceae","ncbi"
"Litchi","Sapindaceae","ncbi"
"Mangifera indica","Anacardiaceae","ncbi"
"Spondias dulcis","Anacardiaceae","ncbi"
"Intsia","Fabaceae","ncbi"
"Spondias","Anacardiaceae","ncbi"
"Citrus sinensis","Rutaceae","ncbi"
"Letchi",NA,NA
"Albizia","Fabaceae","ncbi"
"Harungana","Hypericaceae","ncbi"
"Albizia gummifera","Fabaceae","ncbi"
"Albizzia lebbeck","Fabaceae","ncbi"
"Hasina",NA,NA
"Eriobotrya japonica","Rosaceae","ncbi"
"Syzygium verrucosum",NA,NA
"Artocarpus heterophyllus","Moraceae","ncbi"
"Malus","Rosaceae","ncbi"
"Entada chrysostachys",NA,NA
"Vanilla planifolia","Orchidaceae","ncbi"
"Eucalyptus robusta","Myrtaceae","ncbi"
"Litchi chinensis","Sapindaceae","ncbi"
"Brachylaena perrieri","Asteraceae","ncbi"
"Psiadia altissima","Asteraceae","ncbi"
"Ampalis madagascariensis",NA,NA
"Weinmannia madagascariensis","Cunoniaceae","ncbi"
"Trema orientalis","Cannabaceae","ncbi"
"Grevillea","Proteaceae","ncbi"
"Tina striata","Sapindaceae","ncbi"
"Fomohilambo",NA,NA
"Handrarezina",NA,NA
"Ficus lutea","Moraceae","ncbi"
"Pachytrophe obovata",NA,NA
"Psidium guayava",NA,NA
"Tina gelonium",NA,NA
"Psidium","Myrtaceae","ncbi"
"Bracaena perieri",NA,NA
"Thecacoris madagascariensis","Phyllanthaceae","ncbi"
"Eucalyptus","Myrtaceae","ncbi"
"Gnidia danguyana","Thymelaeaceae","ncbi"
"Macaranga obovata","Euphorbiaceae","ncbi"
"Entada louvelii",NA,NA
"Malus domestica","Rosaceae","ncbi"
"Weinmannia","Cunoniaceae","ncbi"
"Eugenia hirta","Myrtaceae","ncbi"
"Psydia",NA,NA
"Famohylambo",NA,NA
"Maintipototra",NA,NA
"Musa","Musaceae","ncbi"
"Psorospermum amplifolium",NA,NA
"Phyllarthron madagascariensis",NA,NA
"Filartran madagascariensis",NA,NA
"Ficus rubra","Moraceae","ncbi"
"Haronga madagascariensis",NA,NA
"Ficus megapoda",NA,NA
"Leucaena","Fabaceae","ncbi"
"Cafe",NA,NA
"Trachydium verrucosum",NA,NA
"Prunus persica","Rosaceae","ncbi"
"Coffea robusta","Rubiaceae","ncbi"
"Baudouinia fluggeiformis","Fabaceae","ncbi"
"Weinmannia rutenbergii","Cunoniaceae","ncbi"
"Thilachium angustifolium",NA,NA
"Andrarezina",NA,NA
"Volomborona",NA,NA
"Dracaena","Asparagaceae","ncbi"
"Ficus polita","Moraceae","ncbi"
"Coffea millotii","Rubiaceae","ncbi"
"Coffea mangoroensis","Rubiaceae","ncbi"
"Caffea",NA,NA
"Morus alba","Moraceae","ncbi"
"Grewia baillonii",NA,NA
"Protorhus ditimena","Anacardiaceae","ncbi"
"Erythroxylum sphaeranthum","Erythroxylaceae","ncbi"
"Papaya","Caricaceae","ncbi"
"Piper nigrum","Piperaceae","ncbi"
"None",NA,NA
"Intsia madagascariensis",NA,NA
"Spondens dipsis",NA,NA
"Trema humbertii",NA,NA
"Eugenia cloiselii",NA,NA
"Eugenia","Myrtaceae","ncbi"
"Tambourissa madagascariensis",NA,NA
"Casearia corymbosa","Salicaceae","ncbi"
"Cordia alliodora","Cordiaceae","ncbi"
"Malacate blanco",NA,NA
"Tabebuia rosea","Bignoniaceae","ncbi"
"Rabo de iaguana",NA,NA
"Nanche",NA,NA
"Cocos nucifera","Arecaceae","ncbi"
"Quercus rubra","Fagaceae","ncbi"
"Pinus strobus","Pinaceae","ncbi"
"Platanus occidentalis","Platanaceae","ncbi"
"Prunus americana","Rosaceae","ncbi"
"Quercus montana","Fagaceae","ncbi"
"Prunus serotina","Rosaceae","ncbi"
"Robinia pseudoacacia","Fabaceae","ncbi"
"Castanea dentata","Fagaceae","ncbi"
"Corylus americana","Betulaceae","ncbi"
"Quercus velutina","Fagaceae","ncbi"
"Pinus virginiana","Pinaceae","ncbi"
"Quercus alba","Fagaceae","ncbi"
"0",NA,NA
"Nunguno",NA,NA
"Bauhinia variegata","Fabaceae","ncbi"
"Artocarpus blancoi","Moraceae","ncbi"
"Buchanania arborescens","Anacardiaceae","ncbi"
"Buchanania nitida",NA,NA
"Alstonia scholaris","Apocynaceae","ncbi"
"Artocarpus anisophyllus","Moraceae","ncbi"
"Sandoricum vidalii","Meliaceae","ncbi"
"Tristaniopsis decorticata",NA,NA
"Acacia mangium","Fabaceae","ncbi"
"Alangium javanicum","Cornaceae","ncbi"
"Litsea glutinosa","Lauraceae","ncbi"
"Myristica philippinensis",NA,NA
"Mitrephora lanotan","Annonaceae","ncbi"
"Palaquium luzoniense","Sapotaceae","ncbi"
"Dysoxylum cumingianum","Meliaceae","ncbi"
"Neonauclea formicaria","Rubiaceae","ncbi"
"Kokoona ochracea","Celastraceae","ncbi"
"Sapium luzonicum",NA,NA
"Calophyllum blancoi","Calophyllaceae","ncbi"
"Terminalia calamansanai","Combretaceae","ncbi"
"Toona calantas","Meliaceae","ncbi"
"Goniocheton arborescens","Meliaceae","ncbi"
"Tritaxis malayana",NA,NA
"Syzygium antisepticum","Myrtaceae","ncbi"
"Pometia pinnata","Sapindaceae","ncbi"
"Atuna racemosa","Chrysobalanaceae","ncbi"
"Beilschmiedia glomerata",NA,NA
"Nephelium rambutan",NA,NA
"Pangium edule","Achariaceae","ncbi"
"Dehaasia triandra",NA,NA
"Swintonia foxworthyi",NA,NA
"Syzygium nervosum","Myrtaceae","ncbi"
"Terminalia nitens","Combretaceae","ncbi"
"Dimorphocalyx luzoniensis",NA,NA
"Butea monosperma","Fabaceae","ncbi"
"Azadirachta indica","Meliaceae","ncbi"
"Acacia auriculiformis","Fabaceae","ncbi"
"Pas darbres inventoriées : Plus de 10cm(DBH)",NA,NA
"Pas darbres plus de 10cm (DBH)",NA,NA
"pas despece",NA,NA
"Inga edulis","Fabaceae","ncbi"
"Ternstroemia sylvatica","Pentaphylacaceae","ncbi"
"Vernonia patens","Asteraceae","ncbi"
"Bursera copallifera","Burseraceae","ncbi"
"Cochlospermum vitifolium","Bixaceae","ncbi"
"Haematoxylum campechianum","Fabaceae","ncbi"
"Enterolobium cyclocarpum","Fabaceae","ncbi"
"Ulmus mexicana","Ulmaceae","ncbi"
"Conostegia xalapensis","Melastomataceae","ncbi"
"Leucaena leucocephala","Fabaceae","ncbi"
"Chrysophyllum cainito","Sapotaceae","ncbi"
"Pinus oocarpa","Pinaceae","ncbi"
"Byrsonima crassifolia","Malpighiaceae","ncbi"
"Acacia caven","Fabaceae","ncbi"
"Dalbergia calderonii","Fabaceae","ncbi"
"Platymisciun dimhorphan",NA,NA
"Sapindus saponaria","Sapindaceae","ncbi"
"Psidium sartorianum","Myrtaceae","ncbi"
"Trichilia trifolia","Meliaceae","ncbi"
"Crescentia cujete","Bignoniaceae","ncbi"
"Erythrina coralloides","Fabaceae","ncbi"
"Ficus petiolaris","Moraceae","ncbi"
"Lonchocarpus rugosus","Fabaceae","ncbi"
"Ceiba pentandra","Malvaceae","ncbi"
"Perymenium grande","Asteraceae","ncbi"
"Cojoba arborea","Fabaceae","ncbi"
"Cochlolospermun vitifolium",NA,NA
"Guatemala",NA,NA
"Malpighia glabra","Malpighiaceae","ncbi"
"Leucaena esculenta","Fabaceae","ncbi"
"Prunus salicifolia","Rosaceae","ncbi"
"Psidium guajava","Myrtaceae","ncbi"
"Cupressus lusitanica lindleyi",NA,NA
"Citrus aurantiifolia","Rutaceae","ncbi"
"Pseudosmodingium multifolium",NA,NA
"Ternstroemia luquillensis",NA,NA
"Verbesina myriocephala","Asteraceae","ncbi"
"Platanus mexicana","Platanaceae","ncbi"
"Acacia collinsii","Fabaceae","ncbi"
"Vijao",NA,NA
"Manga","Noctuidae","ncbi"
"Folha composta",NA,NA
"Annonaceae","Annonaceae","ncbi"
"Néant",NA,NA
"guachipilin",NA,NA
"Guayaba",NA,NA
"Chalun",NA,NA
"Quercus skinneri","Fagaceae","ncbi"
"Ochroma pyramidale","Malvaceae","ncbi"
"Platanos",NA,NA
"Trompillo","Convolvulaceae","ncbi"
"Nispero",NA,NA
"Astronium graveolens","Anacardiaceae","ncbi"
"Ulmus","Ulmaceae","ncbi"
"Chicharo",NA,NA
"Ficus aurea","Moraceae","ncbi"
"Inga jinicuil","Fabaceae","ncbi"
"Calycophyllum candidissimum","Rubiaceae","ncbi"
"Annona macroprophyllata","Annonaceae","ncbi"
"Sideroxylon capiri","Sapotaceae","ncbi"
"Quercus candicans","Fagaceae","ncbi"
"Platymiscium dimorphandrum","Fabaceae","ncbi"
"Pitio",NA,NA
"Andira inermis","Fabaceae","ncbi"
"Ternstroemia lineata","Pentaphylacaceae","ncbi"
"Diospyros digyna","Ebenaceae","ncbi"
"Styrax argenteus","Styracaceae","ncbi"
"Coccoloba acapulcensis","Polygonaceae","ncbi"
"Chiranthodendron pentadactylon","Malvaceae","ncbi"
"Tabebuia donnell-smithii","Bignoniaceae","ncbi"
"Muntingia calabura","Muntingiaceae","ncbi"
"Manilkara zapota","Sapotaceae","ncbi"
"Litsea glaucescens","Lauraceae","ncbi"
"Chiombo",NA,NA
"Uapaca kirkiana","Phyllanthaceae","ncbi"
"Chiwombo",NA,NA
"No",NA,NA
"Ficus","Moraceae","ncbi"
"Nkhadzi",NA,NA
"Semecarpus cuneiformis",NA,NA
"Homalanthus populneus","Euphorbiaceae","ncbi"
"Carallia borneensis",NA,NA
"Pterospermum diversifolium",NA,NA
"Garcinia forbesii","Clusiaceae","ncbi"
"Cratoxylum sumatranum","Hypericaceae","ncbi"
"Syzygium costulatum",NA,NA
"Canarium luzonicum",NA,NA
"Barringtonia asiatica","Lecythidaceae","ncbi"
"Ficus nota","Moraceae","ncbi"
"Macaranga grandifolia","Euphorbiaceae","ncbi"
"Nephelium lappaceum","Sapindaceae","ncbi"
"Polyscias nodosa","Araliaceae","ncbi"
"Pterocymbium tinctorium","Malvaceae","ncbi"
"Parkia timoriana","Fabaceae","ncbi"
"Syzygium xanthophyllum",NA,NA
"Lagerstroemia speciosa","Lythraceae","ncbi"
"Vitex","Lamiaceae","ncbi"
"Koordersiodendron pinnatum",NA,NA
"Diospyros pyrrhocarpa","Ebenaceae","ncbi"
"Artocarpus ovatus","Moraceae","ncbi"
"Omalanthus fastuosus",NA,NA
"Dysoxylum gaudichaudianum","Meliaceae","ncbi"
"Gomphandra luzoniensis","Stemonuraceae","ncbi"
"Azadirachta excelsa","Meliaceae","ncbi"
"Masuku",NA,NA
"O",NA,NA
"Brachystegia","Fabaceae","ncbi"
"Croton urucurana","Euphorbiaceae","ncbi"
"Saurauia serrata","Actinidiaceae","ncbi"
"Fouquieria splendens","Fouquieriaceae","ncbi"
"Schinopsis balansae","Anacardiaceae","ncbi"
"Persea schiedeana","Lauraceae","ncbi"
"Euphorbia macvaughii","Euphorbiaceae","ncbi"
"Callistemon citrinus","Myrtaceae","ncbi"
"Trophis racemosa","Moraceae","ncbi"
"Homalium trichostemon",NA,NA
"Nectandra leucantha","Lauraceae","ncbi"
"Thouinidium decandrum","Sapindaceae","ncbi"
"Juniperus squamata","Cupressaceae","ncbi"
"Ficus benjamina","Moraceae","ncbi"
"Gynostemma pentaphyllum","Cucurbitaceae","ncbi"
"Syzygium jambos","Myrtaceae","ncbi"
"Dorstenia brasiliensis","Moraceae","ncbi"
"Brosimum","Moraceae","ncbi"
"Ficus insipida","Moraceae","ncbi"
"Rhodamnia rubescens","Myrtaceae","ncbi"
"Pseudobombax ellipticum","Malvaceae","ncbi"
"Haematoxylum brasiletto","Fabaceae","ncbi"
"Genipa americana","Rubiaceae","ncbi"
"Nectandra lineata","Lauraceae","ncbi"
"Theobroma bicolor","Malvaceae","ncbi"
"Inga","Fabaceae","ncbi"
"Amphipterygium adstringens","Anacardiaceae","ncbi"
"Citrus reticulata","Rutaceae","ncbi"
"Aquilaria sinensis","Thymelaeaceae","ncbi"
"Quercus subspathulata","Fagaceae","ncbi"
"Quercus devia","Fagaceae","ncbi"
"Sebastiania brasiliensis","Euphorbiaceae","ncbi"
"Hamelia patens","Rubiaceae","ncbi"
"Trema micrantha","Cannabaceae","ncbi"
"Nectandra","Lauraceae","ncbi"
"Fouquieria ochoterenae","Fouquieriaceae","ncbi"
"Hymenaea courbaril","Fabaceae","ncbi"
"Annona muricata","Annonaceae","ncbi"
"Ficus carica","Moraceae","ncbi"
"Cedrus","Pinaceae","ncbi"
"Prunus domestica","Rosaceae","ncbi"
"Annona cherimola","Annonaceae","ncbi"
"Persea mutisii","Lauraceae","ncbi"
"Acacia cochliacantha","Fabaceae","ncbi"
"Acacia farnesiana","Fabaceae","ncbi"
