"species","status","alien_range","native_range","summary"
"Gallesia integrifolia (Spreng.) harms","Not in GISD",NA,NA,NA
"Gameleira preta","Not in GISD",NA,NA,NA
"Genipa americana L","Not in GISD",NA,NA,NA
"Gonçalo Alves","Not in GISD",NA,NA,NA
"Graviola","Not in GISD",NA,NA,NA
"Guazuma ulmifolia","Not in GISD",NA,NA,NA
"Handroanthus albus","Not in GISD",NA,NA,NA
"Hymenaea courbaril","Not in GISD",NA,NA,NA
"Inga marginata Willd","Not in GISD",NA,NA,NA
"Ingá Mirim","Not in GISD",NA,NA,NA
"Ipê 5 folhas","Not in GISD",NA,NA,NA
"Jacarandá","Not in GISD",NA,NA,NA
"Janauba","Not in GISD",NA,NA,NA
"Johanesia princeps Vell.","Not in GISD",NA,NA,NA
"Libidibia ferrea","Not in GISD",NA,NA,NA
"Loro Pardo","Not in GISD",NA,NA,NA
"Loro canela","Not in GISD",NA,NA,NA
"Machaerium nictitans (vell.) Benth.","Not in GISD",NA,NA,NA
"Macrolobium bifolium Pers.","Not in GISD",NA,NA,NA
"Manilkara salzmanii (DC.) Lam.","Not in GISD",NA,NA,NA
"Mozê","Not in GISD",NA,NA,NA
"Mozer","Not in GISD",NA,NA,NA
"Mudas sem indentificação","Not in GISD",NA,NA,NA
"Mussambê","Not in GISD",NA,NA,NA
"Mutamba","Not in GISD",NA,NA,NA
"Myrcia rostrata DC.","Not in GISD",NA,NA,NA
"Nectandra rubra","Not in GISD",NA,NA,NA
"Nectandra rubra (Mez) C. K. Allen","Not in GISD",NA,NA,NA
"Oleo Copaiba","Not in GISD",NA,NA,NA
"Pata de vaca c/m espinho","Not in GISD",NA,NA,NA
"Pau jangada","Not in GISD",NA,NA,NA
"Pau sangue","Not in GISD",NA,NA,NA
"Paubrasilia echinata","Not in GISD",NA,NA,NA
"Peltophorum dubium (Spreng.) Taub.","Not in GISD",NA,NA,NA
"Peschiera fuchsiaefolia Miers","Not in GISD",NA,NA,NA
"Platymenia foliolosa Benth.","Not in GISD",NA,NA,NA
"Pouteria bapeba","Not in GISD",NA,NA,NA
"Pouteria caimito","Not in GISD",NA,NA,NA
"Protium heptaphyllum (Aubl.) Marchand","Not in GISD",NA,NA,NA
"Pseudobombax grandiflorum (Cav.)","Not in GISD",NA,NA,NA
"Pterigota brasiliensis Fr. All.","Not in GISD",NA,NA,NA
"Pterocarpus rohrii Vahl","Not in GISD",NA,NA,NA
"Pterocarpus violaceus","Not in GISD",NA,NA,NA
"Pterogyne nitens Tul.","Not in GISD",NA,NA,NA
"Sangra Dágua","Not in GISD",NA,NA,NA
"Sapucaia","Not in GISD",NA,NA,NA
"Schinus terebenthifolia Raddi","Not in GISD",NA,NA,NA
"Schizolobium parahyba (Vell.) S. F. Blake","Not in GISD",NA,NA,NA
"Senna macranthera","Not in GISD",NA,NA,NA
"Senna macranthera (DC. Ex Collad.)","Not in GISD",NA,NA,NA
"Spondias lutea L.","Not in GISD",NA,NA,NA
"Swartizia Langs-dorffi","Not in GISD",NA,NA,NA
"Tabebuia heptaphylla (Vell.) Toledo","Not in GISD",NA,NA,NA
"Tabebuia impetiginosa (Mart..ex Cond.) Standl","Not in GISD",NA,NA,NA
"Tabebuia roseo-alba","Not in GISD",NA,NA,NA
"Tabebuia serratifolia (Vahl)Nichols","Not in GISD",NA,NA,NA
"Tapirira guianensis Aubl","Not in GISD",NA,NA,NA
"Vataireopsis araroba (Aguiar) Ducke","Not in GISD",NA,NA,NA
"Zanthoxylum rhoifolium","Not in GISD",NA,NA,NA
"Zeyheria tuberculosa","Not in GISD",NA,NA,NA
"Eucalyptus blakleyi","Not in GISD",NA,NA,NA
"Eucalyptus polyanthemos","Not in GISD",NA,NA,NA
"Schinus terebenthifolia","Not in GISD",NA,NA,NA
"Inga marginata","Not in GISD",NA,NA,NA
"Andira legalis","Not in GISD",NA,NA,NA
"Cordia magnoliifolia","Not in GISD",NA,NA,NA
"Peltophorum dubium","Not in GISD",NA,NA,NA
"Cedrella odorata","Not in GISD",NA,NA,NA
"Cecropia sp","Not in GISD",NA,NA,NA
"Dalbergia nigra","Not in GISD",NA,NA,NA
"Machaerium nictitans","Not in GISD",NA,NA,NA
"Himatanthus drasticus","Not in GISD",NA,NA,NA
"Cariniana legalis","Not in GISD",NA,NA,NA
"Albizia polycephala","Not in GISD",NA,NA,NA
"Gallesia integrifolia","Not in GISD",NA,NA,NA
"Talisia esculenta","Not in GISD",NA,NA,NA
"Euterpe oleracea","Not in GISD",NA,NA,NA
"Bactris gasipae","Not in GISD",NA,NA,NA
"Cedrela fissilis","Not in GISD",NA,NA,NA
"Tabebuia","Not in GISD",NA,NA,NA
"Theobroma grandiflora","Not in GISD",NA,NA,NA
"Bactris gasipaes","Not in GISD",NA,NA,NA
"Anacardium occidentale","Not in GISD",NA,NA,NA
