"species","status","alien_range","native_range","summary"
"Pericopsis elata","Not in GISD",NA,NA,NA
"Dacryodes normandii","Not in GISD",NA,NA,NA
"Leplaea cedrata","Not in GISD",NA,NA,NA
"Cassia siamea","Not in GISD",NA,NA,NA
"Pycnanthus angolensis","Not in GISD",NA,NA,NA
"Treculia africana","Not in GISD",NA,NA,NA
"Autranella congolensis","Not in GISD",NA,NA,NA
"Afzelia","Not in GISD",NA,NA,NA
"Oenocarpus bacaba","Not in GISD",NA,NA,NA
"Eremanthus erythropappus","Not in GISD",NA,NA,NA
"Nauclea diderrichii","Not in GISD",NA,NA,NA
"Baillonella toxisperma","Not in GISD",NA,NA,NA
"Pachira aquatica","Not in GISD",NA,NA,NA
"Cassia floribunda & Cassia siamea","Not in GISD",NA,NA,NA
"Milicia excelsa","Not in GISD",NA,NA,NA
"Paramacrolobium coeruleum","Not in GISD",NA,NA,NA
"Paramacrolobium","Not in GISD",NA,NA,NA
"Cordyla africana","Not in GISD",NA,NA,NA
"Celtis tessmannii","Not in GISD",NA,NA,NA
"Prioria oxyphylla","Not in GISD",NA,NA,NA
"Tetrapleura tetraptera","Not in GISD",NA,NA,NA
"Entandrophragma cylindricum","Not in GISD",NA,NA,NA
"Entandrophragma candollei","Not in GISD",NA,NA,NA
"Couma utilis","Not in GISD",NA,NA,NA
"Dipteryx odorata","Not in GISD",NA,NA,NA
"Mezilaurus itauba","Not in GISD",NA,NA,NA
"Oenocarpus bataua","Not in GISD",NA,NA,NA
"Parkia pendula","Not in GISD",NA,NA,NA
"Pouteria macrophylla","Not in GISD",NA,NA,NA
"Simarouba amara","Not in GISD",NA,NA,NA
"Copaifera langsdorffii","Not in GISD",NA,NA,NA
"Enterolobium maximum","Not in GISD",NA,NA,NA
"Piptadenia gonoacantha","Not in GISD",NA,NA,NA
"Theobroma speciosum","Not in GISD",NA,NA,NA
"Intsia","Not in GISD",NA,NA,NA
"Trachylobium","Not in GISD",NA,NA,NA
"Cafe","Not in GISD",NA,NA,NA
"Citrus","Not in GISD",NA,NA,NA
"Papaya","Not in GISD",NA,NA,NA
"Litchi","Not in GISD",NA,NA,NA
"Eriobotrya","Not in GISD",NA,NA,NA
"Harungana madagascariensis","Not in GISD",NA,NA,NA
"Trema orientalis","Not in GISD",NA,NA,NA
"Vanilla","Not in GISD",NA,NA,NA
"Piper","Not in GISD",NA,NA,NA
"Prunus","Not in GISD",NA,NA,NA
"Arbutus unedo","Not in GISD",NA,NA,NA
"Trachylobium verrucosum","Not in GISD",NA,NA,NA
"Citrus sinensis","Not in GISD",NA,NA,NA
"Spondias dulcis","Not in GISD",NA,NA,NA
"Lichi","Not in GISD",NA,NA,NA
"Cajanus","Not in GISD",NA,NA,NA
"Prunus persica","Not in GISD",NA,NA,NA
"Spondias","Not in GISD",NA,NA,NA
"Dombeya","Not in GISD",NA,NA,NA
"Abrahamia ditimena","Not in GISD",NA,NA,NA
"Ficus reflexa","Not in GISD",NA,NA,NA
"Trema orientale","Not in GISD",NA,NA,NA
"Syzygium aromaticum","Not in GISD",NA,NA,NA
"Artocarpus heterophyllus","Not in GISD",NA,NA,NA
"Pittosporum","Not in GISD",NA,NA,NA
"Albizia gummifera","Not in GISD",NA,NA,NA
"Piper nigrum","Not in GISD",NA,NA,NA
"Tarenna","Not in GISD",NA,NA,NA
"Erythroxylum sphaeranthum","Not in GISD",NA,NA,NA
"Coffea","Not in GISD",NA,NA,NA
"Dracaena reflexa","Not in GISD",NA,NA,NA
"Macaranga obovata","Not in GISD",NA,NA,NA
"Ficus tiliifolia","Not in GISD",NA,NA,NA
"Ficus megapoda","Not in GISD",NA,NA,NA
"Malus","Not in GISD",NA,NA,NA
"Leucaena","Not in GISD",NA,NA,NA
"Dracaena","Not in GISD",NA,NA,NA
"Mfsp 9","Not in GISD",NA,NA,NA
"Nuxia capitata","Not in GISD",NA,NA,NA
"Brachylaena perrieri","Not in GISD",NA,NA,NA
"Entada chrysostachys","Not in GISD",NA,NA,NA
"Phyllarthron","Not in GISD",NA,NA,NA
"Dodonaea madagascariensis","Not in GISD",NA,NA,NA
"Tabernaemontana","Not in GISD",NA,NA,NA
"Pachytrophe","Not in GISD",NA,NA,NA
"Diospyros","Not in GISD",NA,NA,NA
"Rhus","Not in GISD",NA,NA,NA
"Tambourissa","Not in GISD",NA,NA,NA
"Euphorbia tetraptera","Not in GISD",NA,NA,NA
"Ampalis madagascariensis","Not in GISD",NA,NA,NA
"Dalbergia","Not in GISD",NA,NA,NA
"Ilex mitis","Not in GISD",NA,NA,NA
"Mimosa caesalpiniifolia","Not in GISD",NA,NA,NA
"Manilkara bidentata","Not in GISD",NA,NA,NA
"Aniba firmula","Not in GISD",NA,NA,NA
"Micropholis venulosa","Not in GISD",NA,NA,NA
"Cecropia hololeuca","Not in GISD",NA,NA,NA
"Maytenus ilicifolia","Not in GISD",NA,NA,NA
"Alchornea sidifolia","Not in GISD",NA,NA,NA
"Swartzia langsdorffii","Not in GISD",NA,NA,NA
"Cariniana estrellensis","Not in GISD",NA,NA,NA
"Guapira opposita","Not in GISD",NA,NA,NA
"Lecythis pisonis","Not in GISD",NA,NA,NA
"Acnistus arborescens","Not in GISD",NA,NA,NA
"Citharexylum myrianthum","Not in GISD",NA,NA,NA
"Pterocarpus rohrii","Not in GISD",NA,NA,NA
"Cedar","Not in GISD",NA,NA,NA
"Matilisguate","Not in GISD",NA,NA,NA
"Quercus alba","Not in GISD",NA,NA,NA
"Liriodendron tulipifera","Not in GISD",NA,NA,NA
"Acer saccharum","Not in GISD",NA,NA,NA
"Castanea dentata","Not in GISD",NA,NA,NA
"Acer rubrum","Not in GISD",NA,NA,NA
"Carya ovata","Not in GISD",NA,NA,NA
"Quercus prinus","Not in GISD",NA,NA,NA
"Pinus virginiana","Not in GISD",NA,NA,NA
"Pinus strobus","Not in GISD",NA,NA,NA
"Quercus rubra","Not in GISD",NA,NA,NA
"Quercus velutina","Not in GISD",NA,NA,NA
"Prunus serotina","Not in GISD",NA,NA,NA
"Carya tomentosa","Not in GISD",NA,NA,NA
"Diospyros virginiana","Not in GISD",NA,NA,NA
"Betula lenta","Not in GISD",NA,NA,NA
"Celtis occidentalis","Not in GISD",NA,NA,NA
"Morus rubra","Not in GISD",NA,NA,NA
"Platanus occidentalis","Not in GISD",NA,NA,NA
"Prunus americana","Not in GISD",NA,NA,NA
"Malus coronaria","Not in GISD",NA,NA,NA
"Corylus avellana","Not in GISD",NA,NA,NA
"Cornus racemosa","Not in GISD",NA,NA,NA
"Cornus amomum","Not in GISD",NA,NA,NA
"Caoba","Not in GISD",NA,NA,NA
"Cedro","Not in GISD",NA,NA,NA
"pino","Not in GISD",NA,NA,NA
"Santa Maria","Not in GISD",NA,NA,NA
"Pino","Not in GISD",NA,NA,NA
"cedro","Not in GISD",NA,NA,NA
"Puno","Not in GISD",NA,NA,NA
"cipres","Not in GISD",NA,NA,NA
"encino","Not in GISD",NA,NA,NA
"Rosul","Not in GISD",NA,NA,NA
"Cipres","Not in GISD",NA,NA,NA
"Encino","Not in GISD",NA,NA,NA
"Cola","Not in GISD",NA,NA,NA
"Cortez","Not in GISD",NA,NA,NA
"zapote de aqua","Not in GISD",NA,NA,NA
"Zapote de Agua","Not in GISD",NA,NA,NA
"caoba","Not in GISD",NA,NA,NA
"matilisguate","Not in GISD",NA,NA,NA
"santa maria","Not in GISD",NA,NA,NA
"Matilis guate","Not in GISD",NA,NA,NA
"Liquidambar","Not in GISD",NA,NA,NA
"Litchi chinensis","Not in GISD",NA,NA,NA
"Pouteria torta","Not in GISD",NA,NA,NA
"Anadenanthera peregrina","Not in GISD",NA,NA,NA
"Inga laurina","Not in GISD",NA,NA,NA
"Tabebuia serratifolia","Not in GISD",NA,NA,NA
"Euterpe edulis","Not in GISD",NA,NA,NA
"Mimosa bimucronata","Not in GISD",NA,NA,NA
"Amburana cearensis","Not in GISD",NA,NA,NA
"Schinus terebinthifolia","Not in GISD",NA,NA,NA
"Joannesia princeps","Not in GISD",NA,NA,NA
"Copaiba","Not in GISD",NA,NA,NA
"Handroanthus serratifolius","Not in GISD",NA,NA,NA
"Handroanthus impetiginosus","Not in GISD",NA,NA,NA
"Marica","Not in GISD",NA,NA,NA
"Cajanus cajan","Not in GISD",NA,NA,NA
"Handroanthus heptaphyllus","Not in GISD",NA,NA,NA
"Euterpe precatoria","Not in GISD",NA,NA,NA
"Cochlospermum vitifolium","Not in GISD",NA,NA,NA
"Parahancornia fasciculata","Not in GISD",NA,NA,NA
"Hymenolobium petraeum","Not in GISD",NA,NA,NA
"Eugenia stipitata","Not in GISD",NA,NA,NA
"Macrolobium acaciifolium","Not in GISD",NA,NA,NA
"Astronium urundeuva","Not in GISD",NA,NA,NA
"Garcinia gardneriana","Not in GISD",NA,NA,NA
"Garcinia macrophylla","Not in GISD",NA,NA,NA
"Trattinnickia rhoifolia","Not in GISD",NA,NA,NA
"Mauritia flexuosa","Not in GISD",NA,NA,NA
"Toulicia guianensis","Not in GISD",NA,NA,NA
"Myrciaria dubia","Not in GISD",NA,NA,NA
"Nectandra megapotamica","Not in GISD",NA,NA,NA
"Jacaranda copaia","Not in GISD",NA,NA,NA
"Bertholletia excelsa","Not in GISD",NA,NA,NA
"Castilla ulei","Not in GISD",NA,NA,NA
"Amburana acreana","Not in GISD",NA,NA,NA
"Copaifera multijuga","Not in GISD",NA,NA,NA
"Copaifera glycycarpa","Not in GISD",NA,NA,NA
"Annona","Not in GISD",NA,NA,NA
"Parkia","Not in GISD",NA,NA,NA
"Parkia gigantocarpa","Not in GISD",NA,NA,NA
"Samanea tubulosa","Not in GISD",NA,NA,NA
"Apuleia leiocarpa","Not in GISD",NA,NA,NA
"Bagassa guianensis","Not in GISD",NA,NA,NA
"Cassia leiandra","Not in GISD",NA,NA,NA
"Handroanthus","Not in GISD",NA,NA,NA
"Hymenaea parvifolia","Not in GISD",NA,NA,NA
"Genipa infundibuliformis","Not in GISD",NA,NA,NA
"Pourouma guianensis","Not in GISD",NA,NA,NA
"Terminalia tetraphylla","Not in GISD",NA,NA,NA
"Schefflera morototoni","Not in GISD",NA,NA,NA
"Astronium lecointei","Not in GISD",NA,NA,NA
"Byrsonima crispa","Not in GISD",NA,NA,NA
"Ormosia arborea","Not in GISD",NA,NA,NA
"Enterolobium schomburgkii","Not in GISD",NA,NA,NA
"Ceiba speciosa","Not in GISD",NA,NA,NA
"Pseudobombax munguba","Not in GISD",NA,NA,NA
"Pseudolmedia laevis","Not in GISD",NA,NA,NA
"Parkia multijuga","Not in GISD",NA,NA,NA
"Bauhinia variegata","Not in GISD",NA,NA,NA
"Senegalia polyphylla","Not in GISD",NA,NA,NA
"Physocalymma scaberrimum","Not in GISD",NA,NA,NA
"Socratea exorrhiza","Not in GISD",NA,NA,NA
"Poeppigia procera","Not in GISD",NA,NA,NA
"Clarisia racemosa","Not in GISD",NA,NA,NA
"Peltogyne","Not in GISD",NA,NA,NA
"Croton lechleri","Not in GISD",NA,NA,NA
"Pouteria gardneri","Not in GISD",NA,NA,NA
"Clitoria fairchildiana","Not in GISD",NA,NA,NA
"Diplotropis purpurea","Not in GISD",NA,NA,NA
"Himatanthus phagedaenicus","Not in GISD",NA,NA,NA
"Tachigali guianensis","Not in GISD",NA,NA,NA
"Terminalia","Not in GISD",NA,NA,NA
"Couratari guianensis","Not in GISD",NA,NA,NA
"Cariniana micrantha","Not in GISD",NA,NA,NA
"Virola venosa","Not in GISD",NA,NA,NA
"Chorisia","Not in GISD",NA,NA,NA
"Sparattanthelium","Not in GISD",NA,NA,NA
"xxx","Not in GISD",NA,NA,NA
"Croton floribundus","Not in GISD",NA,NA,NA
"Senna multijuga","Not in GISD",NA,NA,NA
"Apeiba tibourbou","Not in GISD",NA,NA,NA
"Handroanthus chrysotrichus","Not in GISD",NA,NA,NA
"Protium aracouchini","Not in GISD",NA,NA,NA
"Eschweilera ovata","Not in GISD",NA,NA,NA
"Cecropia pachystachya","Not in GISD",NA,NA,NA
"Arapatiella","Not in GISD",NA,NA,NA
"Xylopia brasiliensis","Not in GISD",NA,NA,NA
"Virola bicuhyba","Not in GISD",NA,NA,NA
"Theobroma grandiflorum","Not in GISD",NA,NA,NA
"Cordia trichotoma","Not in GISD",NA,NA,NA
"Peltophorum dubium dubium","Not in GISD",NA,NA,NA
"Parapiptadenia rigida","Not in GISD",NA,NA,NA
"Sparattosperma leucanthum","Not in GISD",NA,NA,NA
"Spondias venulosa","Not in GISD",NA,NA,NA
"Paratecoma peroba","Not in GISD",NA,NA,NA
"Pouteria butyrocarpa","Not in GISD",NA,NA,NA
"Pradosia lactescens","Not in GISD",NA,NA,NA
"Himatanthus bracteatus","Not in GISD",NA,NA,NA
"Arapatiella psilophylla","Not in GISD",NA,NA,NA
"Plathymenia reticulata","Not in GISD",NA,NA,NA
"Xylopia sericea","Not in GISD",NA,NA,NA
"Dimorphandra jorgei","Not in GISD",NA,NA,NA
"Guazuma crinita","Not in GISD",NA,NA,NA
"Acacia glomerosa","Not in GISD",NA,NA,NA
"Psidium myrtoides","Not in GISD",NA,NA,NA
"Myracrodruon urundeuva","Not in GISD",NA,NA,NA
"Senna spectabilis","Not in GISD",NA,NA,NA
"Psidium guayana","Not in GISD",NA,NA,NA
"Corylus americana","Not in GISD",NA,NA,NA
"Crateva adansonii","Not in GISD",NA,NA,NA
"Pinus ayacahuite","Not in GISD",NA,NA,NA
"Inga micheliana","Not in GISD",NA,NA,NA
"Alnus acuminata","Not in GISD",NA,NA,NA
"Pongamia pinnata","Not in GISD",NA,NA,NA
"Guazuma","Not in GISD",NA,NA,NA
"Anacardium","Not in GISD",NA,NA,NA
"Guava","Not in GISD",NA,NA,NA
"Arecaceae ","Not in GISD",NA,NA,NA
"Crescentia cujete","Not in GISD",NA,NA,NA
"Xylopia","Not in GISD",NA,NA,NA
"Brownea ariza","Not in GISD",NA,NA,NA
"guava","Not in GISD",NA,NA,NA
"tamarids","Not in GISD",NA,NA,NA
"Cedrela","Not in GISD",NA,NA,NA
"PLANTING DATA FOR NOVEMBER 2022","Not in GISD",NA,NA,NA
"Zygia","Not in GISD",NA,NA,NA
"Schizolobium","Not in GISD",NA,NA,NA
"MFSP 10","Not in GISD",NA,NA,NA
"Ceiba","Not in GISD",NA,NA,NA
"Cedrela montana","Not in GISD",NA,NA,NA
"3SC Production 2.3","Not in GISD",NA,NA,NA
"Cleistopholis glauca","Not in GISD",NA,NA,NA
"Pterocarpus soyauxii","Not in GISD",NA,NA,NA
"Syzygium polycephaloides","Not in GISD",NA,NA,NA
"Anadenanthera macrocarpa","Not in GISD",NA,NA,NA
"Myrsine","Not in GISD",NA,NA,NA
"Eriotheca pentaphylla","Not in GISD",NA,NA,NA
"Sapotaceae","Not in GISD",NA,NA,NA
"Symphonia globulifera","Not in GISD",NA,NA,NA
"Sterculia excelsa","Not in GISD",NA,NA,NA
"Aegiphila integrifolia","Not in GISD",NA,NA,NA
"Iochroma arborescens","Not in GISD",NA,NA,NA
"Centrolobium","Not in GISD",NA,NA,NA
"Pachystachys","Not in GISD",NA,NA,NA
"Acacia verniciflua","Not in GISD",NA,NA,NA
"Dodonaea viscosa angustissima","Not in GISD",NA,NA,NA
"Casuarina cunninghamiana","Not in GISD",NA,NA,NA
"Mallotus cochinchinensis","Not in GISD",NA,NA,NA
"Xanthophyllum lanceatum","Not in GISD",NA,NA,NA
"Mallotus cochichinensis","Not in GISD",NA,NA,NA
"Mallotus cochichinensis   ","Not in GISD",NA,NA,NA
"Barringtonia acutangula","Not in GISD",NA,NA,NA
"Myrsine coriacea","Not in GISD",NA,NA,NA
"Chrysophyllum splendens","Not in GISD",NA,NA,NA
"Cinnamomum","Not in GISD",NA,NA,NA
"Jacaranda mimosifolia","Not in GISD",NA,NA,NA
"Abarema langsdorfii","Not in GISD",NA,NA,NA
"Solanum","Not in GISD",NA,NA,NA
"Sparattosperma","Not in GISD",NA,NA,NA
"Tibouchina granulosa","Not in GISD",NA,NA,NA
"Euphorbia heterophylla","Not in GISD",NA,NA,NA
"Acacia falciformis","Not in GISD",NA,NA,NA
"Acacia terminalis","Not in GISD",NA,NA,NA
"Daviesia leptophylla","Not in GISD",NA,NA,NA
"Eucalyptus globoidea","Not in GISD",NA,NA,NA
"Eucalyptus punctata","Not in GISD",NA,NA,NA
"Dodonaea viscosa subsp angustissima","Not in GISD",NA,NA,NA
"Dodonaea viscosa subsp spatulata","Not in GISD",NA,NA,NA
"Mix","Not in GISD",NA,NA,NA
"Pterocarpus sauyauxi","Not in GISD",NA,NA,NA
"Millettia laurenti","Not in GISD",NA,NA,NA
"Cassia floribunda & Cassia Siamea","Not in GISD",NA,NA,NA
"Penthacletra  macrophilla","Not in GISD",NA,NA,NA
"Maesopsis enemii","Not in GISD",NA,NA,NA
"millettia laurentii","Not in GISD",NA,NA,NA
"Penthacletra macrophilla","Not in GISD",NA,NA,NA
"Acacia genistifolia","Not in GISD",NA,NA,NA
"Acacia paradoxa","Not in GISD",NA,NA,NA
"Allocasurina littoralis ","Not in GISD",NA,NA,NA
"Acacia obtusifolia","Not in GISD",NA,NA,NA
"Daviesia mimosoides","Not in GISD",NA,NA,NA
"a","Not in GISD",NA,NA,NA
"Eucalyptus","Not in GISD",NA,NA,NA
"Allocasuarina","Not in GISD",NA,NA,NA
"Brachychiton","Not in GISD",NA,NA,NA
"Dodonaea viscosa subsp. angustissima","Not in GISD",NA,NA,NA
"Acacia brachybotrya","Not in GISD",NA,NA,NA
"Acacia oswaldii","Not in GISD",NA,NA,NA
"Acacia salicina","Not in GISD",NA,NA,NA
"Atriplex nummularia","Not in GISD",NA,NA,NA
"Callitris columellaris","Not in GISD",NA,NA,NA
"Eremophila longifolia","Not in GISD",NA,NA,NA
"Pittosporum angustifolium","Not in GISD",NA,NA,NA
"Senna artemisioides","Not in GISD",NA,NA,NA
"Other species","Not in GISD",NA,NA,NA
"Acacia mearnsii","Invasive","china, cook islands, france, india, israel, italy, japan, madagascar, new zealand, portugal, reunion, saint helena, seychelles, south africa, spain, swaziland, taiwan, tanzania, united republic of, uganda, united states, zimbabwe","australia","Acacia mearnsii is a fast growing leguminous (nitrogen fixing) tree. Native to Australia, it is often used as a commercial source of tannin or a source of fire wood for local communities. It threatens native habitats by competing with indigenous vegetation, replacing grass communities, reducing native biodiversity and increasing water loss from riparian zones."
"Eugenia uniflora","Invasive","american samoa, australia, bahamas, bermuda, cayman islands, christmas island, cook islands, cuba, dominican republic, fiji, french polynesia, guadeloupe, haiti, india, indonesia, italy, jamaica, marshall islands, martinique, micronesia, federated states of, new caledonia, niue, norfolk island, northern mariana islands, papua new guinea, pitcairn, puerto rico, reunion, saint barthelemy, samoa, tonga, united states, united states minor outlying islands, virgin islands, u.s.","argentina, belize, bolivia, brazil, colombia, costa rica, el salvador, french guiana, guatemala, guyana, mexico, nicaragua, panama, paraguay, peru, portugal, suriname, uruguay, venezuela","Eugenia uniflora is an evergreen shrub that can reach tree like proportions. It is a hardy species that can thrive in a variety of habitats, both in its native and introduced range. Eugenia uniflora can quickly reach thick densities which affect understorey light levels, subsequently changing micro-environments. It is also known to host recognised pests and pathogens."
"Psidium cattleianum","Invasive","australia, bermuda, cook islands, fiji, french polynesia, kiribati, mauritius, mayotte, micronesia, federated states of, new zealand, norfolk island, palau, pitcairn, reunion, seychelles, swaziland, united states","","Psidium cattleianum is native to Brazil, but has been naturalised in Florida, Hawai'i, tropical Polynesia, Norfolk Island and Mauritius for its edible fruit. It forms thickets and shades out native \nvegetation in tropical forests and woodlands. It has had a devastating effect on native habitats in Mauritius and is considered the worst plant pest in Hawai'i, where it has invaded a variety of natural areas. It benefits from feral pigs (Sus scrofa) which, by feeding on its fruit, serve as a dispersal agent for its seeds. In turn, the guava provides favourable conditions for feral pigs, facilitating further habitat degradation."
"Psidium guajava","Invasive","algeria, american samoa, anguilla, argentina, aruba, australia, bahamas, bermuda, bolivia, brazil, british indian ocean territory, brunei darussalam, burundi, cambodia, cameroon, cayman islands, central african republic, china, colombia, congo, the democratic republic of the, cook islands, costa rica, cuba, dominican republic, ecuador, egypt, el salvador, fiji, france, french polynesia, gabon, germany, ghana, guam, guyana, haiti, honduras, hong kong, india, indonesia, israel, japan, jordan, kenya, kiribati, lao people's democratic republic, madagascar, malaysia, mayotte, mexico, micronesia, federated states of, nauru, nepal, new caledonia, new zealand, nigeria, niue, norfolk island, northern mariana islands, palau, papua new guinea, paraguay, peru, philippines, pitcairn, puerto rico, reunion, saint helena, samoa, senegal, singapore, south africa, spain, sudan, swaziland, taiwan, tanzania, united republic of, tonga, tuvalu, united states, vanuatu, venezuela, viet nam, virgin islands, u.s., west indies                                                                                                                                                                                                                                               , zimbabwe","anguilla, antigua and barbuda, argentina, barbados, belize, bes islands (bonaire, sint eustatius and saba), bolivia, costa rica, dominica, dominican republic, ecuador, el salvador, french guiana, grenada, guadeloupe, guatemala, haiti, honduras, jamaica, martinique, mexico, montserrat, nicaragua, panama, paraguay, peru, saint barthelemy, saint kitts and nevis, saint lucia, saint martin (french part), saint vincent and the grenadines, suriname, trinidad and tobago, venezuela","Psidium guajava is a tropical tree or shrub. It is native to central America from Mexico to northern South America. It has been introduced to most tropical and sub-tropical locations around the world for its edible fruit. In some countries the harvesting, processing and export of the fruit forms the basis of a sizeable industry. Due in part to its ability to grow on a variety of soils and across a range of climates, P. guajava has become invasive . Pastures and fields are overrun and native plants are outcompeted by this species, which has the ability to form dense thickets. This has led to its designation in many areas as a noxious weed to be controlled or eradicated. It is ranked by some authorities amongst the highest invasive categories."
"Schinus terebinthifolius","Invasive","american samoa, australia, bahamas, bermuda, cuba, fiji, french polynesia, guam, israel, malta, marshall islands, mauritius, mayotte, new caledonia, new zealand, norfolk island, puerto rico, reunion, saint helena, samoa, turks and caicos islands, united states, united states minor outlying islands, vanuatu","argentina, brazil, paraguay, south america                                                                                                                                                                                                                                             ","Native to Argentina, Paraguay and Brazil, Schinus terebinthifolius is a pioneer of disturbed sites, but is also successful in undisturbed natural environments. It is an aggressive evergreen shrub or small tree, 3-7 metres in height that grows in a variety of soil types and prefers partial sun. Schinus terebinthifolius produces shady habitats that repel other plant species and discourage colonisation by native fauna and alter the natural fire regime. Its fruit has a 'paralysing effect' on birds and even grazing animals when ingested. Schinus terebinthifolius seeds are dispersed by birds and mammals and it readily escapes from garden environments. It is planted as both an ornamental and shade tree and has many uses."
"Samanea saman","Invasive","british indian ocean territory","","Samanea saman is a leguminous tree which can easily reach a height of 25 metres. It has been distributed around the world, mostly in tropical climates and has become naturalised in many countries. Samanea saman is valued for its many uses, the primary ones being shade, timber and animal fodder. Samanea saman has become invasive in Fiji, where it can dominate areas of vegetation and is able to invade native forest ecosystems, as found in Hawai'i."
"Cedrela odorata","Invasive","american samoa, antigua and barbuda, argentina, barbados, belize, bolivia, cayman islands, colombia, cook islands, costa rica, cuba, dominica, dominican republic, ecuador, el salvador, fiji, french guiana, french polynesia, grenada, guadeloupe, guatemala, guyana, haiti, honduras, jamaica, mexico, micronesia, federated states of, montserrat, new caledonia, nicaragua, panama, peru, saint kitts and nevis, saint lucia, samoa, south africa, suriname, tonga, united states, venezuela","argentina, brazil, mexico, puerto rico","Cedrela odorata is a native of the West Indies and from Central America to South America, including the Brazilian Atlantic and Amazon Rain Forest. It has been introduced to many Pacific Islands and South Africa. This fast growing timber tree has become invasive in some areas, especially those disturbed by cutting."
"Acacia melanoxylon","Invasive","argentina, belgium, bhutan, bolivia, brazil, chile, china, colombia, ethiopia, france, india, kenya, lesotho, mauritius, new caledonia, new zealand, pakistan, peru, portugal, reunion, saint helena, south africa, spain, sri lanka, swaziland, tanzania, united republic of, united states, uruguay, venezuela","australia","Acacia melanoxylon is native in eastern Australia. This tree grows fast and tall, up to 45m height. It has a wide ecological tolerance, occurring over an extensive range of soils and climatic conditions, but develops better in colder climates. Control of its invasion of natural vegetation, commercial timber plantations and farmland incurs considerable costs, but its timber value and nursing of natural forest succession provides a positive contribution."
"Syzygium cumini","Invasive","australia, belize, bermuda, brazil, cambodia, cook islands, cuba, fiji, french guiana, french polynesia, ghana, guadeloupe, guam, guatemala, haiti, honduras, indonesia, israel, jamaica, kiribati, lao people's democratic republic, martinique, mayotte, montserrat, new caledonia, niue, palau, philippines, puerto rico, reunion, saint lucia, suriname, swaziland, tanzania, united republic of, thailand, tonga, trinidad and tobago, united states, venezuela, viet nam","china, india, indonesia, malaysia, myanmar, sri lanka","Syzygium cumini has been introduced to many different places where it has been utilised as a fruit producer, as an ornamental and also for its timber. It has the ability to form a dense cover, excluding all other species. This characteristic has allowed Syzygium cumini to become invasive in Hawaii where it prevents the re-establishment of native lowland forest and very invasive in the Cook Islands and in French Polynesia. This tree has not been evaluated for biological control, but vigorous efforts to exterminate it with herbicides are taking place in Hawaii."
"Tecoma stans","Invasive","bermuda, cayman islands, french polynesia, italy, mayotte, new caledonia, reunion, saint helena, saint lucia","","Tecoma stans is a South American tree which has been introduced to other tropical and subtropical regions (Indian Ocean, Pacific, Australia) as an ornamental. Tecoma stans prefers dry and disturbed areas such as roadsides but it can also be found in relatively undisturbed forests. It can develop dense, almost monospecific thickets and restrict the regeneration of native species."
"Thevetia peruviana","Invasive","american samoa, anguilla, australia, bermuda, chile, cook islands, ecuador, fiji, french polynesia, guam, indonesia, italy, marshall islands, micronesia, federated states of, nauru, new caledonia, niue, northern mariana islands, palau, puerto rico, samoa, solomon islands, south africa, timor-leste, tonga, united states, united states minor outlying islands, virgin islands, u.s.","mexico, tropical america                                                                                                                                                                                                                                          ","Yellow oleander, Thevetia peruviana is a bushy shrub native to tropical America. Seedlings can be found on cultivated ground and ex-pasture land. It is cultivated in gardens as an ornamental where it competes with garden plants. It is an opportunistic plant and is found growing on disturbed habitats. Its fruit, seeds, foliage or sap are poisonous to man and animals. It is a significant weed in Timor-Leste and is listed as a Category 1 weed in South Africa (prohibited and to be controlled)."
"Leucaena leucocephala","Invasive","american samoa, angola, anguilla, antigua and barbuda, argentina, aruba, australia, bahamas, bangladesh, barbados, benin, bermuda, bes islands (bonaire, sint eustatius and saba), bolivia, botswana, brazil, british indian ocean territory, brunei darussalam, burkina faso, burundi, cambodia, cameroon, cape verde, cayman islands, central african republic, central america                                                                                                                                                                                                                                           , chad, colombia, congo, congo, the democratic republic of the, cook islands, costa rica, cote d'ivoire, cuba, curacao, djibouti, dominica, dominican republic, ecuador, egypt, el salvador, equatorial guinea, eritrea, ethiopia, fiji, french guiana, french polynesia, gabon, gambia, ghana, grenada, guadeloupe, guam, guatemala, guinea, guinea-bissau, guyana, haiti, honduras, hong kong, india, indonesia, jamaica, kenya, kiribati, lao people's democratic republic, liberia, madagascar, malawi, malaysia, mali, martinique, mauritius, micronesia, federated states of, montserrat, morocco, mozambique, myanmar, nepal, new caledonia, niger, nigeria, northern mariana islands, pakistan, panama, papua new guinea, paraguay, peru, philippines, pitcairn, puerto rico, reunion, rwanda, saint helena, saint kitts and nevis, saint lucia, saint vincent and the grenadines, samoa, senegal, seychelles, sierra leone, singapore, solomon islands, somalia, south africa, sri lanka, sudan, suriname, swaziland, tanzania, united republic of, thailand, timor-leste, togo, tonga, trinidad and tobago, tunisia, turks and caicos islands, uganda, united states, uruguay, vanuatu, venezuela, viet nam, virgin islands, british, virgin islands, u.s., zambia, zimbabwe","belize, mexico","The fast-growing, nitrogen-fixing tree/shrub Leucaena leucocephala,  is cultivated as a fodder plant, for green manure, as a windbreak, for reforestation, as a biofuel crop etc. Leucaena has been widely introduced due to its beneficial qualities; it has become an aggressive invader in disturbed areas in many tropical and sub-tropical locations and is listed as one of the ‘100 of the World’s Worst Invasive Alien Species’. This thornless tree can form dense monospecific thickets and is difficult to eradicate once established. It renders extensive areas unusable and inaccessible and threatens native plants."
