"species","datasetKey","datasetTitle","country_name"
"Cassia siamea",NA,NA,"Democratic Republic of Congo"
"Adenanthera pavonina","f6e7601b-3457-4a1b-b5a8-01490566a3b8","Global Register of Introduced and Invasive Species - Democratic Republic of Congo","Democratic Republic of Congo"
"Adenanthera pavonina","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
"Pycnanthus angolensis",NA,NA,"Democratic Republic of Congo"
"Treculia africana",NA,NA,"Democratic Republic of Congo"
"Autranella congolensis",NA,NA,"Democratic Republic of Congo"
"Afzelia",NA,NA,"Democratic Republic of Congo"
"Oenocarpus bacaba",NA,NA,"Brazil"
"Eremanthus erythropappus",NA,NA,"Brazil"
"Nauclea diderrichii",NA,NA,"Democratic Republic of Congo"
"Baillonella toxisperma",NA,NA,"Democratic Republic of Congo"
"Pachira aquatica",NA,NA,"Democratic Republic of Congo"
"Milicia excelsa",NA,NA,"Democratic Republic of Congo"
"Paramacrolobium coeruleum",NA,NA,"Democratic Republic of Congo"
"Paramacrolobium",NA,NA,"Democratic Republic of Congo"
"Cordyla africana",NA,NA,"Malawi"
"Celtis tessmannii",NA,NA,"Democratic Republic of Congo"
"Prioria oxyphylla",NA,NA,"Democratic Republic of Congo"
"Tetrapleura tetraptera",NA,NA,"Democratic Republic of Congo"
"Entandrophragma cylindricum",NA,NA,"Democratic Republic of Congo"
"Entandrophragma candollei",NA,NA,"Democratic Republic of Congo"
"Couma utilis",NA,NA,"Brazil"
"Dipteryx odorata",NA,NA,"Brazil"
"Mezilaurus itauba",NA,NA,"Brazil"
"Oenocarpus bataua",NA,NA,"Brazil"
"Parkia pendula",NA,NA,"Brazil"
"Pouteria macrophylla",NA,NA,"Brazil"
"Simarouba amara",NA,NA,"Brazil"
"Copaifera langsdorffii",NA,NA,"Brazil"
"Enterolobium maximum",NA,NA,"Brazil"
"Piptadenia gonoacantha",NA,NA,"Brazil"
"Theobroma speciosum",NA,NA,"Brazil"
"Intsia",NA,NA,"Madagascar"
"Trachylobium",NA,NA,"Madagascar"
"Cafe",NA,NA,"Madagascar"
"Mangifera",NA,NA,"Madagascar"
"Citrus",NA,NA,"Madagascar"
"Papaya",NA,NA,"Madagascar"
"Litchi",NA,NA,"Madagascar"
"Eriobotrya",NA,NA,"Madagascar"
"Harungana madagascariensis",NA,NA,"Madagascar"
"Trema orientalis",NA,NA,"Madagascar"
"Syzygium",NA,NA,"Madagascar"
"Vanilla",NA,NA,"Madagascar"
"Piper",NA,NA,"Madagascar"
"Prunus",NA,NA,"Madagascar"
"Trachylobium verrucosum",NA,NA,"Madagascar"
"Citrus sinensis",NA,NA,"Madagascar"
"Persea americana",NA,NA,"Madagascar"
"Persea",NA,NA,"Madagascar"
"Spondias dulcis","baf86ad8-24ad-4603-a723-dcc9647846da","Global Register of Introduced and Invasive Species - Madagascar","Madagascar"
"Lichi",NA,NA,"Madagascar"
"Cajanus",NA,NA,"Madagascar"
"Prunus persica","baf86ad8-24ad-4603-a723-dcc9647846da","Global Register of Introduced and Invasive Species - Madagascar","Madagascar"
"Spondias",NA,NA,"Madagascar"
"Dombeya",NA,NA,"Madagascar"
"Abrahamia ditimena",NA,NA,"Madagascar"
"Ficus reflexa",NA,NA,"Madagascar"
"Trema orientale",NA,NA,"Madagascar"
"Syzygium aromaticum",NA,NA,"Madagascar"
"Artocarpus heterophyllus",NA,NA,"Madagascar"
"Pittosporum",NA,NA,"Madagascar"
"Albizia gummifera",NA,NA,"Madagascar"
"Piper nigrum",NA,NA,"Madagascar"
"Tarenna",NA,NA,"Madagascar"
"Erythroxylum sphaeranthum",NA,NA,"Madagascar"
"Coffea",NA,NA,"Madagascar"
"Dracaena reflexa",NA,NA,"Madagascar"
"Macaranga obovata",NA,NA,"Madagascar"
"Ficus tiliifolia",NA,NA,"Madagascar"
"Ficus megapoda",NA,NA,"Madagascar"
"Malus",NA,NA,"Madagascar"
"Leucaena",NA,NA,"Madagascar"
"Dracaena",NA,NA,"Madagascar"
"Mfsp 9",NA,NA,"Colombia"
"Albizia lebbeck","baf86ad8-24ad-4603-a723-dcc9647846da","Global Register of Introduced and Invasive Species - Madagascar","Madagascar"
"Nuxia capitata",NA,NA,"Madagascar"
"Brachylaena perrieri",NA,NA,"Madagascar"
"Entada chrysostachys",NA,NA,"Madagascar"
"Phyllarthron",NA,NA,"Madagascar"
"Dodonaea madagascariensis",NA,NA,"Madagascar"
