"species","datasetKey","datasetTitle","country_name"
"Tabernaemontana",NA,NA,"Madagascar"
"Annona squamosa","baf86ad8-24ad-4603-a723-dcc9647846da","Global Register of Introduced and Invasive Species - Madagascar","Madagascar"
"Pachytrophe",NA,NA,"Madagascar"
"Diospyros",NA,NA,"Madagascar"
"Rhus",NA,NA,"Madagascar"
"Tambourissa",NA,NA,"Madagascar"
"Euphorbia tetraptera",NA,NA,"Madagascar"
"Ampalis madagascariensis",NA,NA,"Madagascar"
"Dalbergia",NA,NA,"Madagascar"
"Ilex mitis",NA,NA,"Madagascar"
"Mimosa caesalpiniifolia","21cf83b3-fec6-4c42-95bc-b8555a991bc3","Global Register of Introduced and Invasive Species - Brazil","Brazil"
"Manilkara bidentata",NA,NA,"Brazil"
"Aniba firmula",NA,NA,"Brazil"
"Micropholis venulosa",NA,NA,"Brazil"
"Cecropia hololeuca",NA,NA,"Brazil"
"Maytenus ilicifolia",NA,NA,"Brazil"
"Senna",NA,NA,"Brazil"
"Alchornea sidifolia",NA,NA,"Brazil"
"Cariniana estrellensis",NA,NA,"Brazil"
"Guapira opposita",NA,NA,"Brazil"
"Lecythis pisonis",NA,NA,"Brazil"
"Acnistus arborescens",NA,NA,"Brazil"
"Cedar",NA,NA,"Guatemala"
"Matilisguate",NA,NA,"Guatemala"
"Quercus alba",NA,NA,"United States"
"Acer saccharum",NA,NA,"United States"
"Castanea dentata",NA,NA,"United States"
"Acer rubrum",NA,NA,"United States"
"Carya ovata",NA,NA,"United States"
"Quercus prinus",NA,NA,"United States"
"Pinus virginiana",NA,NA,"United States"
"Pinus strobus",NA,NA,"United States"
"Quercus rubra",NA,NA,"United States"
"Quercus velutina",NA,NA,"United States"
"Prunus serotina",NA,NA,"United States"
"Carya tomentosa",NA,NA,"United States"
"Diospyros virginiana",NA,NA,"United States"
"Betula lenta",NA,NA,"United States"
"Celtis occidentalis",NA,NA,"United States"
"Morus rubra",NA,NA,"United States"
"Platanus occidentalis",NA,NA,"United States"
"Prunus americana",NA,NA,"United States"
"Cornus racemosa",NA,NA,"United States"
"Cornus amomum",NA,NA,"United States"
"Caoba",NA,NA,"Guatemala"
"Cedro",NA,NA,"Guatemala"
"pino",NA,NA,"Guatemala"
"Santa Maria",NA,NA,"Guatemala"
"Pino",NA,NA,"Guatemala"
"cedro",NA,NA,"Guatemala"
"Puno",NA,NA,"Guatemala"
"cipres",NA,NA,"Guatemala"
"encino",NA,NA,"Guatemala"
"Rosul",NA,NA,"Guatemala"
"Cipres",NA,NA,"Guatemala"
"Encino",NA,NA,"Guatemala"
"Cola",NA,NA,"Guatemala"
"Inga",NA,NA,"Guatemala"
"Cortez",NA,NA,"Guatemala"
"zapote de aqua",NA,NA,"Guatemala"
"Zapote de Agua",NA,NA,"Guatemala"
"caoba",NA,NA,"Guatemala"
"matilisguate",NA,NA,"Guatemala"
"santa maria",NA,NA,"Guatemala"
"Matilis guate",NA,NA,"Guatemala"
"Liquidambar",NA,NA,"Guatemala"
"Litchi chinensis",NA,NA,"Madagascar"
"Pouteria torta",NA,NA,"Brazil"
"Anadenanthera peregrina",NA,NA,"Brazil"
"Euterpe edulis",NA,NA,"Brazil"
"Mimosa bimucronata","21cf83b3-fec6-4c42-95bc-b8555a991bc3","Global Register of Introduced and Invasive Species - Brazil","Brazil"
"Triplaris americana",NA,NA,"Brazil"
"Amburana cearensis",NA,NA,"Brazil"
"Copaiba",NA,NA,"Brazil"
"Handroanthus serratifolius",NA,NA,"Brazil"
"Handroanthus impetiginosus",NA,NA,"Brazil"
"Marica",NA,NA,"Brazil"
"Cajanus cajan","baf86ad8-24ad-4603-a723-dcc9647846da","Global Register of Introduced and Invasive Species - Madagascar","Madagascar"
"Handroanthus heptaphyllus",NA,NA,"Brazil"
"Pouteria",NA,NA,"Brazil"
"Euterpe precatoria",NA,NA,"Brazil"
"Cochlospermum vitifolium",NA,NA,"Brazil"
"Protium",NA,NA,"Brazil"
"Parahancornia fasciculata",NA,NA,"Brazil"
"Hymenolobium petraeum",NA,NA,"Brazil"
"Eugenia stipitata",NA,NA,"Brazil"
"Macrolobium acaciifolium",NA,NA,"Brazil"
"Astronium urundeuva",NA,NA,"Brazil"
"Garcinia gardneriana",NA,NA,"Brazil"
"Garcinia macrophylla",NA,NA,"Brazil"
"Trattinnickia rhoifolia",NA,NA,"Brazil"
"Mauritia flexuosa",NA,NA,"Brazil"
"Toulicia guianensis",NA,NA,"Brazil"
"Myrciaria dubia",NA,NA,"Brazil"
"Nectandra megapotamica",NA,NA,"Brazil"
"Jacaranda copaia",NA,NA,"Brazil"
"Bertholletia excelsa",NA,NA,"Brazil"
"Castilla ulei",NA,NA,"Brazil"
"Amburana acreana",NA,NA,"Brazil"
"Copaifera multijuga",NA,NA,"Brazil"
"Copaifera glycycarpa",NA,NA,"Brazil"
"Annona",NA,NA,"Brazil"
"Parkia",NA,NA,"Brazil"
"Parkia gigantocarpa",NA,NA,"Brazil"
"Samanea tubulosa",NA,NA,"Brazil"
"Apuleia leiocarpa",NA,NA,"Brazil"
"Bagassa guianensis",NA,NA,"Brazil"
"Cassia leiandra",NA,NA,"Brazil"
"Handroanthus",NA,NA,"Brazil"
"Hymenaea parvifolia",NA,NA,"Brazil"
"Genipa infundibuliformis",NA,NA,"Brazil"
"Pourouma guianensis",NA,NA,"Brazil"
"Terminalia tetraphylla",NA,NA,"Brazil"
"Schefflera morototoni",NA,NA,"Brazil"
"Astronium lecointei",NA,NA,"Brazil"
"Byrsonima crispa",NA,NA,"Brazil"
"Ormosia arborea",NA,NA,"Brazil"
"Enterolobium schomburgkii",NA,NA,"Brazil"
"Ceiba speciosa",NA,NA,"Brazil"
"Pseudobombax munguba",NA,NA,"Brazil"
"Pseudolmedia laevis",NA,NA,"Brazil"
"Parkia multijuga",NA,NA,"Brazil"
"Bauhinia variegata",NA,NA,"Brazil"
"Ochroma pyramidale",NA,NA,"Brazil"
"Senegalia polyphylla",NA,NA,"Brazil"
"Physocalymma scaberrimum",NA,NA,"Brazil"
"Socratea exorrhiza",NA,NA,"Brazil"
"Poeppigia procera",NA,NA,"Brazil"
"Peltogyne",NA,NA,"Brazil"
"Croton lechleri",NA,NA,"Brazil"
"Pouteria gardneri",NA,NA,"Brazil"
"Hevea brasiliensis",NA,NA,"Brazil"
"Clitoria fairchildiana","21cf83b3-fec6-4c42-95bc-b8555a991bc3","Global Register of Introduced and Invasive Species - Brazil","Brazil"
"Diplotropis purpurea",NA,NA,"Brazil"
"Himatanthus phagedaenicus",NA,NA,"Brazil"
"Tachigali guianensis",NA,NA,"Brazil"
"Terminalia",NA,NA,"Brazil"
"Couratari guianensis",NA,NA,"Brazil"
"Cariniana micrantha",NA,NA,"Brazil"
"Virola venosa",NA,NA,"Brazil"
"Chorisia",NA,NA,"Brazil"
"Sparattanthelium",NA,NA,"Brazil"
"xxx",NA,NA,"Brazil"
"Croton floribundus",NA,NA,"Brazil"
"Senna multijuga",NA,NA,"Brazil"
"Apeiba tibourbou",NA,NA,"Brazil"
"Senna alata",NA,NA,"Brazil"
"Handroanthus chrysotrichus",NA,NA,"Brazil"
"Protium aracouchini",NA,NA,"Brazil"
"Cecropia pachystachya",NA,NA,"Brazil"
"Arapatiella",NA,NA,"Brazil"
"Xylopia brasiliensis",NA,NA,"Brazil"
"Virola bicuhyba",NA,NA,"Brazil"
"Peltophorum dubium dubium",NA,NA,"Brazil"
"Parapiptadenia rigida",NA,NA,"Brazil"
"Sparattosperma leucanthum",NA,NA,"Brazil"
"Spondias venulosa",NA,NA,"Brazil"
"Paratecoma peroba",NA,NA,"Brazil"
"Pouteria butyrocarpa",NA,NA,"Brazil"
"Pradosia lactescens",NA,NA,"Brazil"
"Himatanthus bracteatus",NA,NA,"Brazil"
"Plathymenia reticulata",NA,NA,"Brazil"
"Xylopia sericea",NA,NA,"Brazil"
"Dimorphandra jorgei",NA,NA,"Brazil"
"Guazuma crinita",NA,NA,"Brazil"
"Acacia glomerosa",NA,NA,"Brazil"
"Psidium myrtoides",NA,NA,"Brazil"
"Myracrodruon urundeuva",NA,NA,"Brazil"
"Senna spectabilis",NA,NA,"Brazil"
"Psidium guayana",NA,NA,"Brazil"
"Corylus americana",NA,NA,"United States"
"Crateva adansonii",NA,NA,"Cambodia"
"Pinus ayacahuite",NA,NA,"Mexico"
"Inga micheliana",NA,NA,"Mexico"
"Alnus acuminata",NA,NA,"Mexico"
"Anacardium",NA,NA,"Colombia"
"Guava",NA,NA,"Kenya"
"Arecaceae ",NA,NA,"Colombia"
"Crescentia cujete",NA,NA,"Colombia"
"Xylopia",NA,NA,"Colombia"
"Brownea ariza",NA,NA,"Colombia"
"guava",NA,NA,"Kenya"
"tamarids",NA,NA,"Kenya"
"Swietenia",NA,NA,"Colombia"
"Cedrela",NA,NA,"Colombia"
"Tabebuia",NA,NA,"Colombia"
"PLANTING DATA FOR NOVEMBER 2022",NA,NA,"Colombia"
"Schizolobium",NA,NA,"Colombia"
"MFSP 10",NA,NA,"Colombia"
"Ceiba",NA,NA,"Colombia"
"Cedrela montana",NA,NA,"Colombia"
"Cariniana",NA,NA,"Colombia"
"3SC Production 2.3",NA,NA,"Poland"
"Schizolobium parahyba","f6e7601b-3457-4a1b-b5a8-01490566a3b8","Global Register of Introduced and Invasive Species - Democratic Republic of Congo","Democratic Republic of Congo"
"Cleistopholis glauca",NA,NA,"Democratic Republic of Congo"
"Pterocarpus soyauxii",NA,NA,"Democratic Republic of Congo"
"Harungana madagascariensis",NA,NA,"Democratic Republic of Congo"
"Syzygium polycephaloides",NA,NA,"Philippines"
"Anadenanthera macrocarpa",NA,NA,"Brazil"
"Myrsine",NA,NA,"Brazil"
"Eriotheca pentaphylla",NA,NA,"Brazil"
"Sapotaceae","21cf83b3-fec6-4c42-95bc-b8555a991bc3","Global Register of Introduced and Invasive Species - Brazil","Brazil"
"Symphonia globulifera",NA,NA,"Brazil"
"Sterculia excelsa",NA,NA,"Brazil"
"Aegiphila integrifolia",NA,NA,"Brazil"
"Iochroma arborescens",NA,NA,"Brazil"
"Classificação superior",NA,NA,"Brazil"
"Centrolobium",NA,NA,"Brazil"
"Pachystachys",NA,NA,"Brazil"
"Acacia verniciflua",NA,NA,"Australia"
"Dodonaea viscosa angustissima",NA,NA,"Australia"
"Casuarina cunninghamiana",NA,NA,"Australia"
"Mallotus cochinchinensis",NA,NA,"Cambodia"
"Xanthophyllum lanceatum",NA,NA,"Cambodia"
"Mallotus cochichinensis",NA,NA,"Cambodia"
"Mallotus cochichinensis   ",NA,NA,"Cambodia"
"Myrsine coriacea",NA,NA,"Brazil"
"Chrysophyllum splendens",NA,NA,"Brazil"
"Cinnamomum verum","21cf83b3-fec6-4c42-95bc-b8555a991bc3","Global Register of Introduced and Invasive Species - Brazil","Brazil"
"Cinnamomum verum","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
"Cinnamomum",NA,NA,"Brazil"
"Jacaranda mimosifolia",NA,NA,"Brazil"
"Abarema langsdorfii",NA,NA,"Brazil"
"Solanum",NA,NA,"Brazil"
"Sparattosperma",NA,NA,"Brazil"
"Tibouchina granulosa",NA,NA,"Brazil"
"Euphorbia heterophylla","21cf83b3-fec6-4c42-95bc-b8555a991bc3","Global Register of Introduced and Invasive Species - Brazil","Brazil"
"Acacia falciformis",NA,NA,"Australia"
"Acacia terminalis",NA,NA,"Australia"
"Daviesia leptophylla",NA,NA,"Australia"
"Eucalyptus globoidea",NA,NA,"Australia"
"Eucalyptus punctata",NA,NA,"Australia"
"Dodonaea viscosa spatulata",NA,NA,"Australia"
"Mix",NA,NA,"Brazil"
"Pterocarpus",NA,NA,"Democratic Republic of Congo"
"Maesopsis",NA,NA,"Democratic Republic of Congo"
"Acacia genistifolia",NA,NA,"Australia"
"Acacia paradoxa",NA,NA,"Australia"
"Acacia obtusifolia",NA,NA,"Australia"
"Daviesia mimosoides",NA,NA,"Australia"
"a",NA,NA,"Australia"
"Eucalyptus",NA,NA,"Australia"
"Acacia",NA,NA,"Australia"
"Allocasuarina",NA,NA,"Australia"
"Brachychiton",NA,NA,"Australia"
"Dodonaea viscosa subsp. angustissima",NA,NA,"Australia"
"Acacia brachybotrya",NA,NA,"Australia"
"Acacia oswaldii",NA,NA,"Australia"
"Acacia salicina",NA,NA,"Australia"
"Atriplex nummularia",NA,NA,"Australia"
"Callitris columellaris",NA,NA,"Australia"
"Eremophila longifolia",NA,NA,"Australia"
"Pittosporum angustifolium",NA,NA,"Australia"
"Senna artemisioides",NA,NA,"Australia"
"Other species",NA,NA,"Colombia"
"Intsia bijuga",NA,NA,"Madagascar"
