"project_country","species","country_name","datasetKey","scientificName","datasetTitle","status_notes","status"
"KE","Syzygium cumini","Kenya","68c1fc2d-4b61-4e88-b9f1-d086ce9a8ffd",NA,"Global Register of Introduced and Invasive Species - Kenya","potentially introduced",NA
"KE","Acacia gerrardii","Kenya",NA,NA,NA,NA,NA
"KE","Ficus thonningii","Kenya",NA,NA,NA,NA,NA
"KE","Croton macrostachyus","Kenya",NA,NA,NA,NA,NA
"KE","Cordia africana","Kenya",NA,NA,NA,NA,NA
"AE","Avicennia marina","United Arab Emirates",NA,NA,NA,NA,NA
"MX","Tabebuia rosea","Mexico",NA,NA,NA,NA,NA
"MX","Tabebuia donnell-smithii","Mexico",NA,NA,NA,NA,NA
"MX","Caesalpinia ebano","Mexico",NA,NA,NA,NA,NA
"MX","Homalium trichostemon","Mexico",NA,NA,NA,NA,NA
"MX","Ceiba aesculifolia","Mexico",NA,NA,NA,NA,NA
"MX","Haematoxylum brasiletto","Mexico",NA,NA,NA,NA,NA
"MX","Tecoma stans","Mexico",NA,NA,NA,NA,NA
"MX","Thevetia peruviana","Mexico",NA,NA,NA,NA,NA
"MX","Cordia elaeagnoides","Mexico",NA,NA,NA,NA,NA
"MX","Heliocarpus","Mexico",NA,NA,NA,NA,NA
"MX","Caesalpinia eriostachys","Mexico",NA,NA,NA,NA,NA
"MX","Acacia","Mexico",NA,NA,NA,NA,NA
"MX","Amphipterygium adstringens","Mexico",NA,NA,NA,NA,NA
"MX","Bursera","Mexico",NA,NA,NA,NA,NA
"BR","Anadenanthera colubrina","Brazil",NA,NA,NA,NA,NA
"CG","Canarium","Democratic Republic of Congo",NA,NA,NA,NA,NA
"AU","Acacia elongata","Australia",NA,NA,NA,NA,NA
"AU","Acacia binervia","Australia",NA,NA,NA,NA,NA
"AU","Acacia floribunda","Australia",NA,NA,NA,NA,NA
"AU","Acacia linifolia","Australia",NA,NA,NA,NA,NA
"AU","Acacia myrtifolia","Australia",NA,NA,NA,NA,NA
"AU","Acacia suaveolens","Australia",NA,NA,NA,NA,NA
